,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,3929,杢野誓良,44,愛知,50,A2,5.48,34.17,5.36,36.36,26.23,49.37,2019_10_19_22_1R,22,1R
1,2,3441,土屋太朗,50,群馬,55,B1,4.48,21.90,4.73,33.33,24.64,26.03,2019_10_19_22_1R,22,1R
2,3,4749,山口貢輝,33,福岡,56,B2,4.23,25.00,3.45,12.12,45.45,33.80,2019_10_19_22_1R,22,1R
3,4,3310,金澤一洋,55,群馬,51,B1,3.87,17.14,5.63,37.50,35.42,46.38,2019_10_19_22_1R,22,1R
4,5,4955,福田慶尚,24,広島,53,B1,2.81,5.95,1.25,0.00,27.12,30.14,2019_10_19_22_1R,22,1R
5,6,4729,佐藤謙史,30,福岡,56,B1,3.93,17.50,4.56,26.92,25.00,19.35,2019_10_19_22_1R,22,1R
6,1,4162,竹本太樹,37,大阪,54,B1,4.09,22.58,6.22,44.44,41.41,18.18,2019_10_19_22_2R,22,2R
7,2,3690,河合三弘,49,愛知,52,A2,5.85,37.70,5.07,25.00,24.07,41.18,2019_10_19_22_2R,22,2R
8,3,3823,本部真吾,46,三重,55,B1,4.81,23.96,0.00,0.00,27.42,33.33,2019_10_19_22_2R,22,2R
9,4,4725,佐竹太一,33,兵庫,52,B1,4.98,32.67,0.00,0.00,22.86,31.71,2019_10_19_22_2R,22,2R
10,5,4180,上野秀和,36,福岡,58,B1,5.27,30.39,5.04,37.50,36.36,42.25,2019_10_19_22_2R,22,2R
11,6,3737,上平真二,45,広島,53,A1,7.46,64.39,6.24,44.74,32.18,33.77,2019_10_19_22_2R,22,2R
12,1,4668,楠本晃嗣,35,福岡,50,B2,0.00,0.00,4.06,25.00,18.92,32.43,2019_10_19_22_3R,22,3R
13,2,4299,中島浩哉,36,長崎,57,B1,5.26,35.48,4.16,20.00,31.25,15.38,2019_10_19_22_3R,22,3R
14,3,3559,水長照雄,51,山口,50,B1,4.65,25.51,4.60,28.00,28.21,28.38,2019_10_19_22_3R,22,3R
15,4,4002,古結宏,41,兵庫,53,A1,6.89,52.34,6.20,40.00,11.86,24.19,2019_10_19_22_3R,22,3R
16,5,4892,柴田直哉,29,福岡,50,B1,4.77,24.47,4.73,24.32,29.58,48.65,2019_10_19_22_3R,22,3R
17,6,5055,眞鳥章太,23,長崎,53,B2,2.36,1.79,2.86,0.00,34.78,28.57,2019_10_19_22_3R,22,3R
18,1,4741,中村直喜,27,福岡,51,B2,2.75,10.00,3.02,9.43,26.76,19.40,2019_10_19_22_4R,22,4R
19,2,2878,富山弘幸,61,大阪,56,A2,5.53,40.95,5.00,24.00,21.31,24.62,2019_10_19_22_4R,22,4R
20,3,4945,上村宏太,27,東京,48,B1,4.11,22.86,2.14,0.00,36.14,21.43,2019_10_19_22_4R,22,4R
21,4,4422,永井亮次,31,大阪,52,B1,4.85,30.77,5.60,40.00,24.36,21.88,2019_10_19_22_4R,22,4R
22,5,3736,岡本猛,45,大阪,51,A2,5.72,37.12,6.17,36.67,32.53,39.29,2019_10_19_22_4R,22,4R
23,6,3898,平田忠則,42,福岡,54,A1,6.33,43.44,7.17,53.04,24.42,27.87,2019_10_19_22_4R,22,4R
24,1,4695,尾崎雄二,34,長崎,54,B1,3.77,17.28,4.22,26.09,23.47,22.73,2019_10_19_22_5R,22,5R
25,2,3563,堤昇,49,静岡,52,A2,5.88,40.74,3.90,10.00,33.78,33.33,2019_10_19_22_5R,22,5R
26,3,3643,米田隆弘,47,岡山,54,B1,5.12,23.71,0.00,0.00,32.32,42.86,2019_10_19_22_5R,22,5R
27,4,3684,清水攻二,45,山口,52,A2,5.71,33.66,5.72,32.00,30.30,23.08,2019_10_19_22_5R,22,5R
28,5,3746,岡瀬正人,44,岡山,52,A1,6.50,46.81,4.35,10.00,29.63,31.94,2019_10_19_22_5R,22,5R
29,6,4749,山口貢輝,33,福岡,56,B2,4.23,25.00,3.45,12.12,45.45,33.80,2019_10_19_22_5R,22,5R
30,1,3593,横井光弘,51,長崎,55,B1,4.46,21.62,5.09,27.78,31.82,49.18,2019_10_19_22_6R,22,6R
31,2,4211,村田敦,36,東京,57,A2,4.68,26.55,5.74,42.11,31.88,38.16,2019_10_19_22_6R,22,6R
32,3,4729,佐藤謙史,30,福岡,56,B1,3.93,17.50,4.56,26.92,25.00,19.35,2019_10_19_22_6R,22,6R
33,4,3831,安藤裕貴,45,愛知,53,B1,4.66,23.81,5.72,27.78,29.59,20.34,2019_10_19_22_6R,22,6R
34,5,3376,萩原善行,52,群馬,48,B1,3.61,11.93,5.90,40.00,44.00,26.32,2019_10_19_22_6R,22,6R
35,6,3842,星野太郎,43,三重,52,A1,5.79,37.04,6.23,45.45,36.56,31.82,2019_10_19_22_6R,22,6R
36,1,4955,福田慶尚,24,広島,53,B1,2.81,5.95,1.25,0.00,27.12,30.14,2019_10_19_22_7R,22,7R
37,2,4109,谷津幸宏,39,埼玉,53,A1,6.29,40.46,5.75,31.25,26.19,43.24,2019_10_19_22_7R,22,7R
38,3,4892,柴田直哉,29,福岡,50,B1,4.77,24.47,4.73,24.32,29.58,48.65,2019_10_19_22_7R,22,7R
39,4,3475,橋本久和,49,群馬,51,A1,6.21,49.59,5.68,35.14,23.19,28.00,2019_10_19_22_7R,22,7R
40,5,3895,堀本裕也,43,愛知,48,B1,4.71,24.27,4.41,27.59,27.72,24.62,2019_10_19_22_7R,22,7R
41,6,3823,本部真吾,46,三重,55,B1,4.81,23.96,0.00,0.00,27.42,33.33,2019_10_19_22_7R,22,7R
42,1,3220,二橋学,55,静岡,49,A2,4.93,32.73,5.77,36.67,22.68,34.18,2019_10_19_22_8R,22,8R
43,2,3310,金澤一洋,55,群馬,51,B1,3.87,17.14,5.63,37.50,35.42,46.38,2019_10_19_22_8R,22,8R
44,3,4461,安田吉宏,33,三重,58,B1,4.59,28.21,3.00,0.00,28.92,31.58,2019_10_19_22_8R,22,8R
45,4,5022,伊藤尚汰,24,福岡,48,B2,2.41,6.12,2.26,5.26,31.96,35.80,2019_10_19_22_8R,22,8R
46,5,4668,楠本晃嗣,35,福岡,50,B2,0.00,0.00,4.06,25.00,18.92,32.43,2019_10_19_22_8R,22,8R
47,6,4422,永井亮次,31,大阪,52,B1,4.85,30.77,5.60,40.00,24.36,21.88,2019_10_19_22_8R,22,8R
48,1,3433,諏訪忠宏,51,埼玉,55,B1,3.84,14.86,4.25,25.00,31.08,38.46,2019_10_19_22_9R,22,9R
49,2,4486,野村誠,33,群馬,51,A2,5.64,35.34,4.38,18.75,24.56,44.29,2019_10_19_22_9R,22,9R
50,3,4695,尾崎雄二,34,長崎,54,B1,3.77,17.28,4.22,26.09,23.47,22.73,2019_10_19_22_9R,22,9R
51,4,4945,上村宏太,27,東京,48,B1,4.11,22.86,2.14,0.00,36.14,21.43,2019_10_19_22_9R,22,9R
52,5,3683,小羽正作,45,福岡,51,A2,5.85,32.93,6.00,46.15,22.37,25.40,2019_10_19_22_9R,22,9R
53,6,4725,佐竹太一,33,兵庫,52,B1,4.98,32.67,0.00,0.00,22.86,31.71,2019_10_19_22_9R,22,9R
54,1,3842,星野太郎,43,三重,52,A1,5.79,37.04,6.23,45.45,36.56,31.82,2019_10_19_22_10R,22,10R
55,2,4180,上野秀和,36,福岡,58,B1,5.27,30.39,5.04,37.50,36.36,42.25,2019_10_19_22_10R,22,10R
56,3,4002,古結宏,41,兵庫,53,A1,6.89,52.34,6.20,40.00,11.86,24.19,2019_10_19_22_10R,22,10R
57,4,4299,中島浩哉,36,長崎,57,B1,5.26,35.48,4.16,20.00,31.25,15.38,2019_10_19_22_10R,22,10R
58,5,3563,堤昇,49,静岡,52,A2,5.88,40.74,3.90,10.00,33.78,33.33,2019_10_19_22_10R,22,10R
59,6,3929,杢野誓良,44,愛知,50,A2,5.48,34.17,5.36,36.36,26.23,49.37,2019_10_19_22_10R,22,10R
60,1,3737,上平真二,45,広島,53,A1,7.46,64.39,6.24,44.74,32.18,33.77,2019_10_19_22_11R,22,11R
61,2,3746,岡瀬正人,44,岡山,52,A1,6.50,46.81,4.35,10.00,29.63,31.94,2019_10_19_22_11R,22,11R
62,3,3475,橋本久和,49,群馬,51,A1,6.21,49.59,5.68,35.14,23.19,28.00,2019_10_19_22_11R,22,11R
63,4,3559,水長照雄,51,山口,50,B1,4.65,25.51,4.60,28.00,28.21,28.38,2019_10_19_22_11R,22,11R
64,5,2878,富山弘幸,61,大阪,56,A2,5.53,40.95,5.00,24.00,21.31,24.62,2019_10_19_22_11R,22,11R
