,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,2,4136,江夏満,66,21,6.91,4,0.07,24,1R,曇り,無風,0,0,2021_2_12,2-6-1,8200,1-2-6,1430,2-6,2410,2-6,1070,2021_2_12_24_1R
1,2,6,4287,今井貴士,75,48,6.94,6,0.06,24,1R,曇り,無風,0,0,2021_2_12,2-6-1,8200,1-2-6,1430,2-6,2410,2-6,1070,2021_2_12_24_1R
2,3,1,4802,中田達也,17,32,6.86,1,0.10,24,1R,曇り,無風,0,0,2021_2_12,2-6-1,8200,1-2-6,1430,2-6,2410,2-6,1070,2021_2_12_24_1R
3,4,3,3576,白水勝也,35,68,6.87,5,0.03,24,1R,曇り,無風,0,0,2021_2_12,2-6-1,8200,1-2-6,1430,2-6,2410,2-6,1070,2021_2_12_24_1R
4,5,4,3265,今村暢孝,30,75,6.90,2,0.21,24,1R,曇り,無風,0,0,2021_2_12,2-6-1,8200,1-2-6,1430,2-6,2410,2-6,1070,2021_2_12_24_1R
5,6,5,3473,石川真二,24,63,6.93,3,0.12,24,1R,曇り,無風,0,0,2021_2_12,2-6-1,8200,1-2-6,1430,2-6,2410,2-6,1070,2021_2_12_24_1R
6,1,2,4189,川上剛,52,67,6.85,3,0.11,24,2R,曇り,無風,0,0,2021_2_12,2-4-1,12490,1-2-4,470,2-4,4890,2-4,1270,2021_2_12_24_2R
7,2,4,3623,深川真二,27,64,6.90,1,0.05,24,2R,曇り,無風,0,0,2021_2_12,2-4-1,12490,1-2-4,470,2-4,4890,2-4,1270,2021_2_12_24_2R
8,3,1,4102,益田啓司,12,39,6.81,2,0.06,24,2R,曇り,無風,0,0,2021_2_12,2-4-1,12490,1-2-4,470,2-4,4890,2-4,1270,2021_2_12_24_2R
9,4,5,4101,三井所尊春,37,62,6.85,5,0.11,24,2R,曇り,無風,0,0,2021_2_12,2-4-1,12490,1-2-4,470,2-4,4890,2-4,1270,2021_2_12_24_2R
10,5,3,3349,吉田一郎,76,49,6.81,4,0.09,24,2R,曇り,無風,0,0,2021_2_12,2-4-1,12490,1-2-4,470,2-4,4890,2-4,1270,2021_2_12_24_2R
11,6,6,4545,岡村慶太,69,12,6.84,6,0.17,24,2R,曇り,無風,0,0,2021_2_12,2-4-1,12490,1-2-4,470,2-4,4890,2-4,1270,2021_2_12_24_2R
12,1,4,4351,里岡右貴,48,37,6.85,4,0.11,24,3R,曇り,南,1,1,2021_2_12,4-2-3,18550,2-3-4,2040,4-2,4550,2-4,2010,2021_2_12_24_3R
13,2,2,4288,永田啓二,64,74,6.89,2,0.11,24,3R,曇り,南,1,1,2021_2_12,4-2-3,18550,2-3-4,2040,4-2,4550,2-4,2010,2021_2_12_24_3R
14,3,3,4256,渡辺浩司,32,70,6.91,3,0.12,24,3R,曇り,南,1,1,2021_2_12,4-2-3,18550,2-3-4,2040,4-2,4550,2-4,2010,2021_2_12_24_3R
15,4,5,4433,川野芽唯,13,13,6.87,5,0.11,24,3R,曇り,南,1,1,2021_2_12,4-2-3,18550,2-3-4,2040,4-2,4550,2-4,2010,2021_2_12_24_3R
16,5,6,4831,羽野直也,72,29,6.91,6,0.11,24,3R,曇り,南,1,1,2021_2_12,4-2-3,18550,2-3-4,2040,4-2,4550,2-4,2010,2021_2_12_24_3R
17,6,1,4932,新開航,53,60,6.89,1,0.13,24,3R,曇り,南,1,1,2021_2_12,4-2-3,18550,2-3-4,2040,4-2,4550,2-4,2010,2021_2_12_24_3R
18,1,1,4451,松崎祐太郎,20,27,6.88,1,0.17,24,4R,曇り,無風,0,0,2021_2_12,1-3-6,1580,1-3-6,1020,1-3,270,1-3,170,2021_2_12_24_4R
19,2,3,4112,大久保信一郎,11,71,6.86,3,0.14,24,4R,曇り,無風,0,0,2021_2_12,1-3-6,1580,1-3-6,1020,1-3,270,1-3,170,2021_2_12_24_4R
20,3,6,4148,枝尾賢,18,16,6.86,6,0.13,24,4R,曇り,無風,0,0,2021_2_12,1-3-6,1580,1-3-6,1020,1-3,270,1-3,170,2021_2_12_24_4R
21,4,2,3284,渡邊伸太郎,43,46,6.91,2,0.16,24,4R,曇り,無風,0,0,2021_2_12,1-3-6,1580,1-3-6,1020,1-3,270,1-3,170,2021_2_12_24_4R
22,5,5,4413,水摩敦,68,51,6.91,5,0.18,24,4R,曇り,無風,0,0,2021_2_12,1-3-6,1580,1-3-6,1020,1-3,270,1-3,170,2021_2_12_24_4R
23,6,4,4530,小野生奈,65,35,6.94,4,0.16,24,4R,曇り,無風,0,0,2021_2_12,1-3-6,1580,1-3-6,1020,1-3,270,1-3,170,2021_2_12_24_4R
24,1,3,4802,中田達也,17,32,6.87,3,0.09,24,5R,曇り,無風,0,0,2021_2_12,3-1-2,15060,1-2-3,390,3-1,4690,1-3,500,2021_2_12_24_5R
25,2,1,4715,村上遼,58,26,6.75,1,0.15,24,5R,曇り,無風,0,0,2021_2_12,3-1-2,15060,1-2-3,390,3-1,4690,1-3,500,2021_2_12_24_5R
26,3,2,4287,今井貴士,75,48,6.91,2,0.14,24,5R,曇り,無風,0,0,2021_2_12,3-1-2,15060,1-2-3,390,3-1,4690,1-3,500,2021_2_12_24_5R
27,4,5,4504,前田将太,63,56,6.86,5,0.12,24,5R,曇り,無風,0,0,2021_2_12,3-1-2,15060,1-2-3,390,3-1,4690,1-3,500,2021_2_12_24_5R
28,5,4,4447,深川麻奈美,71,40,6.88,4,0.18,24,5R,曇り,無風,0,0,2021_2_12,3-1-2,15060,1-2-3,390,3-1,4690,1-3,500,2021_2_12_24_5R
29,6,6,4521,小池公生,60,38,6.81,6,0.17,24,5R,曇り,無風,0,0,2021_2_12,3-1-2,15060,1-2-3,390,3-1,4690,1-3,500,2021_2_12_24_5R
30,1,1,3349,吉田一郎,76,49,6.86,1,0.07,24,6R,曇り,無風,0,0,2021_2_12,1-5-3,3820,1-3-5,850,1-5,1050,1-5,1230,2021_2_12_24_6R
31,2,5,4351,里岡右貴,48,37,6.83,5,0.05,24,6R,曇り,無風,0,0,2021_2_12,1-5-3,3820,1-3-5,850,1-5,1050,1-5,1230,2021_2_12_24_6R
32,3,3,4296,岡崎恭裕,39,18,6.88,3,0.12,24,6R,曇り,無風,0,0,2021_2_12,1-5-3,3820,1-3-5,850,1-5,1050,1-5,1230,2021_2_12_24_6R
33,4,6,4136,江夏満,66,21,6.91,6,0.11,24,6R,曇り,無風,0,0,2021_2_12,1-5-3,3820,1-3-5,850,1-5,1050,1-5,1230,2021_2_12_24_6R
34,5,2,4101,三井所尊春,37,62,6.84,2,0.13,24,6R,曇り,無風,0,0,2021_2_12,1-5-3,3820,1-3-5,850,1-5,1050,1-5,1230,2021_2_12_24_6R
35,6,4,3514,山一鉄也,50,54,6.76,4,0.07,24,6R,曇り,無風,0,0,2021_2_12,1-5-3,3820,1-3-5,850,1-5,1050,1-5,1230,2021_2_12_24_6R
36,1,4,4413,水摩敦,68,51,6.87,4,0.05,24,7R,曇り,無風,0,0,2021_2_12,4-2-6,14150,2-4-6,3030,4-2,4550,2-4,2450,2021_2_12_24_7R
37,2,2,3473,石川真二,24,63,6.88,3,0.05,24,7R,曇り,無風,0,0,2021_2_12,4-2-6,14150,2-4-6,3030,4-2,4550,2-4,2450,2021_2_12_24_7R
38,3,6,4288,永田啓二,64,74,6.90,6,0.12,24,7R,曇り,無風,0,0,2021_2_12,4-2-6,14150,2-4-6,3030,4-2,4550,2-4,2450,2021_2_12_24_7R
39,4,5,4556,竹井奈美,73,45,6.85,5,0.09,24,7R,曇り,無風,0,0,2021_2_12,4-2-6,14150,2-4-6,3030,4-2,4550,2-4,2450,2021_2_12_24_7R
40,5,3,3265,今村暢孝,30,75,6.90,2,0.11,24,7R,曇り,無風,0,0,2021_2_12,4-2-6,14150,2-4-6,3030,4-2,4550,2-4,2450,2021_2_12_24_7R
41,6,1,3623,深川真二,27,64,6.87,1,0.16,24,7R,曇り,無風,0,0,2021_2_12,4-2-6,14150,2-4-6,3030,4-2,4550,2-4,2450,2021_2_12_24_7R
