,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,1,4558,宮野仁,36,38,6.59,1,0.22,23,1R,雨,南,3,3,2021_5_15,2021_5_15_23_1R
1,2,5,4652,酒見峻介,27,40,6.61,3,0.30,23,1R,雨,南,3,3,2021_5_15,2021_5_15_23_1R
2,3,2,4196,田中太一郎,69,89,6.60,2,0.24,23,1R,雨,南,3,3,2021_5_15,2021_5_15_23_1R
3,4,3,4998,中村かなえ,20,80,6.64,5,0.29,23,1R,雨,南,3,3,2021_5_15,2021_5_15_23_1R
4,5,6,4672,守屋大地,35,70,6.61,4,0.52,23,1R,雨,南,3,3,2021_5_15,2021_5_15_23_1R
5,6,4,5117,冨名腰桃奈,38,56,6.59,6,0.63,23,1R,雨,南,3,3,2021_5_15,2021_5_15_23_1R
6,1,2,4537,渡邉和将,15,73,6.59,2,0.19,23,2R,雨,南,3,3,2021_5_15,2021_5_15_23_2R
7,2,4,5091,為本智也,29,31,6.61,4,0.16,23,2R,雨,南,3,3,2021_5_15,2021_5_15_23_2R
8,3,6,4167,片岡秀樹,21,79,6.63,6,0.19,23,2R,雨,南,3,3,2021_5_15,2021_5_15_23_2R
9,4,3,4882,瀧川千依,46,64,6.65,3,0.25,23,2R,雨,南,3,3,2021_5_15,2021_5_15_23_2R
10,5,1,3462,竹上真司,25,84,6.62,1,0.29,23,2R,雨,南,3,3,2021_5_15,2021_5_15_23_2R
11,6,5,5143,常盤海心,68,82,6.66,5,0.27,23,2R,雨,南,3,3,2021_5_15,2021_5_15_23_2R
12,1,1,4798,浜先真範,12,54,6.62,1,0.26,23,3R,雨,南,2,2,2021_5_15,2021_5_15_23_3R
13,2,3,4451,松崎祐太郎,64,34,6.59,3,0.29,23,3R,雨,南,2,2,2021_5_15,2021_5_15_23_3R
14,3,4,4778,堤啓輔,24,85,6.61,4,0.22,23,3R,雨,南,2,2,2021_5_15,2021_5_15_23_3R
15,4,5,4947,間庭菜摘,19,77,6.65,5,0.34,23,3R,雨,南,2,2,2021_5_15,2021_5_15_23_3R
16,5,2,3361,岡部浩,42,45,6.59,2,0.27,23,3R,雨,南,2,2,2021_5_15,2021_5_15_23_3R
17,6,6,4533,峰重侑治,13,50,6.68,6,0.31,23,3R,雨,南,2,2,2021_5_15,2021_5_15_23_3R
18,1,1,5015,高橋竜矢,37,47,6.63,1,0.18,23,4R,曇り,南西,3,3,2021_5_15,2021_5_15_23_4R
19,2,3,4578,藤山雅弘,43,55,6.68,3,0.16,23,4R,曇り,南西,3,3,2021_5_15,2021_5_15_23_4R
20,3,6,4039,村上功祐,18,44,6.67,6,0.15,23,4R,曇り,南西,3,3,2021_5_15,2021_5_15_23_4R
21,4,4,3044,三宅爾士,34,67,6.77,4,0.15,23,4R,曇り,南西,3,3,2021_5_15,2021_5_15_23_4R
22,5,2,4499,滝川真由子,52,86,6.65,2,0.22,23,4R,曇り,南西,3,3,2021_5_15,2021_5_15_23_4R
23,6,5,3789,和田敏彦,56,71,6.71,5,0.19,23,4R,曇り,南西,3,3,2021_5_15,2021_5_15_23_4R
24,1,2,3743,林美憲,48,51,6.67,2,0.24,23,5R,雨,南西,6,6,2021_5_15,2021_5_15_23_5R
25,2,1,4219,本岡勝利,62,83,6.67,1,0.26,23,5R,雨,南西,6,6,2021_5_15,2021_5_15_23_5R
26,3,3,3901,松田憲幸,28,43,6.68,3,0.29,23,5R,雨,南西,6,6,2021_5_15,2021_5_15_23_5R
27,4,5,4572,渡部悟,39,69,6.73,5,0.41,23,5R,雨,南西,6,6,2021_5_15,2021_5_15_23_5R
28,5,4,5000,岡本翔太郎,63,76,6.63,4,0.38,23,5R,雨,南西,6,6,2021_5_15,2021_5_15_23_5R
29,6,6,5117,冨名腰桃奈,38,56,6.62,6,0.52,23,5R,雨,南西,6,6,2021_5_15,2021_5_15_23_5R
30,1,5,4544,松田大志郎,31,59,6.69,5,0.17,23,6R,雨,南西,6,6,2021_5_15,2021_5_15_23_6R
31,2,2,4167,片岡秀樹,21,79,6.59,2,0.17,23,6R,雨,南西,6,6,2021_5_15,2021_5_15_23_6R
32,3,1,4652,酒見峻介,27,40,6.52,1,0.18,23,6R,雨,南西,6,6,2021_5_15,2021_5_15_23_6R
33,4,6,4277,金田大輔,47,48,6.53,6,0.19,23,6R,雨,南西,6,6,2021_5_15,2021_5_15_23_6R
34,5,4,4193,郷原章平,33,66,6.61,4,0.23,23,6R,雨,南西,6,6,2021_5_15,2021_5_15_23_6R
35,6,3,3858,織田猛,45,88,6.59,3,0.14,23,6R,雨,南西,6,6,2021_5_15,2021_5_15_23_6R
36,1,2,4798,浜先真範,12,54,6.53,3,0.21,23,7R,雨,南,6,6,2021_5_15,2021_5_15_23_7R
37,2,5,3265,今村暢孝,66,61,6.66,1,0.23,23,7R,雨,南,6,6,2021_5_15,2021_5_15_23_7R
38,3,6,4007,榮田将彦,49,62,6.58,6,0.31,23,7R,雨,南,6,6,2021_5_15,2021_5_15_23_7R
39,4,4,4558,宮野仁,36,38,6.60,5,0.48,23,7R,雨,南,6,6,2021_5_15,2021_5_15_23_7R
40,5,3,3949,今出晋二,14,52,6.58,4,0.47,23,7R,雨,南,6,6,2021_5_15,2021_5_15_23_7R
41,6,1,5091,為本智也,29,31,6.62,2,0.24,23,7R,雨,南,6,6,2021_5_15,2021_5_15_23_7R
42,1,4,3623,深川真二,65,58,6.64,2,0.21,23,8R,曇り,南,6,6,2021_5_15,2021_5_15_23_8R
43,2,3,4355,小川広大,61,49,6.61,5,0.25,23,8R,曇り,南,6,6,2021_5_15,2021_5_15_23_8R
44,3,5,4196,田中太一郎,69,89,6.61,4,0.38,23,8R,曇り,南,6,6,2021_5_15,2021_5_15_23_8R
45,4,1,4950,高岡竜也,54,33,6.62,1,0.32,23,8R,曇り,南,6,6,2021_5_15,2021_5_15_23_8R
46,5,2,4533,峰重侑治,13,50,6.61,3,0.23,23,8R,曇り,南,6,6,2021_5_15,2021_5_15_23_8R
47,6,6,3044,三宅爾士,34,67,6.68,6,0.24,23,8R,曇り,南,6,6,2021_5_15,2021_5_15_23_8R
48,1,1,4525,真子奈津実,23,78,6.52,1,0.07,23,9R,曇り,南,6,6,2021_5_15,2021_5_15_23_9R
49,2,2,3900,香川素子,50,87,6.55,2,0.16,23,9R,曇り,南,6,6,2021_5_15,2021_5_15_23_9R
50,3,4,4499,滝川真由子,52,86,6.58,4,0.25,23,9R,曇り,南,6,6,2021_5_15,2021_5_15_23_9R
51,4,3,4947,間庭菜摘,19,77,6.60,3,0.14,23,9R,曇り,南,6,6,2021_5_15,2021_5_15_23_9R
52,5,6,4998,中村かなえ,20,80,6.63,6,0.15,23,9R,曇り,南,6,6,2021_5_15,2021_5_15_23_9R
53,6,5,4882,瀧川千依,46,64,6.58,5,0.20,23,9R,曇り,南,6,6,2021_5_15,2021_5_15_23_9R
54,1,1,4383,竹田吉行,30,36,6.62,1,0.07,23,10R,雨,南,4,4,2021_5_15,2021_5_15_23_10R
55,2,2,4377,濱本優一,53,65,6.57,2,0.07,23,10R,雨,南,4,4,2021_5_15,2021_5_15_23_10R
56,3,5,4672,守屋大地,35,70,6.61,5,0.15,23,10R,雨,南,4,4,2021_5_15,2021_5_15_23_10R
57,4,4,4325,新出浩司,11,32,6.64,4,0.09,23,10R,雨,南,4,4,2021_5_15,2021_5_15_23_10R
58,5,3,3462,竹上真司,25,84,6.66,3,0.07,23,10R,雨,南,4,4,2021_5_15,2021_5_15_23_10R
59,6,6,3901,松田憲幸,28,43,6.61,6,0.18,23,10R,雨,南,4,4,2021_5_15,2021_5_15_23_10R
60,1,1,4451,松崎祐太郎,64,34,6.59,1,0.14,23,11R,曇り,南西,3,3,2021_5_15,2021_5_15_23_11R
61,2,2,4572,渡部悟,39,69,6.65,2,0.14,23,11R,曇り,南西,3,3,2021_5_15,2021_5_15_23_11R
62,3,4,3858,織田猛,45,88,6.65,4,0.08,23,11R,曇り,南西,3,3,2021_5_15,2021_5_15_23_11R
63,4,3,4039,村上功祐,18,44,6.61,3,0.18,23,11R,曇り,南西,3,3,2021_5_15,2021_5_15_23_11R
