,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,3439,大平誉史,52,大阪,53,A2,6.03,45.38,5.48,36.36,31.67,14.00,2021_11_17_22_1R,22,1R
1,2,3858,織田猛,48,佐賀,53,B1,3.09,13.04,4.35,27.03,37.14,19.05,2021_11_17_22_1R,22,1R
2,3,4580,長谷川雅,32,岡山,52,A2,4.70,31.17,5.89,33.33,30.19,40.38,2021_11_17_22_1R,22,1R
3,4,4111,奥田誠,41,広島,56,A2,5.65,35.09,5.10,37.25,19.67,37.50,2021_11_17_22_1R,22,1R
4,5,4672,守屋大地,35,岡山,52,B1,4.67,21.43,3.63,12.50,26.53,29.17,2021_11_17_22_1R,22,1R
5,6,5207,高山敬悟,24,福岡,53,B2,0.00,0.00,0.00,0.00,25.35,34.04,2021_11_17_22_1R,22,1R
6,1,3539,金子順一,53,山口,52,B1,4.85,30.11,4.52,29.17,35.38,32.65,2021_11_17_22_2R,22,2R
7,2,4410,井上大輔,35,岡山,51,A2,5.70,40.52,6.04,39.58,26.79,33.33,2021_11_17_22_2R,22,2R
8,3,4657,江崎一雄,34,福岡,50,B1,5.39,40.51,4.90,30.99,12.50,40.74,2021_11_17_22_2R,22,2R
9,4,3841,佐々木和,45,徳島,55,A2,6.69,51.18,5.67,37.04,19.64,41.18,2021_11_17_22_2R,22,2R
10,5,4352,下條雄太,35,長崎,52,A1,6.81,48.84,6.11,34.29,24.19,51.92,2021_11_17_22_2R,22,2R
11,6,4705,吉川勇作,33,長崎,54,B1,3.88,19.74,4.24,19.61,40.38,36.54,2021_11_17_22_2R,22,2R
12,1,4471,新田泰章,34,広島,51,A2,6.04,45.79,6.29,42.86,30.16,36.96,2021_11_17_22_3R,22,3R
13,2,4679,植田太一,32,福岡,58,B1,5.75,41.67,4.88,30.88,25.42,36.36,2021_11_17_22_3R,22,3R
14,3,4552,杉山勝匡,32,佐賀,52,B1,3.34,16.85,3.61,15.22,34.78,37.93,2021_11_17_22_3R,22,3R
15,4,3617,竹田広樹,48,佐賀,54,B1,4.10,25.97,4.27,26.92,23.73,38.46,2021_11_17_22_3R,22,3R
16,5,5212,西川拓利,23,福岡,54,B2,0.00,0.00,0.00,0.00,29.09,32.69,2021_11_17_22_3R,22,3R
17,6,4697,國弘翔平,35,福岡,49,B1,4.45,23.00,4.71,26.47,37.14,32.73,2021_11_17_22_3R,22,3R
18,1,3663,木山和幸,51,広島,51,B1,5.24,35.48,4.81,23.81,32.20,20.41,2021_11_17_22_4R,22,4R
19,2,4549,小林文彦,33,福岡,54,B1,6.01,42.47,5.32,30.10,31.03,33.33,2021_11_17_22_4R,22,4R
20,3,3606,川北浩貴,49,滋賀,52,A2,5.79,38.89,0.00,0.00,29.63,30.95,2021_11_17_22_4R,22,4R
21,4,4393,田中孝明,35,福岡,56,B1,4.45,18.82,4.82,26.60,32.56,31.25,2021_11_17_22_4R,22,4R
22,5,4596,葛原大陽,38,徳島,51,A2,5.69,34.88,4.89,22.22,31.48,17.65,2021_11_17_22_4R,22,4R
23,6,4153,佐々木巌,41,山口,56,B1,2.94,8.57,3.53,10.00,22.92,31.37,2021_11_17_22_4R,22,4R
24,1,4672,守屋大地,35,岡山,52,B1,4.67,21.43,3.63,12.50,26.53,29.17,2021_11_17_22_5R,22,5R
25,2,4395,下河雅史,35,福岡,57,B1,4.93,32.84,4.63,29.17,25.00,22.45,2021_11_17_22_5R,22,5R
26,3,3439,大平誉史,52,大阪,53,A2,6.03,45.38,5.48,36.36,31.67,14.00,2021_11_17_22_5R,22,5R
27,4,4377,濱本優一,37,大阪,49,A1,6.10,43.70,4.90,40.00,30.16,38.78,2021_11_17_22_5R,22,5R
28,5,3401,上田隆章,54,香川,54,B1,4.86,28.97,5.35,41.30,39.24,23.91,2021_11_17_22_5R,22,5R
29,6,4653,小野達哉,35,大阪,52,A1,6.13,42.98,5.63,42.50,44.07,29.41,2021_11_17_22_5R,22,5R
30,1,4346,前田健太,36,福岡,56,B1,4.35,22.06,4.82,29.03,35.29,23.40,2021_11_17_22_6R,22,6R
31,2,4958,溝口海義,26,福岡,55,B1,5.65,33.78,5.44,30.23,30.16,15.69,2021_11_17_22_6R,22,6R
32,3,4402,乙藤智史,36,福岡,53,A1,6.73,52.46,6.44,60.00,30.00,46.81,2021_11_17_22_6R,22,6R
33,4,4657,江崎一雄,34,福岡,50,B1,5.39,40.51,4.90,30.99,12.50,40.74,2021_11_17_22_6R,22,6R
34,5,3918,深井利寿,47,滋賀,52,A2,5.79,40.59,5.86,37.25,29.23,35.09,2021_11_17_22_6R,22,6R
35,6,3858,織田猛,48,佐賀,53,B1,3.09,13.04,4.35,27.03,37.14,19.05,2021_11_17_22_6R,22,6R
36,1,4580,長谷川雅,32,岡山,52,A2,4.70,31.17,5.89,33.33,30.19,40.38,2021_11_17_22_7R,22,7R
37,2,3617,竹田広樹,48,佐賀,54,B1,4.10,25.97,4.27,26.92,23.73,38.46,2021_11_17_22_7R,22,7R
38,3,4697,國弘翔平,35,福岡,49,B1,4.45,23.00,4.71,26.47,37.14,32.73,2021_11_17_22_7R,22,7R
39,4,3539,金子順一,53,山口,52,B1,4.85,30.11,4.52,29.17,35.38,32.65,2021_11_17_22_7R,22,7R
40,5,5207,高山敬悟,24,福岡,53,B2,0.00,0.00,0.00,0.00,25.35,34.04,2021_11_17_22_7R,22,7R
41,6,4259,真庭明志,37,長崎,52,A2,5.88,38.84,6.08,44.74,23.08,33.33,2021_11_17_22_7R,22,7R
42,1,4111,奥田誠,41,広島,56,A2,5.65,35.09,5.10,37.25,19.67,37.50,2021_11_17_22_8R,22,8R
43,2,4153,佐々木巌,41,山口,56,B1,2.94,8.57,3.53,10.00,22.92,31.37,2021_11_17_22_8R,22,8R
44,3,4705,吉川勇作,33,長崎,54,B1,3.88,19.74,4.24,19.61,40.38,36.54,2021_11_17_22_8R,22,8R
45,4,3663,木山和幸,51,広島,51,B1,5.24,35.48,4.81,23.81,32.20,20.41,2021_11_17_22_8R,22,8R
46,5,4552,杉山勝匡,32,佐賀,52,B1,3.34,16.85,3.61,15.22,34.78,37.93,2021_11_17_22_8R,22,8R
47,6,5212,西川拓利,23,福岡,54,B2,0.00,0.00,0.00,0.00,29.09,32.69,2021_11_17_22_8R,22,8R
48,1,4352,下條雄太,35,長崎,52,A1,6.81,48.84,6.11,34.29,24.19,51.92,2021_11_17_22_9R,22,9R
49,2,4596,葛原大陽,38,徳島,51,A2,5.69,34.88,4.89,22.22,31.48,17.65,2021_11_17_22_9R,22,9R
50,3,4393,田中孝明,35,福岡,56,B1,4.45,18.82,4.82,26.60,32.56,31.25,2021_11_17_22_9R,22,9R
51,4,4395,下河雅史,35,福岡,57,B1,4.93,32.84,4.63,29.17,25.00,22.45,2021_11_17_22_9R,22,9R
52,5,4410,井上大輔,35,岡山,51,A2,5.70,40.52,6.04,39.58,26.79,33.33,2021_11_17_22_9R,22,9R
53,6,4679,植田太一,32,福岡,58,B1,5.75,41.67,4.88,30.88,25.42,36.36,2021_11_17_22_9R,22,9R
54,1,4653,小野達哉,35,大阪,52,A1,6.13,42.98,5.63,42.50,44.07,29.41,2021_11_17_22_10R,22,10R
55,2,3918,深井利寿,47,滋賀,52,A2,5.79,40.59,5.86,37.25,29.23,35.09,2021_11_17_22_10R,22,10R
56,3,3841,佐々木和,45,徳島,55,A2,6.69,51.18,5.67,37.04,19.64,41.18,2021_11_17_22_10R,22,10R
57,4,3606,川北浩貴,49,滋賀,52,A2,5.79,38.89,0.00,0.00,29.63,30.95,2021_11_17_22_10R,22,10R
58,5,4549,小林文彦,33,福岡,54,B1,6.01,42.47,5.32,30.10,31.03,33.33,2021_11_17_22_10R,22,10R
59,6,4346,前田健太,36,福岡,56,B1,4.35,22.06,4.82,29.03,35.29,23.40,2021_11_17_22_10R,22,10R
60,1,4259,真庭明志,37,長崎,52,A2,5.88,38.84,6.08,44.74,23.08,33.33,2021_11_17_22_11R,22,11R
61,2,3401,上田隆章,54,香川,54,B1,4.86,28.97,5.35,41.30,39.24,23.91,2021_11_17_22_11R,22,11R
62,3,4377,濱本優一,37,大阪,49,A1,6.10,43.70,4.90,40.00,30.16,38.78,2021_11_17_22_11R,22,11R
63,4,4402,乙藤智史,36,福岡,53,A1,6.73,52.46,6.44,60.00,30.00,46.81,2021_11_17_22_11R,22,11R
64,5,4958,溝口海義,26,福岡,55,B1,5.65,33.78,5.44,30.23,30.16,15.69,2021_11_17_22_11R,22,11R
65,6,4471,新田泰章,34,広島,51,A2,6.04,45.79,6.29,42.86,30.16,36.96,2021_11_17_22_11R,22,11R
66,1,4537,渡邉和将,31,岡山,52,A1,6.86,47.46,6.41,43.59,29.69,26.00,2021_11_17_22_12R,22,12R
67,2,4503,上野真之,33,佐賀,52,A1,7.93,56.88,8.07,61.67,22.22,50.00,2021_11_17_22_12R,22,12R
68,3,4584,村岡賢人,31,岡山,54,A2,6.48,45.74,5.90,40.00,42.47,27.66,2021_11_17_22_12R,22,12R
69,4,4474,渡辺崇,34,福岡,57,A2,4.97,26.67,5.56,36.36,23.33,25.93,2021_11_17_22_12R,22,12R
70,5,4108,吉村正明,41,山口,51,A1,6.50,47.78,7.50,53.57,27.50,42.59,2021_11_17_22_12R,22,12R
71,6,3711,江本真治,47,山口,53,A2,6.72,51.82,5.14,33.33,21.05,30.77,2021_11_17_22_12R,22,12R
72,1,4713,白神優,31,岡山,54,A1,5.68,37.29,6.46,48.21,18.87,35.21,2021_11_17_21_1R,21,1R
73,2,4661,中島昂章,29,佐賀,51,B1,4.90,30.91,4.91,23.91,30.63,32.84,2021_11_17_21_1R,21,1R
74,3,3506,宮西真昭,50,佐賀,53,B1,3.20,7.84,3.42,16.13,37.84,37.86,2021_11_17_21_1R,21,1R
75,4,3273,石田豪,55,広島,52,B1,4.43,25.33,5.33,35.19,30.43,28.79,2021_11_17_21_1R,21,1R
76,5,3620,信濃由行,47,福井,53,B1,3.59,13.98,3.89,11.11,31.25,25.64,2021_11_17_21_1R,21,1R
77,6,5107,松本真広,22,福岡,50,B2,2.68,1.75,1.48,0.00,35.40,38.57,2021_11_17_21_1R,21,1R
78,1,3075,中村裕将,59,埼玉,53,A2,5.59,38.74,5.85,40.00,23.08,39.52,2021_11_17_21_2R,21,2R
79,2,3928,林恵祐,46,福岡,59,B1,3.79,19.18,4.17,23.91,28.57,29.23,2021_11_17_21_2R,21,2R
80,3,5126,山下大輝,25,兵庫,49,B1,2.74,4.35,0.00,0.00,28.18,25.56,2021_11_17_21_2R,21,2R
81,4,4236,松村敏,38,福岡,53,A1,7.61,64.13,7.30,59.49,35.59,29.03,2021_11_17_21_2R,21,2R
82,5,3044,三宅爾士,61,福井,58,B1,4.55,22.37,4.65,19.23,22.68,34.48,2021_11_17_21_2R,21,2R
83,6,5223,森清友翔,20,福岡,53,B2,0.00,0.00,0.00,0.00,21.78,35.56,2021_11_17_21_2R,21,2R
84,1,3853,岩崎正哉,49,福岡,57,A1,5.85,40.95,6.61,50.00,22.68,33.86,2021_11_17_21_3R,21,3R
85,2,5034,若林義人,23,静岡,56,B1,4.84,23.68,0.00,0.00,32.38,29.01,2021_11_17_21_3R,21,3R
86,3,3833,中辻博訓,47,福井,55,A1,6.75,50.41,6.90,52.50,26.61,36.23,2021_11_17_21_3R,21,3R
87,4,5138,村本大成,21,福岡,54,B2,1.85,6.25,1.28,2.33,25.00,38.73,2021_11_17_21_3R,21,3R
88,5,3514,山一鉄也,54,福岡,51,A2,6.12,46.92,7.09,58.26,30.19,32.58,2021_11_17_21_3R,21,3R
89,6,3890,小宮淳史,46,岡山,56,B1,5.19,28.09,4.81,14.29,34.69,33.33,2021_11_17_21_3R,21,3R
90,1,4351,里岡右貴,35,福岡,54,A1,6.37,45.39,6.24,49.43,33.04,35.71,2021_11_17_21_4R,21,4R
91,2,4790,柳内敬太,32,兵庫,53,A2,5.05,30.61,5.25,36.11,27.93,38.57,2021_11_17_21_4R,21,4R
92,3,4248,岡本大,39,長崎,55,B1,4.31,18.67,4.18,20.45,32.14,34.78,2021_11_17_21_4R,21,4R
93,4,3771,折下寛法,47,東京,52,A2,5.66,38.18,7.11,57.89,34.58,28.35,2021_11_17_21_4R,21,4R
94,5,4753,森照夫,33,福岡,53,B1,5.17,31.03,3.91,23.91,33.64,33.83,2021_11_17_21_4R,21,4R
95,6,5219,森口和紀,21,福岡,51,B2,0.00,0.00,0.00,0.00,32.43,35.04,2021_11_17_21_4R,21,4R
96,1,4216,星栄爾,36,静岡,54,A2,5.83,41.49,0.00,0.00,29.36,45.65,2021_11_17_21_5R,21,5R
97,2,3473,石川真二,51,福岡,52,A1,7.14,59.75,6.52,45.16,27.83,56.93,2021_11_17_21_5R,21,5R
98,3,4811,向井田佑,32,広島,49,B1,5.73,40.00,5.11,32.79,21.62,36.88,2021_11_17_21_5R,21,5R
99,4,5107,松本真広,22,福岡,50,B2,2.68,1.75,1.48,0.00,35.40,38.57,2021_11_17_21_5R,21,5R
100,5,3981,今坂晃広,44,静岡,52,B1,5.22,30.43,5.70,50.00,33.04,31.34,2021_11_17_21_5R,21,5R
101,6,3256,三角哲男,54,東京,51,A2,6.63,49.02,8.11,55.56,33.01,34.31,2021_11_17_21_5R,21,5R
102,1,3436,柏野幸二,52,岡山,51,B1,5.79,39.00,6.08,44.74,30.97,32.86,2021_11_17_21_6R,21,6R
103,2,4523,中村辰也,33,長崎,52,A2,5.70,39.09,5.40,37.50,26.36,30.37,2021_11_17_21_6R,21,6R
104,3,4661,中島昂章,29,佐賀,51,B1,4.90,30.91,4.91,23.91,30.63,32.84,2021_11_17_21_6R,21,6R
105,4,5126,山下大輝,25,兵庫,49,B1,2.74,4.35,0.00,0.00,28.18,25.56,2021_11_17_21_6R,21,6R
106,5,3933,山地正樹,45,岡山,54,A1,6.60,51.94,6.50,41.67,26.32,30.83,2021_11_17_21_6R,21,6R
107,6,3508,久富政弘,50,佐賀,54,B1,4.46,27.03,5.39,31.88,36.04,25.00,2021_11_17_21_6R,21,6R
108,1,2912,尾崎鉄也,65,長崎,56,B1,3.28,13.24,4.44,26.92,34.86,32.59,2021_11_17_21_7R,21,7R
109,2,4056,小西英輝,43,福井,52,B1,4.63,24.39,4.50,25.00,28.57,33.07,2021_11_17_21_7R,21,7R
110,3,4213,重富伸也,37,長崎,54,B1,4.15,16.00,3.95,18.92,18.18,48.15,2021_11_17_21_7R,21,7R
111,4,4625,渡邊裕貴,35,静岡,52,B1,4.02,24.10,2.45,0.00,26.53,32.64,2021_11_17_21_7R,21,7R
112,5,5102,原田雄次,23,福岡,51,B1,3.79,17.58,2.15,6.38,32.71,35.81,2021_11_17_21_7R,21,7R
113,6,5138,村本大成,21,福岡,54,B2,1.85,6.25,1.28,2.33,25.00,38.73,2021_11_17_21_7R,21,7R
114,1,3838,伊藤啓三,46,埼玉,53,A2,5.69,39.56,4.29,17.65,30.00,25.00,2021_11_17_21_8R,21,8R
115,2,3044,三宅爾士,61,福井,58,B1,4.55,22.37,4.65,19.23,22.68,33.33,2021_11_17_21_8R,21,8R
116,3,4133,高橋正男,41,兵庫,53,A2,5.93,42.86,5.68,47.37,24.27,36.11,2021_11_17_21_8R,21,8R
117,4,3974,深山祐二,45,佐賀,53,B1,4.01,20.24,3.42,15.25,26.37,37.32,2021_11_17_21_8R,21,8R
118,5,5219,森口和紀,21,福岡,51,B2,0.00,0.00,0.00,0.00,32.43,35.04,2021_11_17_21_8R,21,8R
