,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,1,3579,中里優子,19,61,6.83,1,0.08,21,1R,晴,無風,0,1,2022_8_23,1-3-4,1980,1-3-4,950,1-3,380,1-3,390,2022_8_23_21_1R
1,2,3,3044,三宅爾士,57,45,6.92,3,0.08,21,1R,晴,無風,0,1,2022_8_23,1-3-4,1980,1-3-4,950,1-3,380,1-3,390,2022_8_23_21_1R
2,3,4,5199,垂水悠,17,69,6.89,4,0.15,21,1R,晴,無風,0,1,2022_8_23,1-3-4,1980,1-3-4,950,1-3,380,1-3,390,2022_8_23_21_1R
3,4,6,5231,寺田空詩,48,35,6.84,6,0.12,21,1R,晴,無風,0,1,2022_8_23,1-3-4,1980,1-3-4,950,1-3,380,1-3,390,2022_8_23_21_1R
4,5,5,3593,横井光弘 ,2,27,6.95,5,0.09,21,1R,晴,無風,0,1,2022_8_23,1-3-4,1980,1-3-4,950,1-3,380,1-3,390,2022_8_23_21_1R
5,6,2,5048,眞鳥康太,56,60,6.89,2,0.21,21,1R,晴,無風,0,1,2022_8_23,1-3-4,1980,1-3-4,950,1-3,380,1-3,390,2022_8_23_21_1R
6,1,1,4719,上條暢嵩,22,59,6.86,1,0.12,21,2R,晴,西,1,1,2022_8_23,1-4-5,1450,1-4-5,770,1-4,200,1-4,160,2022_8_23_21_2R
7,2,4,4137,君島秀三,46,11,6.89,3,0.14,21,2R,晴,西,1,1,2022_8_23,1-4-5,1450,1-4-5,770,1-4,200,1-4,160,2022_8_23_21_2R
8,3,5,3989,熊本英一,50,64,6.88,5,0.21,21,2R,晴,西,1,1,2022_8_23,1-4-5,1450,1-4-5,770,1-4,200,1-4,160,2022_8_23_21_2R
9,4,3,4930,佐藤悠,29,70,6.84,4,0.18,21,2R,晴,西,1,1,2022_8_23,1-4-5,1450,1-4-5,770,1-4,200,1-4,160,2022_8_23_21_2R
10,5,2,4873,蒲原健太,25,33,6.88,2,0.21,21,2R,晴,西,1,1,2022_8_23,1-4-5,1450,1-4-5,770,1-4,200,1-4,160,2022_8_23_21_2R
11,6,6,4272,大場広孝,41,49,6.80,6,0.14,21,2R,晴,西,1,1,2022_8_23,1-4-5,1450,1-4-5,770,1-4,200,1-4,160,2022_8_23_21_2R
12,1,1,4295,小坂尚哉,49,20,6.84,1,0.16,21,3R,曇り,北,1,1,2022_8_23,1-5-2,850,1-2-5,380,1-5,300,1-5,280,2022_8_23_21_3R
13,2,5,4096,石橋道友,52,68,6.80,5,0.17,21,3R,曇り,北,1,1,2022_8_23,1-5-2,850,1-2-5,380,1-5,300,1-5,280,2022_8_23_21_3R
14,3,2,3998,冨成謙児,51,46,6.87,2,0.18,21,3R,曇り,北,1,1,2022_8_23,1-5-2,850,1-2-5,380,1-5,300,1-5,280,2022_8_23_21_3R
15,4,3,4677,片橋幸貴 ,9,57,6.91,3,0.17,21,3R,曇り,北,1,1,2022_8_23,1-5-2,850,1-2-5,380,1-5,300,1-5,280,2022_8_23_21_3R
