,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,3849,中岡正彦,41,香川,52,A1,6.83,56.20,6.86,56.00,26.47,13.64,2019_8_9_21_1R,21,1R
1,2,4315,山崎昂介,35,長崎,53,B1,5.04,29.90,4.50,26.19,51.35,26.67,2019_8_9_21_1R,21,1R
2,3,4894,原村拓也,28,香川,53,B2,3.60,15.56,2.22,0.00,42.42,23.73,2019_8_9_21_1R,21,1R
3,4,3808,秋田健太,44,埼玉,62,B1,4.58,19.72,0.00,0.00,29.03,36.36,2019_8_9_21_1R,21,1R
4,5,4705,吉川勇作,30,長崎,54,B1,4.19,22.62,3.93,26.67,39.29,30.00,2019_8_9_21_1R,21,1R
5,6,3575,田野邊秀,46,埼玉,52,B1,4.20,12.20,3.44,11.11,47.22,15.25,2019_8_9_21_1R,21,1R
6,1,3360,原田富士,50,福岡,52,A2,5.75,41.22,5.96,45.68,36.84,51.79,2019_8_9_21_2R,21,2R
7,2,4277,金田大輔,36,岡山,50,B1,5.22,35.62,4.13,12.50,35.29,32.26,2019_8_9_21_2R,21,2R
8,3,3548,室田泰史,49,福井,55,B1,5.39,30.83,5.88,36.00,30.00,27.27,2019_8_9_21_2R,21,2R
9,4,4848,仲谷颯仁,24,福岡,49,A1,6.45,43.40,7.25,58.33,50.00,37.70,2019_8_9_21_2R,21,2R
10,5,4540,相原利章,31,東京,52,B1,4.23,20.55,4.60,26.67,32.43,37.10,2019_8_9_21_2R,21,2R
11,6,4864,小川日紀,29,福岡,53,B1,3.44,11.11,3.30,7.55,32.26,22.58,2019_8_9_21_2R,21,2R
12,1,4201,佐竹友樹,37,埼玉,53,A2,5.71,41.77,5.50,30.00,27.27,20.41,2019_8_9_21_3R,21,3R
13,2,3936,三瀬譲,41,長崎,55,B1,4.65,27.27,4.09,16.36,29.41,6.38,2019_8_9_21_3R,21,3R
14,3,3837,秋山広一,44,香川,50,A1,6.99,54.62,6.12,47.06,8.00,23.73,2019_8_9_21_3R,21,3R
15,4,4587,木田峰由,28,福井,52,B1,5.96,43.48,4.77,22.73,40.63,35.38,2019_8_9_21_3R,21,3R
16,5,3161,古場輝義,59,大阪,53,A2,5.22,32.97,6.44,50.00,4.35,20.00,2019_8_9_21_3R,21,3R
17,6,5009,大賀龍之,22,福岡,56,B2,1.84,0.00,1.42,0.00,48.48,37.93,2019_8_9_21_3R,21,3R
18,1,4264,長尾章平,34,山口,53,A1,6.30,48.78,7.16,51.61,39.39,18.03,2019_8_9_21_4R,21,4R
19,2,3752,宇土泰就,48,福岡,54,B1,4.93,29.07,5.14,29.82,36.11,46.94,2019_8_9_21_4R,21,4R
20,3,3600,玄馬徹,49,岡山,50,B1,4.16,26.21,4.82,26.47,36.11,31.37,2019_8_9_21_4R,21,4R
21,4,4314,青木幸太,35,福岡,51,A2,5.35,31.48,5.95,42.86,60.71,29.03,2019_8_9_21_4R,21,4R
22,5,4010,越智照浩,39,香川,55,B1,4.62,21.74,2.67,11.11,22.22,40.32,2019_8_9_21_4R,21,4R
23,6,4509,平見真彦,30,愛知,53,A2,5.19,28.92,6.30,37.84,6.06,31.75,2019_8_9_21_4R,21,4R
