,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,4588,田中京介,29,福岡,55,A2,4.53,26.39,5.95,44.83,35.64,33.97,2020_3_31_22_1R,22,1R
1,2,4195,前川守嗣,38,福岡,53,B1,5.78,40.58,5.48,31.03,40.38,33.81,2020_3_31_22_1R,22,1R
2,3,5041,荒牧凪沙,21,福岡,51,B1,3.01,10.67,1.63,0.00,38.74,44.72,2020_3_31_22_1R,22,1R
3,4,4957,竹之内極,24,福岡,56,B1,3.65,15.28,1.76,0.00,39.24,23.73,2020_3_31_22_1R,22,1R
4,5,4892,柴田直哉,29,福岡,50,B1,4.40,18.75,4.55,20.75,34.72,38.99,2020_3_31_22_1R,22,1R
5,6,4736,高倉和士,28,福岡,54,A2,6.46,49.24,6.44,49.18,35.76,40.00,2020_3_31_22_1R,22,1R
6,1,4232,笠雅雄,36,福岡,60,B1,4.35,24.72,4.55,21.92,33.56,39.22,2020_3_31_22_2R,22,2R
7,2,4513,河野真也,30,福岡,52,B1,6.14,46.23,5.22,34.69,26.17,25.97,2020_3_31_22_2R,22,2R
8,3,4268,和合俊介,34,福岡,58,B1,4.31,20.93,3.91,21.28,43.24,31.54,2020_3_31_22_2R,22,2R
9,4,4684,楠原翔太,29,福岡,55,B1,4.80,25.56,5.32,30.99,37.12,31.61,2020_3_31_22_2R,22,2R
10,5,5092,篠原晟弥,19,福岡,51,B2,2.36,6.00,1.69,0.00,37.30,30.66,2020_3_31_22_2R,22,2R
11,6,4236,松村敏,36,福岡,53,A1,7.02,53.24,7.78,59.21,27.65,33.56,2020_3_31_22_2R,22,2R
12,1,4474,渡辺崇,32,福岡,56,B2,5.86,40.00,5.09,28.75,38.98,21.17,2020_3_31_22_3R,22,3R
13,2,4094,中島真二,38,福岡,52,B1,4.48,22.62,4.98,37.21,41.09,28.30,2020_3_31_22_3R,22,3R
14,3,4669,井上茂,34,福岡,51,B1,5.05,31.09,5.08,30.16,32.68,44.94,2020_3_31_22_3R,22,3R
15,4,4394,永嶋裕一,33,福岡,55,A2,5.22,28.39,5.84,34.09,48.80,31.47,2020_3_31_22_3R,22,3R
16,5,4393,田中孝明,33,福岡,57,B1,4.77,26.88,5.56,32.00,29.56,33.33,2020_3_31_22_3R,22,3R
17,6,4272,大場広孝,37,福岡,58,A2,5.44,33.33,5.26,34.88,35.54,28.57,2020_3_31_22_3R,22,3R
18,1,4729,佐藤謙史,31,福岡,55,B1,4.20,17.89,4.35,23.08,39.76,41.67,2020_3_31_22_4R,22,4R
19,2,4121,富永修一,38,福岡,52,B1,4.93,22.45,5.27,32.65,35.33,23.73,2020_3_31_22_4R,22,4R
20,3,4802,中田達也,26,福岡,51,A2,5.83,42.24,5.55,41.94,32.08,33.11,2020_3_31_22_4R,22,4R
21,4,4640,山ノ内雅,29,福岡,55,B1,5.65,37.04,4.45,26.53,37.21,34.00,2020_3_31_22_4R,22,4R
22,5,5104,山田丈,21,福岡,53,B2,1.72,1.85,0.00,0.00,44.62,28.77,2020_3_31_22_4R,22,4R
23,6,4346,前田健太,34,福岡,54,B1,4.64,24.10,5.50,35.00,28.57,23.70,2020_3_31_22_4R,22,4R
24,1,4753,森照夫,31,福岡,56,B1,4.62,27.93,4.84,26.97,36.90,30.53,2020_3_31_22_5R,22,5R
25,2,4463,三苫晃幸,33,福岡,54,A2,5.34,33.70,5.54,37.70,34.50,23.33,2020_3_31_22_5R,22,5R
26,3,4957,竹之内極,24,福岡,56,B1,3.65,15.28,1.76,0.00,39.24,23.73,2020_3_31_22_5R,22,5R
27,4,4674,池田剛規,32,福岡,51,B1,4.75,22.86,4.21,21.05,23.70,29.14,2020_3_31_22_5R,22,5R
28,5,4958,溝口海義,24,福岡,53,B1,4.98,26.02,3.82,11.76,39.33,37.74,2020_3_31_22_5R,22,5R
29,6,4367,山口修路,34,福岡,50,A2,5.61,32.38,5.95,42.67,41.09,29.31,2020_3_31_22_5R,22,5R
30,1,4892,柴田直哉,29,福岡,50,B1,4.40,18.75,4.55,20.75,34.72,38.99,2020_3_31_22_6R,22,6R
31,2,4403,木下大將,35,福岡,54,A2,5.69,36.89,5.77,44.19,35.12,38.99,2020_3_31_22_6R,22,6R
32,3,4684,楠原翔太,29,福岡,55,B1,4.80,25.56,5.32,30.99,37.12,31.61,2020_3_31_22_6R,22,6R
33,4,4657,江崎一雄,32,福岡,54,B1,5.01,30.26,5.69,42.50,30.14,30.00,2020_3_31_22_6R,22,6R
34,5,5041,荒牧凪沙,21,福岡,51,B1,3.01,10.67,1.63,0.00,38.74,44.72,2020_3_31_22_6R,22,6R
35,6,4495,森晋太郎,32,福岡,53,B1,4.74,26.15,5.42,37.88,47.69,37.58,2020_3_31_22_6R,22,6R
36,1,4669,井上茂,34,福岡,51,B1,5.05,31.09,5.08,30.16,32.68,44.94,2020_3_31_22_7R,22,7R
37,2,4551,三川昂暁,31,福岡,53,A2,6.06,38.89,5.72,35.58,35.71,43.67,2020_3_31_22_7R,22,7R
38,3,4394,永嶋裕一,33,福岡,55,A2,5.22,28.39,5.84,34.09,48.80,31.47,2020_3_31_22_7R,22,7R
39,4,4195,前川守嗣,38,福岡,53,B1,5.78,40.58,5.48,31.03,40.38,33.81,2020_3_31_22_7R,22,7R
