,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1R,晴,南西,3,2,大村,2022_8_19,1-3-2,1340,,590,1-3,330,1-3,220,,,,,,,,,,
1,1R,晴,南西,3,2,大村,2022_8_19,1-3-2,1340,,590,1-3,330,1-3,220,,,,,,,,,,
2,1R,晴,南西,3,2,大村,2022_8_19,1-3-2,1340,,590,1-3,330,1-3,220,,,,,,,,,,
3,1R,晴,南西,3,2,大村,2022_8_19,1-3-2,1340,,590,1-3,330,1-3,220,,,,,,,,,,
4,1R,晴,南西,3,2,大村,2022_8_19,1-3-2,1340,,590,1-3,330,1-3,220,,,,,,,,,,
5,1R,晴,南西,3,2,大村,2022_8_19,1-3-2,1340,,590,1-3,330,1-3,220,,,,,,,,,,
6,2R,晴,南西,3,2,大村,2022_8_19,1-4-5,4120,,1730,1-4,1640,1-4,2140,,,,,,,,,,
7,2R,晴,南西,3,2,大村,2022_8_19,1-4-5,4120,,1730,1-4,1640,1-4,2140,,,,,,,,,,
8,2R,晴,南西,3,2,大村,2022_8_19,1-4-5,4120,,1730,1-4,1640,1-4,2140,,,,,,,,,,
9,2R,晴,南西,3,2,大村,2022_8_19,1-4-5,4120,,1730,1-4,1640,1-4,2140,,,,,,,,,,
10,2R,晴,南西,3,2,大村,2022_8_19,1-4-5,4120,,1730,1-4,1640,1-4,2140,,,,,,,,,,
11,2R,晴,南西,3,2,大村,2022_8_19,1-4-5,4120,,1730,1-4,1640,1-4,2140,,,,,,,,,,
12,3R,晴,南,4,3,大村,2022_8_19,2-1-4,1880,,270,2-1,840,1-2,340,,,,,,,,,,
13,3R,晴,南,4,3,大村,2022_8_19,2-1-4,1880,,270,2-1,840,1-2,340,,,,,,,,,,
14,3R,晴,南,4,3,大村,2022_8_19,2-1-4,1880,,270,2-1,840,1-2,340,,,,,,,,,,
15,3R,晴,南,4,3,大村,2022_8_19,2-1-4,1880,,270,2-1,840,1-2,340,,,,,,,,,,
16,3R,晴,南,4,3,大村,2022_8_19,2-1-4,1880,,270,2-1,840,1-2,340,,,,,,,,,,
17,3R,晴,南,4,3,大村,2022_8_19,2-1-4,1880,,270,2-1,840,1-2,340,,,,,,,,,,
18,4R,晴,南,4,3,大村,2022_8_19,5-6-2,5120,,780,5-6,1710,5-6,1150,,,,,,,,,,
19,4R,晴,南,4,3,大村,2022_8_19,5-6-2,5120,,780,5-6,1710,5-6,1150,,,,,,,,,,
20,4R,晴,南,4,3,大村,2022_8_19,5-6-2,5120,,780,5-6,1710,5-6,1150,,,,,,,,,,
21,4R,晴,南,4,3,大村,2022_8_19,5-6-2,5120,,780,5-6,1710,5-6,1150,,,,,,,,,,
22,4R,晴,南,4,3,大村,2022_8_19,5-6-2,5120,,780,5-6,1710,5-6,1150,,,,,,,,,,
23,4R,晴,南,4,3,大村,2022_8_19,5-6-2,5120,,780,5-6,1710,5-6,1150,,,,,,,,,,
24,5R,晴,南,4,3,大村,2022_8_19,1-3-4,3980,,1480,1-3,1290,1-3,1210,,,,,,,,,,
25,5R,晴,南,4,3,大村,2022_8_19,1-3-4,3980,,1480,1-3,1290,1-3,1210,,,,,,,,,,
26,5R,晴,南,4,3,大村,2022_8_19,1-3-4,3980,,1480,1-3,1290,1-3,1210,,,,,,,,,,
27,5R,晴,南,4,3,大村,2022_8_19,1-3-4,3980,,1480,1-3,1290,1-3,1210,,,,,,,,,,
28,5R,晴,南,4,3,大村,2022_8_19,1-3-4,3980,,1480,1-3,1290,1-3,1210,,,,,,,,,,
29,5R,晴,南,4,3,大村,2022_8_19,1-3-4,3980,,1480,1-3,1290,1-3,1210,,,,,,,,,,
30,6R,雨,南,4,3,大村,2022_8_19,6-1-4,1250,,520,6-1,360,1-6,170,,,,,,,,,,
31,6R,雨,南,4,3,大村,2022_8_19,6-1-4,1250,,520,6-1,360,1-6,170,,,,,,,,,,
32,6R,雨,南,4,3,大村,2022_8_19,6-1-4,1250,,520,6-1,360,1-6,170,,,,,,,,,,
33,6R,雨,南,4,3,大村,2022_8_19,6-1-4,1250,,520,6-1,360,1-6,170,,,,,,,,,,
34,6R,雨,南,4,3,大村,2022_8_19,6-1-4,1250,,520,6-1,360,1-6,170,,,,,,,,,,
35,6R,雨,南,4,3,大村,2022_8_19,6-1-4,1250,,520,6-1,360,1-6,170,,,,,,,,,,
36,7R,晴,南,4,3,大村,2022_8_19,1-4-5,1200,,480,1-4,380,1-4,460,,,,,,,,,,
37,7R,晴,南,4,3,大村,2022_8_19,1-4-5,1200,,480,1-4,380,1-4,460,,,,,,,,,,
38,7R,晴,南,4,3,大村,2022_8_19,1-4-5,1200,,480,1-4,380,1-4,460,,,,,,,,,,
39,7R,晴,南,4,3,大村,2022_8_19,1-4-5,1200,,480,1-4,380,1-4,460,,,,,,,,,,
40,7R,晴,南,4,3,大村,2022_8_19,1-4-5,1200,,480,1-4,380,1-4,460,,,,,,,,,,
41,7R,晴,南,4,3,大村,2022_8_19,1-4-5,1200,,480,1-4,380,1-4,460,,,,,,,,,,
42,8R,晴,南,3,2,大村,2022_8_19,4-1-6,16290,,2330,4-1,2580,1-4,460,,,,,,,,,,
43,8R,晴,南,3,2,大村,2022_8_19,4-1-6,16290,,2330,4-1,2580,1-4,460,,,,,,,,,,
44,8R,晴,南,3,2,大村,2022_8_19,4-1-6,16290,,2330,4-1,2580,1-4,460,,,,,,,,,,
45,8R,晴,南,3,2,大村,2022_8_19,4-1-6,16290,,2330,4-1,2580,1-4,460,,,,,,,,,,
46,8R,晴,南,3,2,大村,2022_8_19,4-1-6,16290,,2330,4-1,2580,1-4,460,,,,,,,,,,
47,8R,晴,南,3,2,大村,2022_8_19,4-1-6,16290,,2330,4-1,2580,1-4,460,,,,,,,,,,
48,9R,晴,南,4,3,大村,2022_8_19,1-4-3,730,,240,1-4,360,1-4,290,,,,,,,,,,
49,9R,晴,南,4,3,大村,2022_8_19,1-4-3,730,,240,1-4,360,1-4,290,,,,,,,,,,
50,9R,晴,南,4,3,大村,2022_8_19,1-4-3,730,,240,1-4,360,1-4,290,,,,,,,,,,
51,9R,晴,南,4,3,大村,2022_8_19,1-4-3,730,,240,1-4,360,1-4,290,,,,,,,,,,
52,9R,晴,南,4,3,大村,2022_8_19,1-4-3,730,,240,1-4,360,1-4,290,,,,,,,,,,
