,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,1,3562,山下和彦,58,107,6.86,1,0.20,22,1R,晴,北,2,3,2019_9_9,1-3-4,1510,1-3-4,710,1-3,450,1-3,400,2019_9_9_22_1R
1,2,3,4035,杉江浩明,25,111,6.91,3,0.19,22,1R,晴,北,2,3,2019_9_9,1-3-4,1510,1-3-4,710,1-3,450,1-3,400,2019_9_9_22_1R
2,3,4,4164,岩永節也,15,159,6.84,4,0.24,22,1R,晴,北,2,3,2019_9_9,1-3-4,1510,1-3-4,710,1-3,450,1-3,400,2019_9_9_22_1R
3,4,2,3365,野田貴博,32,116,6.97,2,0.20,22,1R,晴,北,2,3,2019_9_9,1-3-4,1510,1-3-4,710,1-3,450,1-3,400,2019_9_9_22_1R
4,5,6,4407,鹿島敏弘,19,125,6.94,6,0.32,22,1R,晴,北,2,3,2019_9_9,1-3-4,1510,1-3-4,710,1-3,450,1-3,400,2019_9_9_22_1R
5,6,5,4648,木村亮太,54,130,6.94,5,0.23,22,1R,晴,北,2,3,2019_9_9,1-3-4,1510,1-3-4,710,1-3,450,1-3,400,2019_9_9_22_1R
6,1,1,4747,山戸信二,41,120,6.92,1,0.19,22,2R,晴,北,3,3,2019_9_9,1-2-3,2180,1-2-3,940,1-2,640,1-2,400,2019_9_9_22_2R
7,2,2,3619,長谷川充,63,119,6.91,2,0.15,22,2R,晴,北,3,3,2019_9_9,1-2-3,2180,1-2-3,940,1-2,640,1-2,400,2019_9_9_22_2R
8,3,3,4004,山本浩輔,11,126,6.92,3,0.16,22,2R,晴,北,3,3,2019_9_9,1-2-3,2180,1-2-3,940,1-2,640,1-2,400,2019_9_9_22_2R
9,4,5,3211,北川敏弘,21,151,6.93,5,0.16,22,2R,晴,北,3,3,2019_9_9,1-2-3,2180,1-2-3,940,1-2,640,1-2,400,2019_9_9_22_2R
