,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,4919,吉田翔悟,28,長崎,52,B1,4.01,17.28,3.00,8.05,22.22,26.19,2019_11_15_24_1R,24,1R
1,2,3519,冨田秀幸,51,愛知,50,B1,4.53,22.37,0.00,0.00,30.34,33.33,2019_11_15_24_1R,24,1R
2,3,4866,橋本英一,29,福岡,55,B1,3.98,20.00,2.43,0.00,34.62,27.71,2019_11_15_24_1R,24,1R
3,4,4755,山田貴愛,31,長崎,54,B2,1.61,0.00,2.67,2.33,47.88,40.51,2019_11_15_24_1R,24,1R
4,5,3787,天野誠,48,岡山,54,B1,5.02,27.17,6.80,50.00,27.78,32.00,2019_11_15_24_1R,24,1R
5,6,4250,藤川利文,36,福岡,52,B1,3.96,15.85,4.72,25.00,30.13,40.00,2019_11_15_24_1R,24,1R
6,1,3809,吉田光,44,佐賀,48,B1,5.19,31.68,5.74,44.19,34.12,19.75,2019_11_15_24_2R,24,2R
7,2,4683,向井田直,29,広島,49,B1,5.00,32.84,3.42,15.79,27.89,20.73,2019_11_15_24_2R,24,2R
8,3,4674,池田剛規,32,福岡,51,B1,4.26,22.35,4.03,15.15,37.43,56.58,2019_11_15_24_2R,24,2R
9,4,4498,宮本夏樹,32,長崎,53,A2,5.41,35.48,5.87,42.73,39.39,33.75,2019_11_15_24_2R,24,2R
10,5,3584,佐々木英,46,広島,53,A2,5.75,39.32,5.12,32.00,35.40,40.96,2019_11_15_24_2R,24,2R
11,6,3925,大田誠,44,山口,50,B1,3.85,19.54,2.86,4.55,40.00,28.92,2019_11_15_24_2R,24,2R
12,1,3261,大川茂実,56,岡山,50,B1,4.05,18.69,4.69,31.25,38.75,34.21,2019_11_15_24_3R,24,3R
13,2,4293,鈴木智啓,34,愛知,57,B1,4.62,24.71,5.87,39.13,36.59,42.31,2019_11_15_24_3R,24,3R
14,3,4102,益田啓司,40,福岡,53,A2,6.30,47.83,6.08,46.03,45.06,28.21,2019_11_15_24_3R,24,3R
