,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,2,4603,谷川将太,48,73,6.93,3,0.10,24,1R,曇り,南,2,1,2020_11_16,2020_11_16_24_1R
1,2,6,3052,原田正己,50,29,6.98,2,0.15,24,1R,曇り,南,2,1,2020_11_16,2020_11_16_24_1R
2,3,1,4213,重富伸也,15,69,6.94,1,0.09,24,1R,曇り,南,2,1,2020_11_16,2020_11_16_24_1R
3,4,5,4605,森世里,65,24,6.99,6,0.16,24,1R,曇り,南,2,1,2020_11_16,2020_11_16_24_1R
4,5,4,4635,峰重力也,21,49,6.96,5,0.08,24,1R,曇り,南,2,1,2020_11_16,2020_11_16_24_1R
5,6,3,4955,福田慶尚,43,21,6.91,4,0.11,24,1R,曇り,南,2,1,2020_11_16,2020_11_16_24_1R
6,1,1,3516,吉原聖人,11,37,6.81,1,0.17,24,2R,曇り,南,2,1,2020_11_16,2020_11_16_24_2R
7,2,3,4301,関裕也,67,25,6.91,3,0.15,24,2R,曇り,南,2,1,2020_11_16,2020_11_16_24_2R
8,3,2,3906,飯山晃三,70,33,6.84,2,0.21,24,2R,曇り,南,2,1,2020_11_16,2020_11_16_24_2R
9,4,4,4656,大崎翔,61,20,6.93,4,0.14,24,2R,曇り,南,2,1,2020_11_16,2020_11_16_24_2R
10,5,5,3855,大熊辰弥,29,36,6.89,5,0.25,24,2R,曇り,南,2,1,2020_11_16,2020_11_16_24_2R
11,6,6,5117,冨名腰桃奈,34,41,6.84,6,0.16,24,2R,曇り,南,2,1,2020_11_16,2020_11_16_24_2R
12,1,1,3752,宇土泰就,66,40,6.90,1,0.15,24,3R,曇り,南,2,1,2020_11_16,2020_11_16_24_3R
13,2,2,3614,谷勝幸,27,68,6.93,2,0.14,24,3R,曇り,南,2,1,2020_11_16,2020_11_16_24_3R
14,3,6,3643,米田隆弘,76,26,6.87,6,0.23,24,3R,曇り,南,2,1,2020_11_16,2020_11_16_24_3R
15,4,5,3523,寳田亮治,24,17,6.95,5,0.21,24,3R,曇り,南,2,1,2020_11_16,2020_11_16_24_3R
16,5,4,3802,森岡真希,73,62,6.94,4,0.14,24,3R,曇り,南,2,1,2020_11_16,2020_11_16_24_3R
17,6,3,3527,中嶋誠一郎,71,74,6.91,3,0.11,24,3R,曇り,南,2,1,2020_11_16,2020_11_16_24_3R
18,1,1,4292,麻生慎介,31,66,6.95,1,0.28,24,4R,曇り,南,2,1,2020_11_16,2020_11_16_24_4R
19,2,6,3944,山口裕二,23,67,6.97,6,0.22,24,4R,曇り,南,2,1,2020_11_16,2020_11_16_24_4R
20,3,3,4055,吉田俊彦,20,47,6.97,3,0.25,24,4R,曇り,南,2,1,2020_11_16,2020_11_16_24_4R
21,4,4,3746,岡瀬正人,69,48,6.96,4,0.23,24,4R,曇り,南,2,1,2020_11_16,2020_11_16_24_4R
22,5,2,3424,松浦努,63,56,6.96,2,0.31,24,4R,曇り,南,2,1,2020_11_16,2020_11_16_24_4R
23,6,5,3925,大田誠,44,65,6.95,5,0.21,24,4R,曇り,南,2,1,2020_11_16,2020_11_16_24_4R
24,1,1,3933,山地正樹,49,50,6.80,1,0.15,24,5R,曇り,南,2,1,2020_11_16,2020_11_16_24_5R
25,2,2,3558,山本浩次,35,34,6.88,2,0.09,24,5R,曇り,南,2,1,2020_11_16,2020_11_16_24_5R
26,3,5,4753,森照夫,74,16,6.91,5,0.14,24,5R,曇り,南,2,1,2020_11_16,2020_11_16_24_5R
27,4,3,3574,大神康司,72,55,6.98,3,0.14,24,5R,曇り,南,2,1,2020_11_16,2020_11_16_24_5R
28,5,6,3901,松田憲幸,18,58,7.02,6,0.21,24,5R,曇り,南,2,1,2020_11_16,2020_11_16_24_5R
29,6,4,4994,山本梨菜,25,54,6.90,4,0.22,24,5R,曇り,南,2,1,2020_11_16,2020_11_16_24_5R
30,1,1,3349,吉田一郎,53,39,6.96,1,0.21,24,6R,曇り,南,1,1,2020_11_16,2020_11_16_24_6R
