,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,1,4497,桑原悠,12,44,6.91,1,0.15,24,1R,晴,西,3,2,2022_1_17,2022_1_17_24_1R
1,2,4,4451,松崎祐太郎,63,20,6.87,4,0.22,24,1R,晴,西,3,2,2022_1_17,2022_1_17_24_1R
2,3,3,3983,須藤博倫,65,52,6.83,3,0.21,24,1R,晴,西,3,2,2022_1_17,2022_1_17_24_1R
3,4,5,4042,丸岡正典,58,75,6.89,5,0.23,24,1R,晴,西,3,2,2022_1_17,2022_1_17_24_1R
4,5,6,4356,長岡良也,46,35,6.86,6,0.23,24,1R,晴,西,3,2,2022_1_17,2022_1_17_24_1R
5,6,2,4427,秦英悟,70,63,6.85,2,0.18,24,1R,晴,西,3,2,2022_1_17,2022_1_17_24_1R
6,1,2,4096,石橋道友,64,32,6.86,2,0.17,24,2R,晴,北西,2,1,2022_1_17,2022_1_17_24_2R
7,2,4,4361,柳生泰二,76,40,6.83,5,0.18,24,2R,晴,北西,2,1,2022_1_17,2022_1_17_24_2R
8,3,5,4024,井口佳典,24,55,6.83,4,0.14,24,2R,晴,北西,2,1,2022_1_17,2022_1_17_24_2R
9,4,6,4571,菅章哉,45,68,6.74,6,0.13,24,2R,晴,北西,2,1,2022_1_17,2022_1_17_24_2R
10,5,1,4802,中田達也,21,13,6.86,1,0.16,24,2R,晴,北西,2,1,2022_1_17,2022_1_17_24_2R
11,6,3,4398,船岡洋一郎,60,19,6.91,3,0.21,24,2R,晴,北西,2,1,2022_1_17,2022_1_17_24_2R
12,1,3,5043,中村日向,68,36,6.89,4,0.13,24,3R,晴,北西,3,2,2022_1_17,2022_1_17_24_3R
13,2,2,4049,荒川健太,23,49,6.97,2,0.19,24,3R,晴,北西,3,2,2022_1_17,2022_1_17_24_3R
14,3,5,4715,村上遼,13,48,6.91,6,0.09,24,3R,晴,北西,3,2,2022_1_17,2022_1_17_24_3R
