,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,6,4899,占部一真,25,146,6.85,5,0.04,22,1R,雨,南,2,2,2021_9_3,2021_9_3_22_1R
1,2,4,5172,田村慶,67,156,6.85,6,0.01,22,1R,雨,南,2,2,2021_9_3,2021_9_3_22_1R
2,3,1,5029,中亮太,73,131,6.81,1,0.20,22,1R,雨,南,2,2,2021_9_3,2021_9_3_22_1R
3,4,5,5016,宮田龍馬,36,117,6.90,4,0.14,22,1R,雨,南,2,2,2021_9_3,2021_9_3_22_1R
4,5,2,5071,野見山拓己,39,150,6.84,2,0.22,22,1R,雨,南,2,2,2021_9_3,2021_9_3_22_1R
5,6,3,5053,山口広樹,17,140,6.91,3,0.14,22,1R,雨,南,2,2,2021_9_3,2021_9_3_22_1R
6,1,3,5017,澤田尚也,40,147,6.84,3,0.08,22,2R,雨,南,3,3,2021_9_3,2021_9_3_22_2R
7,2,2,4736,高倉和士,69,139,6.89,2,0.09,22,2R,雨,南,3,3,2021_9_3,2021_9_3_22_2R
8,3,4,5143,常盤海心,66,153,6.89,4,0.24,22,2R,雨,南,3,3,2021_9_3,2021_9_3_22_2R
9,4,1,5014,梶山涼斗,33,133,6.84,1,0.07,22,2R,雨,南,3,3,2021_9_3,2021_9_3_22_2R
10,5,5,5115,香川颯太,71,128,6.86,5,0.22,22,2R,雨,南,3,3,2021_9_3,2021_9_3_22_2R
11,6,6,5102,原田雄次,54,138,6.90,6,0.19,22,2R,雨,南,3,3,2021_9_3,2021_9_3_22_2R
12,1,4,4932,新開航,16,157,6.86,4,0.06,22,3R,曇り,南西,3,3,2021_9_3,2021_9_3_22_3R
13,2,2,5018,竹下大樹,34,114,6.83,2,0.00,22,3R,曇り,南西,3,3,2021_9_3,2021_9_3_22_3R
14,3,6,5041,荒牧凪沙,22,168,6.86,6,0.27,22,3R,曇り,南西,3,3,2021_9_3,2021_9_3_22_3R
