,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,4248,岡本大,37,長崎,55,B1,4.97,28.09,4.82,26.14,27.78,38.24,2019_12_17_24_1R,24,1R
1,2,4457,神田達也,33,愛知,52,B1,4.49,18.82,4.78,22.22,37.62,30.48,2019_12_17_24_1R,24,1R
2,3,4592,小林孝弘,39,山口,52,B1,4.36,22.86,4.09,21.74,38.83,27.27,2019_12_17_24_1R,24,1R
3,4,4635,峰重力也,29,岡山,51,B1,4.38,28.13,4.47,36.84,39.46,50.98,2019_12_17_24_1R,24,1R
4,5,5064,品川二千,21,山口,49,B2,1.91,0.00,1.56,0.00,29.23,32.00,2019_12_17_24_1R,24,1R
5,6,4213,重富伸也,35,長崎,54,B1,4.46,22.86,5.29,33.33,20.89,23.96,2019_12_17_24_1R,24,1R
6,1,3430,角浜修,51,広島,54,B1,5.24,33.33,5.59,38.24,36.55,34.31,2019_12_17_24_2R,24,2R
7,2,4894,原村拓也,28,香川,54,B2,4.20,17.65,3.71,14.29,21.95,36.63,2019_12_17_24_2R,24,2R
8,3,3781,秋元誠,43,福井,56,B1,4.79,27.40,4.90,19.05,34.66,29.00,2019_12_17_24_2R,24,2R
9,4,4919,吉田翔悟,28,長崎,52,B1,4.18,19.32,3.16,9.18,31.58,32.95,2019_12_17_24_2R,24,2R
10,5,5119,真田翔磨,19,福岡,53,B2,1.70,0.00,0.00,0.00,35.08,32.04,2019_12_17_24_2R,24,2R
11,6,3878,胡本悟志,42,山口,52,B1,4.64,26.26,4.26,22.86,26.04,36.54,2019_12_17_24_2R,24,2R
12,1,3508,久富政弘,48,佐賀,55,B1,5.00,27.55,4.71,22.86,35.60,39.42,2019_12_17_24_3R,24,3R
13,2,3406,中里英夫,51,群馬,53,A2,6.02,39.67,5.80,25.00,29.51,21.36,2019_12_17_24_3R,24,3R
14,3,3981,今坂晃広,42,静岡,54,B1,5.81,43.37,5.83,43.48,37.23,32.65,2019_12_17_24_3R,24,3R
15,4,5000,岡本翔太,25,山口,51,B1,4.06,17.91,2.39,3.03,31.82,20.21,2019_12_17_24_3R,24,3R
16,5,4143,浦田晃嗣,38,佐賀,56,B1,4.11,15.91,4.33,16.67,36.87,27.00,2019_12_17_24_3R,24,3R
17,6,3574,大神康司,47,福岡,52,A1,6.54,48.70,6.22,46.00,25.45,38.83,2019_12_17_24_3R,24,3R
18,1,3558,山本浩次,46,岡山,52,A2,5.97,42.86,0.00,0.00,22.45,39.05,2019_12_17_24_4R,24,4R
19,2,3482,金子猛志,48,群馬,57,B1,4.03,19.12,2.22,11.11,28.49,27.17,2019_12_17_24_4R,24,4R
20,3,4665,加藤啓太,36,愛知,53,B1,4.74,24.36,3.00,12.50,25.00,26.47,2019_12_17_24_4R,24,4R
21,4,4873,蒲原健太,26,佐賀,53,B1,4.05,18.75,4.27,18.18,27.69,38.61,2019_12_17_24_4R,24,4R
22,5,4790,柳内敬太,30,兵庫,51,B1,4.17,23.73,4.58,25.58,36.51,42.86,2019_12_17_24_4R,24,4R
23,6,3290,倉谷和信,56,大阪,52,A1,6.14,45.07,7.31,65.52,36.63,25.51,2019_12_17_24_4R,24,4R
