,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,4259,真庭明志,35,長崎,51,A2,5.72,37.68,5.86,46.43,27.78,28.30,2019_9_16_23_1R,23,1R
1,2,4752,西尾亮輔,31,愛知,52,B1,4.46,25.29,3.13,12.50,50.00,36.04,2019_9_16_23_1R,23,1R
2,3,4943,八木治樹,28,愛知,53,B1,4.04,19.57,3.20,20.00,35.00,23.08,2019_9_16_23_1R,23,1R
3,4,4793,金子萌,29,静岡,51,B1,5.13,33.33,4.40,33.33,27.78,38.00,2019_9_16_23_1R,23,1R
4,5,4741,中村直喜,27,福岡,50,B2,2.51,7.84,3.24,17.65,17.86,21.36,2019_9_16_23_1R,23,1R
5,6,5093,浦野海,17,福岡,56,B2,1.47,0.00,1.38,0.00,13.33,20.95,2019_9_16_23_1R,23,1R
6,1,3558,山本浩次,46,岡山,53,A2,5.40,38.14,5.14,34.48,23.81,38.24,2019_9_16_23_2R,23,2R
7,2,3284,渡邊伸太,51,佐賀,52,A1,6.58,48.46,6.91,55.71,22.22,39.18,2019_9_16_23_2R,23,2R
8,3,4875,大塚康雅,25,東京,50,B1,5.05,30.26,4.13,18.75,26.32,32.04,2019_9_16_23_2R,23,2R
9,4,3928,林恵祐,43,福岡,58,B1,4.01,22.34,5.69,46.15,11.11,28.85,2019_9_16_23_2R,23,2R
10,5,4951,新田洋一,26,広島,54,B1,4.25,20.19,3.40,6.98,36.84,29.41,2019_9_16_23_2R,23,2R
11,6,4708,半田尚也,30,広島,55,B1,4.23,19.77,2.88,12.50,26.32,23.81,2019_9_16_23_2R,23,2R
12,1,3963,原田秀弥,40,大阪,55,A1,6.64,48.44,6.18,45.45,23.53,34.58,2019_9_16_23_3R,23,3R
13,2,4145,小澤学,37,東京,53,B1,4.01,17.58,4.44,12.50,57.89,40.91,2019_9_16_23_3R,23,3R
14,3,3892,草場康幸,43,佐賀,53,A2,5.75,39.08,5.84,41.04,42.11,34.95,2019_9_16_23_3R,23,3R
15,4,3459,中野和裕,52,佐賀,52,B1,4.79,25.33,4.36,18.56,16.67,35.58,2019_9_16_23_3R,23,3R
16,5,4167,片岡秀樹,37,徳島,56,B1,3.84,17.74,5.15,35.00,47.06,35.19,2019_9_16_23_3R,23,3R
17,6,4253,西川真人,36,滋賀,56,B1,4.01,16.36,4.20,26.67,29.41,27.36,2019_9_16_23_3R,23,3R
18,1,4102,益田啓司,40,福岡,51,A2,6.07,45.65,6.27,53.33,55.00,35.24,2019_9_16_23_4R,23,4R
19,2,4271,川崎公靖,37,広島,51,B1,4.89,27.85,4.37,21.05,40.00,35.85,2019_9_16_23_4R,23,4R
20,3,3965,北中元樹,40,滋賀,58,A2,6.08,45.79,7.36,63.64,42.86,36.46,2019_9_16_23_4R,23,4R
21,4,4189,川上剛,38,福岡,54,A1,6.73,51.05,7.17,54.29,35.29,33.33,2019_9_16_23_4R,23,4R
22,5,3948,大町利克,43,大阪,54,B1,5.30,27.91,4.83,25.00,45.00,27.36,2019_9_16_23_4R,23,4R
23,6,3477,近藤稔也,49,徳島,56,B1,4.19,17.20,4.60,20.00,40.00,38.68,2019_9_16_23_4R,23,4R
24,1,4006,小野勇作,41,佐賀,50,B1,6.18,43.69,6.00,42.61,31.58,39.22,2019_9_16_23_5R,23,5R
25,2,4080,山崎哲司,40,愛知,53,A1,6.69,52.63,0.00,0.00,6.25,26.32,2019_9_16_23_5R,23,5R
26,3,4440,萩原知哉,33,東京,54,B1,5.33,35.00,4.50,30.00,23.53,26.21,2019_9_16_23_5R,23,5R
27,4,4449,中嶋達也,32,兵庫,53,B1,3.55,15.58,0.00,0.00,36.84,38.00,2019_9_16_23_5R,23,5R
28,5,3780,魚谷智之,43,兵庫,51,A1,7.78,56.00,6.48,44.83,8.33,39.45,2019_9_16_23_5R,23,5R
29,6,4752,西尾亮輔,31,愛知,52,B1,4.46,25.29,3.13,12.50,50.00,36.04,2019_9_16_23_5R,23,5R
30,1,4793,金子萌,29,静岡,51,B1,5.13,33.33,4.40,33.33,27.78,38.00,2019_9_16_23_6R,23,6R
31,2,4677,片橋幸貴,31,滋賀,53,A1,5.67,37.65,0.00,0.00,42.11,39.81,2019_9_16_23_6R,23,6R
32,3,4466,南佑典,33,三重,51,A2,5.75,34.55,5.32,32.43,17.65,39.60,2019_9_16_23_6R,23,6R
33,4,3976,内田圭,42,山口,58,B1,4.08,28.74,4.22,29.63,36.36,48.54,2019_9_16_23_6R,23,6R
34,5,4603,谷川将太,31,長崎,53,B1,4.81,28.00,4.20,20.00,10.53,47.22,2019_9_16_23_6R,23,6R
35,6,3352,小川晃司,51,福岡,49,B1,4.56,17.59,3.83,11.11,47.37,34.69,2019_9_16_23_6R,23,6R
36,1,3928,林恵祐,43,福岡,58,B1,4.01,22.34,5.69,46.15,11.11,28.85,2019_9_16_23_7R,23,7R
37,2,3685,荒井輝年,45,岡山,56,A2,5.72,35.88,6.10,46.67,52.63,23.53,2019_9_16_23_7R,23,7R
38,3,4302,西野翔太,36,広島,52,A1,5.91,41.59,6.08,44.00,33.33,33.64,2019_9_16_23_7R,23,7R
39,4,4880,澤崎雄哉,24,東京,51,B1,4.57,27.19,0.00,0.00,66.67,34.58,2019_9_16_23_7R,23,7R
40,5,4943,八木治樹,28,愛知,53,B1,4.04,19.57,3.20,20.00,35.00,23.08,2019_9_16_23_7R,23,7R
41,6,4073,大橋純一,38,静岡,50,A2,6.40,46.32,7.50,60.53,33.33,22.33,2019_9_16_23_7R,23,7R
42,1,3459,中野和裕,52,佐賀,52,B1,4.79,25.33,4.36,18.56,16.67,35.58,2019_9_16_23_8R,23,8R
43,2,3477,近藤稔也,49,徳島,56,B1,4.19,17.20,4.60,20.00,40.00,38.68,2019_9_16_23_8R,23,8R
44,3,3444,香月大介,49,福岡,53,B1,4.37,22.77,4.34,15.79,31.58,21.70,2019_9_16_23_8R,23,8R
45,4,4101,三井所尊,40,佐賀,51,A1,7.17,62.38,7.41,64.96,73.68,29.41,2019_9_16_23_8R,23,8R
46,5,4708,半田尚也,30,広島,55,B1,4.23,19.77,2.88,12.50,26.32,23.81,2019_9_16_23_8R,23,8R
47,6,5040,木村颯,21,山口,54,B2,1.54,0.00,1.67,0.00,11.11,29.36,2019_9_16_23_8R,23,8R
48,1,4167,片岡秀樹,37,徳島,56,B1,3.84,17.74,5.15,35.00,47.06,35.19,2019_9_16_23_9R,23,9R
49,2,4951,新田洋一,26,広島,54,B1,4.25,20.19,3.40,6.98,36.84,29.41,2019_9_16_23_9R,23,9R
50,3,4006,小野勇作,41,佐賀,50,B1,6.18,43.69,6.00,42.61,31.58,38.74,2019_9_16_23_9R,23,9R
51,4,4042,丸岡正典,40,大阪,51,A1,6.61,43.88,6.46,42.86,16.67,24.53,2019_9_16_23_9R,23,9R
52,5,5093,浦野海,17,福岡,56,B2,1.47,0.00,1.38,0.00,13.33,20.95,2019_9_16_23_9R,23,9R
53,6,3745,橋本年光,44,兵庫,53,A2,6.15,38.18,5.94,36.11,13.33,29.63,2019_9_16_23_9R,23,9R
54,1,3948,大町利克,43,大阪,54,B1,5.30,27.91,4.83,25.00,45.00,27.36,2019_9_16_23_10R,23,10R
55,2,4259,真庭明志,35,長崎,51,A2,5.72,37.68,5.86,46.43,27.78,28.30,2019_9_16_23_10R,23,10R
56,3,4070,中村亮太,38,長崎,52,A1,6.46,52.78,7.63,65.85,33.33,34.29,2019_9_16_23_10R,23,10R
57,4,3284,渡邊伸太,51,佐賀,52,A1,6.58,48.46,6.91,55.71,22.22,39.18,2019_9_16_23_10R,23,10R
58,5,3352,小川晃司,51,福岡,49,B1,4.56,17.59,3.83,11.11,47.37,34.69,2019_9_16_23_10R,23,10R
59,6,4440,萩原知哉,33,東京,54,B1,5.33,35.00,4.50,30.00,23.53,26.21,2019_9_16_23_10R,23,10R
60,1,4189,川上剛,38,福岡,54,A1,6.73,51.05,7.17,54.29,35.29,33.33,2019_9_16_23_11R,23,11R
61,2,3558,山本浩次,46,岡山,53,A2,5.40,38.14,5.14,34.48,23.81,38.24,2019_9_16_23_11R,23,11R
62,3,4449,中嶋達也,32,兵庫,53,B1,3.55,15.58,0.00,0.00,36.84,38.00,2019_9_16_23_11R,23,11R
63,4,3054,北川幸典,56,広島,57,A2,5.20,36.59,7.00,50.00,16.67,33.33,2019_9_16_23_11R,23,11R
64,5,4677,片橋幸貴,31,滋賀,53,A1,5.67,37.65,0.00,0.00,42.11,39.81,2019_9_16_23_11R,23,11R
65,6,4625,渡邊裕貴,33,静岡,52,B1,4.31,22.92,4.85,30.00,52.63,33.33,2019_9_16_23_11R,23,11R
66,1,4101,三井所尊,40,佐賀,51,A1,7.17,62.38,7.41,64.96,73.68,29.41,2019_9_16_23_12R,23,12R
67,2,4466,南佑典,33,三重,51,A2,5.75,34.55,5.32,32.43,17.65,39.60,2019_9_16_23_12R,23,12R
68,3,3963,原田秀弥,40,大阪,55,A1,6.64,48.44,6.18,45.45,23.53,34.58,2019_9_16_23_12R,23,12R
69,4,3685,荒井輝年,45,岡山,56,A2,5.72,35.88,6.10,46.67,52.63,23.53,2019_9_16_23_12R,23,12R
70,5,4080,山崎哲司,40,愛知,53,A1,6.69,52.63,0.00,0.00,6.25,26.32,2019_9_16_23_12R,23,12R
71,6,3965,北中元樹,40,滋賀,58,A2,6.08,45.79,7.36,63.64,42.86,36.46,2019_9_16_23_12R,23,12R
72,1,4430,永田秀二,33,東京,55,A1,6.50,45.67,5.78,38.89,26.53,48.15,2019_9_16_22_1R,22,1R
73,2,4970,井町泰,28,山口,49,B2,1.91,4.65,1.20,0.00,31.25,54.76,2019_9_16_22_1R,22,1R
74,3,4277,金田大輔,36,岡山,50,B1,4.89,28.77,3.13,12.50,26.42,32.50,2019_9_16_22_1R,22,1R
75,4,3187,篠原俊夫,58,香川,52,B1,5.25,34.02,5.00,33.33,38.60,32.50,2019_9_16_22_1R,22,1R
76,5,4007,榮田将彦,40,山口,47,B1,4.95,31.25,3.00,20.00,33.33,38.78,2019_9_16_22_1R,22,1R
77,6,3508,久富政弘,48,佐賀,55,B1,4.70,23.71,5.26,36.84,22.22,32.73,2019_9_16_22_1R,22,1R
78,1,4487,三原司,33,福岡,51,B1,4.68,27.45,5.21,28.57,33.33,36.96,2019_9_16_22_2R,22,2R
79,2,4376,藤田靖弘,35,静岡,50,A2,5.71,34.62,0.00,0.00,29.69,44.68,2019_9_16_22_2R,22,2R
80,3,3202,三品隆浩,54,東京,53,B1,4.50,20.51,3.04,7.41,17.78,26.42,2019_9_16_22_2R,22,2R
81,4,4003,表憲一,41,福井,53,A2,5.48,31.50,5.78,33.33,19.23,25.00,2019_9_16_22_2R,22,2R
82,5,4355,小川広大,35,福岡,56,B1,4.40,20.00,4.38,20.93,42.31,16.28,2019_9_16_22_2R,22,2R
83,6,3698,小巻良至,47,埼玉,54,B1,4.04,19.15,3.14,0.00,30.43,21.43,2019_9_16_22_2R,22,2R
84,1,3973,崎利仁,43,群馬,54,B1,3.94,18.81,5.00,20.00,20.00,25.49,2019_9_16_22_3R,22,3R
85,2,3996,秋山直之,40,群馬,51,A1,6.50,44.17,6.41,35.14,27.27,27.66,2019_9_16_22_3R,22,3R
86,3,4213,重富伸也,35,長崎,55,B1,4.31,22.34,5.60,37.14,28.00,48.08,2019_9_16_22_3R,22,3R
87,4,4169,多田有佑,37,東京,53,B1,4.53,26.67,3.35,11.76,32.26,41.82,2019_9_16_22_3R,22,3R
88,5,3385,渡邉睦広,50,東京,51,A2,6.01,42.74,7.28,58.62,26.03,31.37,2019_9_16_22_3R,22,3R
89,6,3911,鈴木猛,45,東京,55,B1,5.13,35.44,0.00,0.00,27.69,20.93,2019_9_16_22_3R,22,3R
90,1,4143,浦田晃嗣,38,佐賀,56,B1,4.31,20.43,4.67,27.78,34.43,50.00,2019_9_16_22_4R,22,4R
91,2,4175,川尻泰輔,36,埼玉,55,A1,5.77,36.29,5.32,32.00,27.03,33.93,2019_9_16_22_4R,22,4R
92,3,3235,鈴木唯由,57,群馬,49,B1,4.43,23.17,4.64,28.57,28.57,44.64,2019_9_16_22_4R,22,4R
93,4,3070,山室展弘,58,岡山,50,A1,7.25,59.63,6.77,53.85,36.07,27.27,2019_9_16_22_4R,22,4R
94,5,4890,石川諒,30,山口,51,B2,4.34,17.86,2.81,11.11,23.53,26.09,2019_9_16_22_4R,22,4R
95,6,4693,松下誉士,35,福岡,52,B2,4.26,21.05,4.17,20.34,36.84,56.60,2019_9_16_22_4R,22,4R
96,1,3401,上田隆章,52,香川,53,A2,5.87,38.66,6.90,55.17,27.78,32.65,2019_9_16_22_5R,22,5R
97,2,4803,飯田庄吾,25,福岡,55,B1,4.09,21.28,4.96,27.93,30.61,33.33,2019_9_16_22_5R,22,5R
98,3,3335,小菅文隆,50,佐賀,61,B1,3.70,17.46,4.16,21.88,36.67,22.22,2019_9_16_22_5R,22,5R
99,4,4277,金田大輔,36,岡山,50,B1,4.89,28.77,3.13,12.50,26.42,32.50,2019_9_16_22_5R,22,5R
100,5,4151,下河誉史,37,福岡,57,A2,5.42,27.27,5.33,31.19,34.55,33.93,2019_9_16_22_5R,22,5R
101,6,3631,田添康介,49,長崎,57,A2,5.94,44.00,6.00,46.88,25.00,28.57,2019_9_16_22_5R,22,5R
102,1,4007,榮田将彦,40,山口,47,B1,4.95,31.25,3.00,20.00,33.33,38.78,2019_9_16_22_6R,22,6R
103,2,4533,峰重侑治,30,岡山,51,B1,4.75,26.37,5.10,24.14,22.73,20.37,2019_9_16_22_6R,22,6R
104,3,4003,表憲一,41,福井,53,A2,5.48,31.50,5.78,33.33,19.23,25.00,2019_9_16_22_6R,22,6R
105,4,4376,藤田靖弘,35,静岡,50,A2,5.71,34.62,0.00,0.00,29.69,44.68,2019_9_16_22_6R,22,6R
106,5,4318,桑原将光,35,東京,52,A2,5.54,39.25,4.76,29.41,21.74,34.15,2019_9_16_22_6R,22,6R
107,6,4090,中村尊,39,埼玉,53,A1,6.55,47.62,5.00,40.00,16.28,34.09,2019_9_16_22_6R,22,6R
108,1,4355,小川広大,35,福岡,56,B1,4.40,20.00,4.38,20.93,42.31,16.28,2019_9_16_22_7R,22,7R
109,2,4221,南部圭史,37,香川,50,B1,4.12,20.00,5.75,25.00,28.26,38.30,2019_9_16_22_7R,22,7R
110,3,3784,中島友和,43,佐賀,52,A2,5.75,42.61,7.03,58.97,18.03,33.33,2019_9_16_22_7R,22,7R
111,4,4213,重富伸也,35,長崎,55,B1,4.31,22.34,5.60,37.14,28.00,48.08,2019_9_16_22_7R,22,7R
112,5,3973,崎利仁,43,群馬,54,B1,3.94,18.81,5.00,20.00,20.00,25.49,2019_9_16_22_7R,22,7R
113,6,3866,木山誠一,44,岡山,57,B1,4.49,23.86,2.59,0.00,25.45,17.31,2019_9_16_22_7R,22,7R
114,1,4441,末永由楽,33,岡山,52,A2,5.88,36.90,5.58,36.84,7.14,27.66,2019_9_16_22_8R,22,8R
115,2,4890,石川諒,30,山口,51,B2,4.34,17.86,2.81,11.11,23.53,26.09,2019_9_16_22_8R,22,8R
116,3,3187,篠原俊夫,58,香川,52,B1,5.25,34.02,5.00,33.33,38.60,34.04,2019_9_16_22_8R,22,8R
117,4,3235,鈴木唯由,57,群馬,49,B1,4.43,23.17,4.64,28.57,28.57,44.64,2019_9_16_22_8R,22,8R
118,5,4970,井町泰,28,山口,49,B2,1.91,4.65,1.20,0.00,31.25,54.76,2019_9_16_22_8R,22,8R
119,6,3385,渡邉睦広,50,東京,51,A2,6.01,42.74,7.28,58.62,26.03,31.37,2019_9_16_22_8R,22,8R
120,1,3508,久富政弘,48,佐賀,55,B1,4.70,23.71,5.26,36.84,22.22,32.73,2019_9_16_22_9R,22,9R
121,2,4487,三原司,33,福岡,51,B1,4.68,27.45,5.21,28.57,33.33,36.96,2019_9_16_22_9R,22,9R
122,3,4169,多田有佑,37,東京,53,B1,4.53,26.67,3.35,11.76,32.26,41.82,2019_9_16_22_9R,22,9R
123,4,4175,川尻泰輔,36,埼玉,55,A1,5.77,36.29,5.32,32.00,27.03,33.93,2019_9_16_22_9R,22,9R
124,5,3202,三品隆浩,54,東京,53,B1,4.50,20.51,3.04,7.41,17.78,26.42,2019_9_16_22_9R,22,9R
125,6,3401,上田隆章,52,香川,53,A2,5.87,38.66,6.90,55.17,27.78,32.65,2019_9_16_22_9R,22,9R
126,1,3631,田添康介,49,長崎,57,A2,5.94,44.00,6.00,46.88,25.00,28.57,2019_9_16_22_10R,22,10R
127,2,3911,鈴木猛,45,東京,55,B1,5.13,35.44,0.00,0.00,27.69,20.93,2019_9_16_22_10R,22,10R
128,3,3070,山室展弘,58,岡山,50,A1,7.25,59.63,6.77,53.85,36.07,27.27,2019_9_16_22_10R,22,10R
129,4,4430,永田秀二,33,東京,55,A1,6.50,45.67,5.78,38.89,26.53,48.15,2019_9_16_22_10R,22,10R
130,5,4803,飯田庄吾,25,福岡,55,B1,4.09,21.28,4.96,27.93,30.61,33.33,2019_9_16_22_10R,22,10R
131,6,3996,秋山直之,40,群馬,51,A1,6.50,44.17,6.41,35.14,27.27,27.66,2019_9_16_22_10R,22,10R
132,1,4090,中村尊,39,埼玉,53,A1,6.55,47.62,5.00,40.00,16.28,34.09,2019_9_16_22_11R,22,11R
133,2,4318,桑原将光,35,東京,52,A2,5.54,39.25,4.76,29.41,21.74,34.15,2019_9_16_22_11R,22,11R
134,3,4693,松下誉士,35,福岡,52,B2,4.26,21.05,4.17,20.34,36.84,56.60,2019_9_16_22_11R,22,11R
135,4,4441,末永由楽,33,岡山,52,A2,5.88,36.90,5.58,36.84,7.14,27.66,2019_9_16_22_11R,22,11R
136,5,3335,小菅文隆,50,佐賀,61,B1,3.70,17.46,4.16,21.88,36.67,22.22,2019_9_16_22_11R,22,11R
137,6,3784,中島友和,43,佐賀,52,A2,5.75,42.61,7.03,58.97,18.03,33.33,2019_9_16_22_11R,22,11R
138,1,3946,赤岩善生,43,愛知,53,A1,7.09,46.91,7.27,47.73,28.33,32.08,2019_9_16_22_12R,22,12R
139,2,3703,鳥飼眞,45,福岡,51,A1,6.70,51.45,7.02,53.70,27.03,18.92,2019_9_16_22_12R,22,12R
140,3,4458,抹香雄三,33,広島,55,A2,4.68,23.53,5.55,45.45,26.42,29.79,2019_9_16_22_12R,22,12R
141,4,3995,重野哲之,40,静岡,53,A1,6.82,56.90,7.75,65.63,32.50,39.58,2019_9_16_22_12R,22,12R
142,5,4292,麻生慎介,34,広島,51,A2,5.69,40.38,6.00,42.86,28.26,45.83,2019_9_16_22_12R,22,12R
143,6,4703,森永隆,31,山口,51,A1,5.96,40.46,6.20,50.00,21.62,24.53,2019_9_16_22_12R,22,12R
144,1,4099,吉永則雄,40,大阪,53,A1,6.55,50.00,6.85,48.15,29.51,22.50,2019_9_16_21_1R,21,1R
145,2,4511,中岡健人,30,香川,58,B1,3.73,12.87,0.00,0.00,16.33,25.61,2019_9_16_21_1R,21,1R
146,3,3944,山口裕二,40,長崎,51,B2,6.73,51.80,6.75,58.33,41.79,34.57,2019_9_16_21_1R,21,1R
147,4,4288,永田啓二,34,福岡,52,B1,5.84,40.91,5.66,46.81,48.48,39.51,2019_9_16_21_1R,21,1R
148,5,4202,浮田圭浩,37,岡山,53,B1,5.70,41.18,3.89,13.51,22.95,38.55,2019_9_16_21_1R,21,1R
149,6,5041,荒牧凪沙,20,福岡,51,B2,2.10,4.23,1.98,2.27,31.67,30.00,2019_9_16_21_1R,21,1R
150,1,4079,出畑孝典,40,福岡,51,A2,6.05,43.94,5.59,39.08,35.59,34.48,2019_9_16_21_2R,21,2R
151,2,3585,井川真人,46,岡山,55,B1,4.13,16.85,4.71,20.59,50.00,34.57,2019_9_16_21_2R,21,2R
152,3,4250,藤川利文,36,福岡,53,B1,3.94,17.24,4.19,19.12,27.78,40.70,2019_9_16_21_2R,21,2R
153,4,4324,海野康志,31,山口,60,A1,6.59,49.60,6.70,53.97,33.33,38.64,2019_9_16_21_2R,21,2R
154,5,3044,三宅爾士,58,福井,57,B1,5.12,26.26,0.00,0.00,30.16,18.52,2019_9_16_21_2R,21,2R
155,6,5084,末永和也,20,佐賀,52,B2,2.55,6.82,0.00,0.00,33.33,38.37,2019_9_16_21_2R,21,2R
156,1,3488,柳田英明,52,東京,52,A2,5.54,39.37,5.10,28.21,22.45,45.88,2019_9_16_21_3R,21,3R
157,2,3107,平岡重典,55,大阪,49,B1,4.78,26.47,3.90,20.00,27.12,30.59,2019_9_16_21_3R,21,3R
158,3,4236,松村敏,35,福岡,53,A1,6.30,42.28,7.32,54.55,44.90,21.18,2019_9_16_21_3R,21,3R
159,4,4665,加藤啓太,35,愛知,51,B1,4.16,15.94,3.47,0.00,51.61,23.81,2019_9_16_21_3R,21,3R
160,5,3543,福田雅一,50,香川,54,A1,5.45,37.76,5.37,31.58,39.39,38.27,2019_9_16_21_3R,21,3R
161,6,4062,後藤陽介,40,愛知,56,B1,4.29,27.55,4.50,29.17,49.02,32.22,2019_9_16_21_3R,21,3R
162,1,4391,松田祐季,33,福井,51,A1,7.17,57.34,7.53,61.11,28.85,33.72,2019_9_16_21_4R,21,4R
163,2,4637,中田友也,29,埼玉,58,B1,5.37,29.47,4.62,27.59,44.07,17.98,2019_9_16_21_4R,21,4R
164,3,4359,横川聖志,35,徳島,55,A2,6.38,48.80,4.63,31.25,30.16,50.00,2019_9_16_21_4R,21,4R
165,4,4598,加藤政彦,35,東京,52,A2,6.04,40.74,5.56,28.13,25.76,23.26,2019_9_16_21_4R,21,4R
166,5,4873,蒲原健太,25,佐賀,51,B1,4.16,17.20,4.45,19.35,15.00,39.19,2019_9_16_21_4R,21,4R
167,6,4485,楠原正剛,33,福岡,54,B1,4.83,25.33,5.04,33.78,31.75,44.32,2019_9_16_21_4R,21,4R
168,1,4434,田中辰彦,33,広島,54,A2,5.68,34.19,4.76,23.53,53.03,44.71,2019_9_16_21_5R,21,5R
169,2,3909,佐々木康,46,静岡,54,A1,6.66,49.59,8.11,55.56,52.00,36.84,2019_9_16_21_5R,21,5R
