,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,1,3568,木村光宏,62,51,6.80,1,0.13,24,1R,曇り,北西,1,1,2021_5_24,2021_5_24_24_1R
1,2,2,4027,松江秀徳,66,74,6.90,2,0.18,24,1R,曇り,北西,1,1,2021_5_24,2021_5_24_24_1R
2,3,3,4370,山口達也,61,11,6.84,3,0.17,24,1R,曇り,北西,1,1,2021_5_24,2021_5_24_24_1R
3,4,6,3527,中嶋誠一郎,25,63,6.87,6,0.19,24,1R,曇り,北西,1,1,2021_5_24,2021_5_24_24_1R
4,5,4,4033,伊藤将吉,72,45,6.85,4,0.18,24,1R,曇り,北西,1,1,2021_5_24,2021_5_24_24_1R
5,1,1,4933,板橋侑我,60,53,6.92,1,0.09,24,2R,晴,北西,1,1,2021_5_24,2021_5_24_24_2R
6,2,5,4120,柘植政浩,27,72,6.98,5,0.16,24,2R,晴,北西,1,1,2021_5_24,2021_5_24_24_2R
7,3,3,4553,坪口竜也,59,13,6.86,3,0.14,24,2R,晴,北西,1,1,2021_5_24,2021_5_24_24_2R
8,4,2,4151,下河誉史,47,38,6.97,2,0.11,24,2R,晴,北西,1,1,2021_5_24,2021_5_24_24_2R
9,5,6,4140,梶野学志,11,37,6.95,6,0.14,24,2R,晴,北西,1,1,2021_5_24,2021_5_24_24_2R
10,6,4,3746,岡瀬正人,54,24,6.95,4,0.20,24,2R,晴,北西,1,1,2021_5_24,2021_5_24_24_2R
11,1,2,4437,中田元泰,26,33,6.84,2,0.09,24,3R,晴,北西,1,1,2021_5_24,2021_5_24_24_3R
12,2,4,4822,百武翔,71,40,6.89,4,0.17,24,3R,晴,北西,1,1,2021_5_24,2021_5_24_24_3R
13,3,5,4013,中島孝平,52,50,6.92,5,0.12,24,3R,晴,北西,1,1,2021_5_24,2021_5_24_24_3R
14,4,6,3629,浅見昌克,58,70,6.83,6,0.12,24,3R,晴,北西,1,1,2021_5_24,2021_5_24_24_3R
15,5,1,3957,大谷直弘,44,56,6.85,1,0.06,24,3R,晴,北西,1,1,2021_5_24,2021_5_24_24_3R
16,6,3,3990,芹澤克彦,48,48,6.89,3,0.14,24,3R,晴,北西,1,1,2021_5_24,2021_5_24_24_3R
17,1,1,3822,平尾崇典,20,41,6.83,1,0.07,24,4R,晴,北西,2,1,2021_5_24,2021_5_24_24_4R
18,2,2,4113,木村浩士,33,15,7.02,2,0.11,24,4R,晴,北西,2,1,2021_5_24,2021_5_24_24_4R
19,3,5,3912,川原正明,46,14,6.92,5,0.04,24,4R,晴,北西,2,1,2021_5_24,2021_5_24_24_4R
20,4,4,3719,辻栄蔵,13,16,6.94,4,0.11,24,4R,晴,北西,2,1,2021_5_24,2021_5_24_24_4R
21,5,6,4040,廣瀬将亨,35,60,6.93,6,0.05,24,4R,晴,北西,2,1,2021_5_24,2021_5_24_24_4R
22,1,3,4852,川原祐明,70,44,6.84,3,0.19,24,5R,晴,北西,2,1,2021_5_24,2021_5_24_24_5R
23,2,1,3918,深井利寿,69,47,6.82,1,0.16,24,5R,晴,北西,2,1,2021_5_24,2021_5_24_24_5R
24,3,4,4547,中田竜太,29,34,6.87,4,0.15,24,5R,晴,北西,2,1,2021_5_24,2021_5_24_24_5R
25,4,6,3944,山口裕二,23,35,6.82,6,0.14,24,5R,晴,北西,2,1,2021_5_24,2021_5_24_24_5R
26,5,2,3935,岩津徹郎,53,69,6.85,2,0.26,24,5R,晴,北西,2,1,2021_5_24,2021_5_24_24_5R
27,6,5,3726,桂林寛,14,29,6.86,5,0.15,24,5R,晴,北西,2,1,2021_5_24,2021_5_24_24_5R
28,1,1,4769,馬場剛,64,46,6.83,1,0.10,24,6R,晴,北西,1,1,2021_5_24,2021_5_24_24_6R
29,2,2,4205,山口剛,43,27,6.87,2,0.13,24,6R,晴,北西,1,1,2021_5_24,2021_5_24_24_6R
30,3,4,4027,松江秀徳,66,74,6.91,4,0.13,24,6R,晴,北西,1,1,2021_5_24,2021_5_24_24_6R
31,4,5,4074,柳沢一,21,76,6.91,5,0.13,24,6R,晴,北西,1,1,2021_5_24,2021_5_24_24_6R
32,5,3,4151,下河誉史,47,38,6.88,3,0.15,24,6R,晴,北西,1,1,2021_5_24,2021_5_24_24_6R
33,6,6,4926,吉川貴仁,73,68,6.80,6,0.23,24,6R,晴,北西,1,1,2021_5_24,2021_5_24_24_6R
34,1,1,4042,丸岡正典,15,54,6.87,1,0.09,24,7R,晴,北西,1,1,2021_5_24,2021_5_24_24_7R
35,2,4,3543,福田雅一,30,23,6.88,4,0.09,24,7R,晴,北西,1,1,2021_5_24,2021_5_24_24_7R
36,3,5,4553,坪口竜也,59,13,6.87,5,0.15,24,7R,晴,北西,1,1,2021_5_24,2021_5_24_24_7R
37,4,2,4856,豊田健士郎,50,58,6.89,2,0.14,24,7R,晴,北西,1,1,2021_5_24,2021_5_24_24_7R
38,5,6,3788,一宮稔弘,39,66,6.90,6,0.13,24,7R,晴,北西,1,1,2021_5_24,2021_5_24_24_7R
