,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,1,4294,古賀繁輝,35,78,6.96,1,0.09,23,1R,晴,北東,5,5,2019_11_25,1-2-3,580,1-2-3,340,1-2,300,1-2,320,2019_11_25_23_1R
1,2,2,3617,竹田広樹,42,66,6.95,2,0.13,23,1R,晴,北東,5,5,2019_11_25,1-2-3,580,1-2-3,340,1-2,300,1-2,320,2019_11_25_23_1R
2,3,3,3753,河上哲也,63,76,6.98,3,0.19,23,1R,晴,北東,5,5,2019_11_25,1-2-3,580,1-2-3,340,1-2,300,1-2,320,2019_11_25_23_1R
3,4,4,4899,占部一真,61,87,6.96,4,0.21,23,1R,晴,北東,5,5,2019_11_25,1-2-3,580,1-2-3,340,1-2,300,1-2,320,2019_11_25_23_1R
4,5,5,5035,櫻井優,23,73,6.91,5,0.18,23,1R,晴,北東,5,5,2019_11_25,1-2-3,580,1-2-3,340,1-2,300,1-2,320,2019_11_25_23_1R
5,6,6,5117,冨名腰桃奈,27,70,6.80,6,0.18,23,1R,晴,北東,5,5,2019_11_25,1-2-3,580,1-2-3,340,1-2,300,1-2,320,2019_11_25_23_1R
6,1,2,4384,鶴本崇文,47,88,6.91,2,0.16,23,2R,曇り,北東,5,5,2019_11_25,2-1-3,840,1-2-3,170,2-1,430,1-2,120,2019_11_25_23_2R
7,2,1,3265,今村暢孝,44,34,6.87,1,0.17,23,2R,曇り,北東,5,5,2019_11_25,2-1-3,840,1-2-3,170,2-1,430,1-2,120,2019_11_25_23_2R
8,3,3,3604,武藤綾子,12,49,6.83,3,0.11,23,2R,曇り,北東,5,5,2019_11_25,2-1-3,840,1-2-3,170,2-1,430,1-2,120,2019_11_25_23_2R
9,4,4,4994,山本梨菜,64,35,6.83,4,0.06,23,2R,曇り,北東,5,5,2019_11_25,2-1-3,840,1-2-3,170,2-1,430,1-2,120,2019_11_25_23_2R
10,5,6,4867,松山靖,31,77,6.83,6,0.14,23,2R,曇り,北東,5,5,2019_11_25,2-1-3,840,1-2-3,170,2-1,430,1-2,120,2019_11_25_23_2R
11,6,5,4956,齊藤大将,53,40,6.81,5,0.07,23,2R,曇り,北東,5,5,2019_11_25,2-1-3,840,1-2-3,170,2-1,430,1-2,120,2019_11_25_23_2R
12,1,2,4725,佐竹太一,48,85,6.85,2,0.15,23,3R,晴,北東,4,4,2019_11_25,2-1-3,4630,1-2-3,190,2-1,3640,1-2,380,2019_11_25_23_3R
13,2,1,4090,中村尊,20,36,6.84,1,0.04,23,3R,晴,北東,4,4,2019_11_25,2-1-3,4630,1-2-3,190,2-1,3640,1-2,380,2019_11_25_23_3R
14,3,3,4504,前田将太,70,80,6.78,3,0.11,23,3R,晴,北東,4,4,2019_11_25,2-1-3,4630,1-2-3,190,2-1,3640,1-2,380,2019_11_25_23_3R
15,4,5,3483,入船幸子,21,53,6.84,5,0.21,23,3R,晴,北東,4,4,2019_11_25,2-1-3,4630,1-2-3,190,2-1,3640,1-2,380,2019_11_25_23_3R
16,5,4,4973,栗原直也,29,52,6.89,4,0.27,23,3R,晴,北東,4,4,2019_11_25,2-1-3,4630,1-2-3,190,2-1,3640,1-2,380,2019_11_25_23_3R
17,1,3,3809,吉田光,15,81,6.86,3,0.17,23,4R,曇り,北東,4,4,2019_11_25,3-1-5,24210,1-3-5,2810,3-1,3870,1-3,420,2019_11_25_23_4R
18,2,1,4269,杉山裕也,40,58,6.82,1,0.18,23,4R,曇り,北東,4,4,2019_11_25,3-1-5,24210,1-3-5,2810,3-1,3870,1-3,420,2019_11_25_23_4R
19,3,5,4978,山田和佐,30,69,6.83,5,0.16,23,4R,曇り,北東,4,4,2019_11_25,3-1-5,24210,1-3-5,2810,3-1,3870,1-3,420,2019_11_25_23_4R
20,4,4,4316,山口裕太,38,41,6.88,4,0.19,23,4R,曇り,北東,4,4,2019_11_25,3-1-5,24210,1-3-5,2810,3-1,3870,1-3,420,2019_11_25_23_4R
21,5,6,4431,石塚裕介,68,63,6.85,6,0.22,23,4R,曇り,北東,4,4,2019_11_25,3-1-5,24210,1-3-5,2810,3-1,3870,1-3,420,2019_11_25_23_4R
22,6,2,4860,伏見卓,16,90,6.79,2,0.17,23,4R,曇り,北東,4,4,2019_11_25,3-1-5,24210,1-3-5,2810,3-1,3870,1-3,420,2019_11_25_23_4R
23,1,2,3694,木村恒一,39,56,6.91,2,0.24,23,5R,曇り,北東,4,4,2019_11_25,2-3-1,13590,1-2-3,880,2-3,4160,2-3,1590,2019_11_25_23_5R
24,2,3,3977,山本兼士,41,44,6.84,3,0.21,23,5R,曇り,北東,4,4,2019_11_25,2-3-1,13590,1-2-3,880,2-3,4160,2-3,1590,2019_11_25_23_5R
25,3,1,4899,占部一真,61,87,6.84,1,0.17,23,5R,曇り,北東,4,4,2019_11_25,2-3-1,13590,1-2-3,880,2-3,4160,2-3,1590,2019_11_25_23_5R
