,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,1,4544,松田大志郎,42,35,6.70,1,0.18,23,1R,晴,南西,3,3,2021_3_15,1-6-5,1370,1-5-6,610,1-6,410,1-6,540,2021_3_15_23_1R
1,2,6,4004,山本浩輔,14,80,6.70,3,0.25,23,1R,晴,南西,3,3,2021_3_15,1-6-5,1370,1-5-6,610,1-6,410,1-6,540,2021_3_15_23_1R
2,3,5,3352,小川晃司,30,42,6.74,6,0.13,23,1R,晴,南西,3,3,2021_3_15,1-6-5,1370,1-5-6,610,1-6,410,1-6,540,2021_3_15_23_1R
3,4,3,4966,田川大貴,45,79,6.75,4,0.18,23,1R,晴,南西,3,3,2021_3_15,1-6-5,1370,1-5-6,610,1-6,410,1-6,540,2021_3_15_23_1R
4,5,4,5086,本村大,67,72,6.70,5,0.20,23,1R,晴,南西,3,3,2021_3_15,1-6-5,1370,1-5-6,610,1-6,410,1-6,540,2021_3_15_23_1R
5,6,2,5014,梶山涼斗,69,58,6.67,2,0.20,23,1R,晴,南西,3,3,2021_3_15,1-6-5,1370,1-5-6,610,1-6,410,1-6,540,2021_3_15_23_1R
6,1,3,4778,堤啓輔,36,40,6.67,3,0.16,23,2R,晴,西,4,4,2021_3_15,3-1-4,9140,1-3-4,1890,3-1,2190,1-3,580,2021_3_15_23_2R
7,2,1,3297,藤丸光一,32,63,6.61,1,0.17,23,2R,晴,西,4,4,2021_3_15,3-1-4,9140,1-3-4,1890,3-1,2190,1-3,580,2021_3_15_23_2R
8,3,4,4299,中島浩哉,49,37,6.66,4,0.16,23,2R,晴,西,4,4,2021_3_15,3-1-4,9140,1-3-4,1890,3-1,2190,1-3,580,2021_3_15_23_2R
9,4,2,4531,武富智亮,65,85,6.62,2,0.16,23,2R,晴,西,4,4,2021_3_15,3-1-4,9140,1-3-4,1890,3-1,2190,1-3,580,2021_3_15_23_2R
10,5,5,3998,冨成謙児,68,73,6.70,5,0.21,23,2R,晴,西,4,4,2021_3_15,3-1-4,9140,1-3-4,1890,3-1,2190,1-3,580,2021_3_15_23_2R
11,6,6,3025,山口哲治,63,89,6.65,6,0.19,23,2R,晴,西,4,4,2021_3_15,3-1-4,9140,1-3-4,1890,3-1,2190,1-3,580,2021_3_15_23_2R
12,1,1,4070,中村亮太,31,78,6.61,1,0.16,23,3R,晴,西,3,3,2021_3_15,1-2-4,2380,1-2-4,1080,1-2,530,1-2,350,2021_3_15_23_3R
13,2,2,5022,伊藤尚汰,24,82,6.64,4,0.23,23,3R,晴,西,3,3,2021_3_15,1-2-4,2380,1-2-4,1080,1-2,530,1-2,350,2021_3_15_23_3R
14,3,4,3752,宇土泰就,19,60,6.68,5,0.23,23,3R,晴,西,3,3,2021_3_15,1-2-4,2380,1-2-4,1080,1-2,530,1-2,350,2021_3_15_23_3R
15,4,3,4474,渡辺崇,39,54,6.66,3,0.19,23,3R,晴,西,3,3,2021_3_15,1-2-4,2380,1-2-4,1080,1-2,530,1-2,350,2021_3_15_23_3R
16,5,5,4498,宮本夏樹,58,59,6.62,6,0.19,23,3R,晴,西,3,3,2021_3_15,1-2-4,2380,1-2-4,1080,1-2,530,1-2,350,2021_3_15_23_3R
17,6,6,3471,赤峰和也,55,32,6.76,2,0.21,23,3R,晴,西,3,3,2021_3_15,1-2-4,2380,1-2-4,1080,1-2,530,1-2,350,2021_3_15_23_3R
18,1,1,5026,安河内健,27,49,6.61,1,0.18,23,4R,晴,西,3,3,2021_3_15,1-3-6,6620,1-3-6,2760,1-3,1090,1-3,860,2021_3_15_23_4R
19,2,3,4143,浦田晃嗣,26,74,6.75,3,0.18,23,4R,晴,西,3,3,2021_3_15,1-3-6,6620,1-3-6,2760,1-3,1090,1-3,860,2021_3_15_23_4R
20,3,6,4155,長野壮志郎,34,38,6.71,6,0.21,23,4R,晴,西,3,3,2021_3_15,1-3-6,6620,1-3-6,2760,1-3,1090,1-3,860,2021_3_15_23_4R
21,4,5,4248,岡本大,62,44,6.71,5,0.21,23,4R,晴,西,3,3,2021_3_15,1-3-6,6620,1-3-6,2760,1-3,1090,1-3,860,2021_3_15_23_4R
22,5,4,4352,下條雄太郎,50,77,6.65,4,0.27,23,4R,晴,西,3,3,2021_3_15,1-3-6,6620,1-3-6,2760,1-3,1090,1-3,860,2021_3_15_23_4R
23,6,2,3936,三瀬譲,15,47,6.72,2,0.24,23,4R,晴,西,3,3,2021_3_15,1-3-6,6620,1-3-6,2760,1-3,1090,1-3,860,2021_3_15_23_4R
24,1,1,4966,田川大貴,45,79,6.64,1,0.17,23,5R,晴,南西,5,5,2021_3_15,1-4-5,2030,1-4-5,580,1-4,750,1-4,620,2021_3_15_23_5R
25,2,4,4515,藤田浩人,16,68,6.71,4,0.21,23,5R,晴,南西,5,5,2021_3_15,1-4-5,2030,1-4-5,580,1-4,750,1-4,620,2021_3_15_23_5R
26,3,5,4451,松崎祐太郎,59,52,6.67,5,0.22,23,5R,晴,南西,5,5,2021_3_15,1-4-5,2030,1-4-5,580,1-4,750,1-4,620,2021_3_15_23_5R
27,4,3,3986,沖島広和,43,84,6.62,3,0.19,23,5R,晴,南西,5,5,2021_3_15,1-4-5,2030,1-4-5,580,1-4,750,1-4,620,2021_3_15_23_5R
28,5,6,5158,宮脇遼太,28,65,6.68,6,0.31,23,5R,晴,南西,5,5,2021_3_15,1-4-5,2030,1-4-5,580,1-4,750,1-4,620,2021_3_15_23_5R
29,1,4,4778,堤啓輔,36,40,6.59,4,0.13,23,6R,晴,西,3,3,2021_3_15,4-6-2,4250,2-4-6,620,4-6,1910,4-6,1300,2021_3_15_23_6R
30,2,6,4734,安河内将,66,53,6.61,5,0.10,23,6R,晴,西,3,3,2021_3_15,4-6-2,4250,2-4-6,620,4-6,1910,4-6,1300,2021_3_15_23_6R
31,3,2,4174,赤坂俊輔,21,88,6.62,2,0.13,23,6R,晴,西,3,3,2021_3_15,4-6-2,4250,2-4-6,620,4-6,1910,4-6,1300,2021_3_15_23_6R
32,4,5,4195,前川守嗣,47,67,6.68,6,0.08,23,6R,晴,西,3,3,2021_3_15,4-6-2,4250,2-4-6,620,4-6,1910,4-6,1300,2021_3_15_23_6R
33,5,3,4004,山本浩輔,14,80,6.63,3,0.21,23,6R,晴,西,3,3,2021_3_15,4-6-2,4250,2-4-6,620,4-6,1910,4-6,1300,2021_3_15_23_6R
34,1,2,4822,百武翔,22,71,6.63,2,0.30,23,7R,晴,南,3,3,2021_3_15,2-1-4,1920,1-2-4,230,2-1,840,1-2,210,2021_3_15_23_7R
35,2,1,4315,山崎昂介,17,41,6.59,1,0.28,23,7R,晴,南,3,3,2021_3_15,2-1-4,1920,1-2-4,230,2-1,840,1-2,210,2021_3_15_23_7R
36,3,4,3853,岩崎正哉,20,87,6.68,4,0.26,23,7R,晴,南,3,3,2021_3_15,2-1-4,1920,1-2-4,230,2-1,840,1-2,210,2021_3_15_23_7R
37,4,6,3998,冨成謙児,68,73,6.62,6,0.25,23,7R,晴,南,3,3,2021_3_15,2-1-4,1920,1-2-4,230,2-1,840,1-2,210,2021_3_15_23_7R
38,5,5,5048,眞鳥康太,51,86,6.64,5,0.26,23,7R,晴,南,3,3,2021_3_15,2-1-4,1920,1-2-4,230,2-1,840,1-2,210,2021_3_15_23_7R
39,6,3,4367,山口修路,33,33,6.64,3,0.27,23,7R,晴,南,3,3,2021_3_15,2-1-4,1920,1-2-4,230,2-1,840,1-2,210,2021_3_15_23_7R
40,1,4,4102,益田啓司,35,55,6.69,4,0.15,23,8R,晴,南,4,4,2021_3_15,4-6-2,14390,2-4-6,4540,4-6,2350,4-6,1600,2021_3_15_23_8R
41,2,6,3352,小川晃司,30,42,6.72,6,0.14,23,8R,晴,南,4,4,2021_3_15,4-6-2,14390,2-4-6,4540,4-6,2350,4-6,1600,2021_3_15_23_8R
42,3,2,3025,山口哲治,63,89,6.69,2,0.30,23,8R,晴,南,4,4,2021_3_15,4-6-2,14390,2-4-6,4540,4-6,2350,4-6,1600,2021_3_15_23_8R
43,4,1,4498,宮本夏樹,58,34,6.61,1,0.27,23,8R,晴,南,4,4,2021_3_15,4-6-2,14390,2-4-6,4540,4-6,2350,4-6,1600,2021_3_15_23_8R
44,5,3,4981,牧山敦也,23,57,6.68,3,0.35,23,8R,晴,南,4,4,2021_3_15,4-6-2,14390,2-4-6,4540,4-6,2350,4-6,1600,2021_3_15_23_8R
45,6,5,4027,松江秀徳,44,83,6.72,5,0.20,23,8R,晴,南,4,4,2021_3_15,4-6-2,14390,2-4-6,4540,4-6,2350,4-6,1600,2021_3_15_23_8R
46,1,1,3986,沖島広和,43,84,6.64,1,0.15,23,9R,晴,南,4,4,2021_3_15,1-2-4,5810,1-2-4,2610,1-2,990,1-2,1060,2021_3_15_23_9R
