,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,1,4088,野田祥子,57,38,6.71,1,0.13,24,1R,晴,北西,1,1,2022_1_6,1-2-3,1110,1-2-3,360,1-2,450,1-2,310,2022_1_6_24_1R
1,2,2,3289,高橋淳美,48,24,6.88,2,0.17,24,1R,晴,北西,1,1,2022_1_6,1-2-3,1110,1-2-3,360,1-2,450,1-2,310,2022_1_6_24_1R
2,3,3,4408,仁科さやか,19,31,6.82,3,0.17,24,1R,晴,北西,1,1,2022_1_6,1-2-3,1110,1-2-3,360,1-2,450,1-2,310,2022_1_6_24_1R
3,4,4,4884,勝浦真帆,38,47,6.87,4,0.24,24,1R,晴,北西,1,1,2022_1_6,1-2-3,1110,1-2-3,360,1-2,450,1-2,310,2022_1_6_24_1R
4,5,6,4569,中澤宏奈,18,17,6.82,6,0.32,24,1R,晴,北西,1,1,2022_1_6,1-2-3,1110,1-2-3,360,1-2,450,1-2,310,2022_1_6_24_1R
5,6,5,5164,森田梨湖,26,20,6.80,5,0.27,24,1R,晴,北西,1,1,2022_1_6,1-2-3,1110,1-2-3,360,1-2,450,1-2,310,2022_1_6_24_1R
6,1,1,4720,西澤日花里,39,74,6.84,1,0.09,24,2R,晴,北西,2,1,2022_1_6,1-3-2,2030,1-2-3,470,1-3,730,1-3,670,2022_1_6_24_2R
7,2,3,3474,松瀬弘美,56,55,6.80,3,0.11,24,2R,晴,北西,2,1,2022_1_6,1-3-2,2030,1-2-3,470,1-3,730,1-3,670,2022_1_6_24_2R
8,3,2,3871,池田紫乃,55,37,6.86,2,0.12,24,2R,晴,北西,2,1,2022_1_6,1-3-2,2030,1-2-3,470,1-3,730,1-3,670,2022_1_6_24_2R
9,4,4,4286,平田さやか,45,15,6.81,4,0.11,24,2R,晴,北西,2,1,2022_1_6,1-3-2,2030,1-2-3,470,1-3,730,1-3,670,2022_1_6_24_2R
10,5,5,5146,野田彩加,68,71,6.88,5,0.07,24,2R,晴,北西,2,1,2022_1_6,1-3-2,2030,1-2-3,470,1-3,730,1-3,670,2022_1_6_24_2R
11,6,6,3845,中谷朋子,63,59,6.84,6,0.11,24,2R,晴,北西,2,1,2022_1_6,1-3-2,2030,1-2-3,470,1-3,730,1-3,670,2022_1_6_24_2R
12,1,2,4499,滝川真由子,23,25,6.85,2,0.14,24,3R,晴,北西,1,1,2022_1_6,2-3-5,1410,2-3-5,440,2-3,640,2-3,570,2022_1_6_24_3R
13,2,3,3302,谷川里江,40,48,6.85,3,0.11,24,3R,晴,北西,1,1,2022_1_6,2-3-5,1410,2-3-5,440,2-3,640,2-3,570,2022_1_6_24_3R
14,3,5,3232,山川美由紀,25,65,6.85,5,0.26,24,3R,晴,北西,1,1,2022_1_6,2-3-5,1410,2-3-5,440,2-3,640,2-3,570,2022_1_6_24_3R
15,4,4,4963,實森美祐,30,76,6.86,4,0.16,24,3R,晴,北西,1,1,2022_1_6,2-3-5,1410,2-3-5,440,2-3,640,2-3,570,2022_1_6_24_3R
16,5,1,4923,末武里奈子,32,52,6.89,1,0.16,24,3R,晴,北西,1,1,2022_1_6,2-3-5,1410,2-3-5,440,2-3,640,2-3,570,2022_1_6_24_3R
17,6,6,4806,佐藤享子,70,75,6.87,6,0.17,24,3R,晴,北西,1,1,2022_1_6,2-3-5,1410,2-3-5,440,2-3,640,2-3,570,2022_1_6_24_3R
18,1,2,3932,池田浩美,34,68,6.85,2,0.12,24,4R,晴,北,4,3,2022_1_6,2-3-4,2100,2-3-4,380,2-3,1150,2-3,730,2022_1_6_24_4R
19,2,3,5056,西岡成美,50,56,6.76,3,0.15,24,4R,晴,北,4,3,2022_1_6,2-3-4,2100,2-3-4,380,2-3,1150,2-3,730,2022_1_6_24_4R
20,3,4,4900,中田夕貴,41,32,6.81,4,0.22,24,4R,晴,北,4,3,2022_1_6,2-3-4,2100,2-3-4,380,2-3,1150,2-3,730,2022_1_6_24_4R
21,4,6,4400,加藤奈月,29,21,6.86,6,0.28,24,4R,晴,北,4,3,2022_1_6,2-3-4,2100,2-3-4,380,2-3,1150,2-3,730,2022_1_6_24_4R
22,5,1,4744,伊藤玲奈,49,33,6.88,1,0.26,24,4R,晴,北,4,3,2022_1_6,2-3-4,2100,2-3-4,380,2-3,1150,2-3,730,2022_1_6_24_4R
23,6,5,5194,大久保佑香,13,70,6.89,5,0.24,24,4R,晴,北,4,3,2022_1_6,2-3-4,2100,2-3-4,380,2-3,1150,2-3,730,2022_1_6_24_4R
24,1,4,4590,渡邉優美,11,13,6.79,4,0.24,24,5R,晴,北,4,3,2022_1_6,4-1-5,5730,1-4-5,1520,4-1,1570,1-4,690,2022_1_6_24_5R
25,2,1,5030,金子千穂,65,51,6.76,1,0.24,24,5R,晴,北,4,3,2022_1_6,4-1-5,5730,1-4-5,1520,4-1,1570,1-4,690,2022_1_6_24_5R
26,3,5,3579,中里優子,60,30,6.87,5,0.32,24,5R,晴,北,4,3,2022_1_6,4-1-5,5730,1-4-5,1520,4-1,1570,1-4,690,2022_1_6_24_5R
27,4,6,3355,橋谷田佳織,21,50,6.85,6,0.34,24,5R,晴,北,4,3,2022_1_6,4-1-5,5730,1-4-5,1520,4-1,1570,1-4,690,2022_1_6_24_5R
28,5,2,4408,仁科さやか,19,31,6.77,2,0.34,24,5R,晴,北,4,3,2022_1_6,4-1-5,5730,1-4-5,1520,4-1,1570,1-4,690,2022_1_6_24_5R
29,6,3,4924,中北涼,47,34,6.83,3,0.26,24,5R,晴,北,4,3,2022_1_6,4-1-5,5730,1-4-5,1520,4-1,1570,1-4,690,2022_1_6_24_5R
30,1,2,4224,大橋栄里佳,72,69,6.77,2,0.26,24,6R,晴,北,4,3,2022_1_6,2-1-4,1220,1-2-4,170,2-1,820,1-2,320,2022_1_6_24_6R
31,2,1,4882,瀧川千依,17,27,6.77,1,0.25,24,6R,晴,北,4,3,2022_1_6,2-1-4,1220,1-2-4,170,2-1,820,1-2,320,2022_1_6_24_6R
32,3,4,4387,平山智加,22,60,6.85,4,0.15,24,6R,晴,北,4,3,2022_1_6,2-1-4,1220,1-2-4,170,2-1,820,1-2,320,2022_1_6_24_6R
