,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1R,曇り,南西,1,1,大村,2020_3_13,3-1-5,7580,,570,3-1,3080,1-3,170,,,,,,,,,,
1,1R,曇り,南西,1,1,大村,2020_3_13,3-1-5,7580,,570,3-1,3080,1-3,170,,,,,,,,,,
2,1R,曇り,南西,1,1,大村,2020_3_13,3-1-5,7580,,570,3-1,3080,1-3,170,,,,,,,,,,
3,1R,曇り,南西,1,1,大村,2020_3_13,3-1-5,7580,,570,3-1,3080,1-3,170,,,,,,,,,,
4,1R,曇り,南西,1,1,大村,2020_3_13,3-1-5,7580,,570,3-1,3080,1-3,170,,,,,,,,,,
5,1R,曇り,南西,1,1,大村,2020_3_13,3-1-5,7580,,570,3-1,3080,1-3,170,,,,,,,,,,
6,2R,曇り,南西,1,1,大村,2020_3_13,1-2-4,1850,,1000,1-2,310,1-2,240,,,,,,,,,,
7,2R,曇り,南西,1,1,大村,2020_3_13,1-2-4,1850,,1000,1-2,310,1-2,240,,,,,,,,,,
8,2R,曇り,南西,1,1,大村,2020_3_13,1-2-4,1850,,1000,1-2,310,1-2,240,,,,,,,,,,
9,2R,曇り,南西,1,1,大村,2020_3_13,1-2-4,1850,,1000,1-2,310,1-2,240,,,,,,,,,,
10,2R,曇り,南西,1,1,大村,2020_3_13,1-2-4,1850,,1000,1-2,310,1-2,240,,,,,,,,,,
11,2R,曇り,南西,1,1,大村,2020_3_13,1-2-4,1850,,1000,1-2,310,1-2,240,,,,,,,,,,
12,3R,曇り,西,1,1,大村,2020_3_13,1-6-2,10780,,2290,1-6,4970,1-6,3720,,,,,,,,,,
13,3R,曇り,西,1,1,大村,2020_3_13,1-6-2,10780,,2290,1-6,4970,1-6,3720,,,,,,,,,,
14,3R,曇り,西,1,1,大村,2020_3_13,1-6-2,10780,,2290,1-6,4970,1-6,3720,,,,,,,,,,
15,3R,曇り,西,1,1,大村,2020_3_13,1-6-2,10780,,2290,1-6,4970,1-6,3720,,,,,,,,,,
16,3R,曇り,西,1,1,大村,2020_3_13,1-6-2,10780,,2290,1-6,4970,1-6,3720,,,,,,,,,,
17,3R,曇り,西,1,1,大村,2020_3_13,1-6-2,10780,,2290,1-6,4970,1-6,3720,,,,,,,,,,
18,4R,曇り,西,1,1,大村,2020_3_13,1-3-4,910,,500,1-3,240,1-3,190,,,,,,,,,,
19,4R,曇り,西,1,1,大村,2020_3_13,1-3-4,910,,500,1-3,240,1-3,190,,,,,,,,,,
20,4R,曇り,西,1,1,大村,2020_3_13,1-3-4,910,,500,1-3,240,1-3,190,,,,,,,,,,
21,4R,曇り,西,1,1,大村,2020_3_13,1-3-4,910,,500,1-3,240,1-3,190,,,,,,,,,,
22,4R,曇り,西,1,1,大村,2020_3_13,1-3-4,910,,500,1-3,240,1-3,190,,,,,,,,,,
23,4R,曇り,西,1,1,大村,2020_3_13,1-3-4,910,,500,1-3,240,1-3,190,,,,,,,,,,
24,5R,曇り,無風,0,0,大村,2020_3_13,1-2-4,1180,,500,1-2,650,1-2,560,,,,,,,,,,
25,5R,曇り,無風,0,0,大村,2020_3_13,1-2-4,1180,,500,1-2,650,1-2,560,,,,,,,,,,
26,5R,曇り,無風,0,0,大村,2020_3_13,1-2-4,1180,,500,1-2,650,1-2,560,,,,,,,,,,
27,5R,曇り,無風,0,0,大村,2020_3_13,1-2-4,1180,,500,1-2,650,1-2,560,,,,,,,,,,
28,5R,曇り,無風,0,0,大村,2020_3_13,1-2-4,1180,,500,1-2,650,1-2,560,,,,,,,,,,
29,5R,曇り,無風,0,0,大村,2020_3_13,1-2-4,1180,,500,1-2,650,1-2,560,,,,,,,,,,
30,6R,曇り,北西,1,1,大村,2020_3_13,1-5-3,1730,,710,1-5,360,1-5,260,,,,,,,,,,
31,6R,曇り,北西,1,1,大村,2020_3_13,1-5-3,1730,,710,1-5,360,1-5,260,,,,,,,,,,
32,6R,曇り,北西,1,1,大村,2020_3_13,1-5-3,1730,,710,1-5,360,1-5,260,,,,,,,,,,
33,6R,曇り,北西,1,1,大村,2020_3_13,1-5-3,1730,,710,1-5,360,1-5,260,,,,,,,,,,
34,6R,曇り,北西,1,1,大村,2020_3_13,1-5-3,1730,,710,1-5,360,1-5,260,,,,,,,,,,
35,6R,曇り,北西,1,1,大村,2020_3_13,1-5-3,1730,,710,1-5,360,1-5,260,,,,,,,,,,
36,7R,曇り,北,1,1,大村,2020_3_13,1-3-4,3500,,740,1-3,1590,1-3,1210,,,,,,,,,,
37,7R,曇り,北,1,1,大村,2020_3_13,1-3-4,3500,,740,1-3,1590,1-3,1210,,,,,,,,,,
38,7R,曇り,北,1,1,大村,2020_3_13,1-3-4,3500,,740,1-3,1590,1-3,1210,,,,,,,,,,
39,7R,曇り,北,1,1,大村,2020_3_13,1-3-4,3500,,740,1-3,1590,1-3,1210,,,,,,,,,,
40,7R,曇り,北,1,1,大村,2020_3_13,1-3-4,3500,,740,1-3,1590,1-3,1210,,,,,,,,,,
41,7R,曇り,北,1,1,大村,2020_3_13,1-3-4,3500,,740,1-3,1590,1-3,1210,,,,,,,,,,
42,8R,曇り,北,1,1,大村,2020_3_13,1-3-5,1350,,740,1-3,250,1-3,180,,,,,,,,,,
43,8R,曇り,北,1,1,大村,2020_3_13,1-3-5,1350,,740,1-3,250,1-3,180,,,,,,,,,,
44,8R,曇り,北,1,1,大村,2020_3_13,1-3-5,1350,,740,1-3,250,1-3,180,,,,,,,,,,
45,8R,曇り,北,1,1,大村,2020_3_13,1-3-5,1350,,740,1-3,250,1-3,180,,,,,,,,,,
46,8R,曇り,北,1,1,大村,2020_3_13,1-3-5,1350,,740,1-3,250,1-3,180,,,,,,,,,,
47,8R,曇り,北,1,1,大村,2020_3_13,1-3-5,1350,,740,1-3,250,1-3,180,,,,,,,,,,
48,9R,曇り,北,1,1,大村,2020_3_13,1-2-4,900,,420,1-2,240,1-2,140,,,,,,,,,,
49,9R,曇り,北,1,1,大村,2020_3_13,1-2-4,900,,420,1-2,240,1-2,140,,,,,,,,,,
50,9R,曇り,北,1,1,大村,2020_3_13,1-2-4,900,,420,1-2,240,1-2,140,,,,,,,,,,
51,9R,曇り,北,1,1,大村,2020_3_13,1-2-4,900,,420,1-2,240,1-2,140,,,,,,,,,,
52,9R,曇り,北,1,1,大村,2020_3_13,1-2-4,900,,420,1-2,240,1-2,140,,,,,,,,,,
53,9R,曇り,北,1,1,大村,2020_3_13,1-2-4,900,,420,1-2,240,1-2,140,,,,,,,,,,
54,10R,曇り,無風,0,0,大村,2020_3_13,1-4-6,4750,,2410,1-4,980,1-4,920,,,,,,,,,,
55,10R,曇り,無風,0,0,大村,2020_3_13,1-4-6,4750,,2410,1-4,980,1-4,920,,,,,,,,,,
56,10R,曇り,無風,0,0,大村,2020_3_13,1-4-6,4750,,2410,1-4,980,1-4,920,,,,,,,,,,
57,10R,曇り,無風,0,0,大村,2020_3_13,1-4-6,4750,,2410,1-4,980,1-4,920,,,,,,,,,,
58,10R,曇り,無風,0,0,大村,2020_3_13,1-4-6,4750,,2410,1-4,980,1-4,920,,,,,,,,,,
59,10R,曇り,無風,0,0,大村,2020_3_13,1-4-6,4750,,2410,1-4,980,1-4,920,,,,,,,,,,
60,11R,曇り,西,1,1,大村,2020_3_13,1-3-4,2140,,1480,1-3,410,1-3,360,,,,,,,,,,
61,11R,曇り,西,1,1,大村,2020_3_13,1-3-4,2140,,1480,1-3,410,1-3,360,,,,,,,,,,
62,11R,曇り,西,1,1,大村,2020_3_13,1-3-4,2140,,1480,1-3,410,1-3,360,,,,,,,,,,
63,11R,曇り,西,1,1,大村,2020_3_13,1-3-4,2140,,1480,1-3,410,1-3,360,,,,,,,,,,
64,11R,曇り,西,1,1,大村,2020_3_13,1-3-4,2140,,1480,1-3,410,1-3,360,,,,,,,,,,
65,11R,曇り,西,1,1,大村,2020_3_13,1-3-4,2140,,1480,1-3,410,1-3,360,,,,,,,,,,
66,12R,曇り,無風,0,0,大村,2020_3_13,1-3-2,780,,290,1-3,340,1-3,240,,,,,,,,,,
67,12R,曇り,無風,0,0,大村,2020_3_13,1-3-2,780,,290,1-3,340,1-3,240,,,,,,,,,,
68,12R,曇り,無風,0,0,大村,2020_3_13,1-3-2,780,,290,1-3,340,1-3,240,,,,,,,,,,
69,12R,曇り,無風,0,0,大村,2020_3_13,1-3-2,780,,290,1-3,340,1-3,240,,,,,,,,,,
70,12R,曇り,無風,0,0,大村,2020_3_13,1-3-2,780,,290,1-3,340,1-3,240,,,,,,,,,,
71,12R,曇り,無風,0,0,大村,2020_3_13,1-3-2,780,,290,1-3,340,1-3,240,,,,,,,,,,
72,1R,曇り,南,2,2,唐津,2020_3_13,1-3-4,900,,570,1-3,300,1-3,310,,,,,,,,,,
73,1R,曇り,南,2,2,唐津,2020_3_13,1-3-4,900,,570,1-3,300,1-3,310,,,,,,,,,,
74,1R,曇り,南,2,2,唐津,2020_3_13,1-3-4,900,,570,1-3,300,1-3,310,,,,,,,,,,
75,1R,曇り,南,2,2,唐津,2020_3_13,1-3-4,900,,570,1-3,300,1-3,310,,,,,,,,,,
76,1R,曇り,南,2,2,唐津,2020_3_13,1-3-4,900,,570,1-3,300,1-3,310,,,,,,,,,,
77,1R,曇り,南,2,2,唐津,2020_3_13,1-3-4,900,,570,1-3,300,1-3,310,,,,,,,,,,
78,2R,曇り,南西,3,3,唐津,2020_3_13,1-2-3,480,,160,1-2,250,1-2,130,,,,,,,,,,
79,2R,曇り,南西,3,3,唐津,2020_3_13,1-2-3,480,,160,1-2,250,1-2,130,,,,,,,,,,
80,2R,曇り,南西,3,3,唐津,2020_3_13,1-2-3,480,,160,1-2,250,1-2,130,,,,,,,,,,
81,2R,曇り,南西,3,3,唐津,2020_3_13,1-2-3,480,,160,1-2,250,1-2,130,,,,,,,,,,
82,2R,曇り,南西,3,3,唐津,2020_3_13,1-2-3,480,,160,1-2,250,1-2,130,,,,,,,,,,
83,2R,曇り,南西,3,3,唐津,2020_3_13,1-2-3,480,,160,1-2,250,1-2,130,,,,,,,,,,
84,3R,曇り,南西,3,3,唐津,2020_3_13,1-3-6,3370,,1160,1-3,260,1-3,190,,,,,,,,,,
85,3R,曇り,南西,3,3,唐津,2020_3_13,1-3-6,3370,,1160,1-3,260,1-3,190,,,,,,,,,,
86,3R,曇り,南西,3,3,唐津,2020_3_13,1-3-6,3370,,1160,1-3,260,1-3,190,,,,,,,,,,
87,3R,曇り,南西,3,3,唐津,2020_3_13,1-3-6,3370,,1160,1-3,260,1-3,190,,,,,,,,,,
88,3R,曇り,南西,3,3,唐津,2020_3_13,1-3-6,3370,,1160,1-3,260,1-3,190,,,,,,,,,,
89,3R,曇り,南西,3,3,唐津,2020_3_13,1-3-6,3370,,1160,1-3,260,1-3,190,,,,,,,,,,
90,4R,曇り,南西,2,2,唐津,2020_3_13,1-3-4,2300,,710,1-3,960,1-3,890,,,,,,,,,,
91,4R,曇り,南西,2,2,唐津,2020_3_13,1-3-4,2300,,710,1-3,960,1-3,890,,,,,,,,,,
92,4R,曇り,南西,2,2,唐津,2020_3_13,1-3-4,2300,,710,1-3,960,1-3,890,,,,,,,,,,
93,4R,曇り,南西,2,2,唐津,2020_3_13,1-3-4,2300,,710,1-3,960,1-3,890,,,,,,,,,,
94,4R,曇り,南西,2,2,唐津,2020_3_13,1-3-4,2300,,710,1-3,960,1-3,890,,,,,,,,,,
