,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,1,4445,宮地元輝,18,42,6.50,1,0.13,23,1R,晴,北西,4,4,2021_5_2,1-2-5,960,1-2-5,630,1-2,250,1-2,330,2021_5_2_23_1R
1,2,2,4100,松田隆司,33,31,6.63,2,0.14,23,1R,晴,北西,4,4,2021_5_2,1-2-5,960,1-2-5,630,1-2,250,1-2,330,2021_5_2_23_1R
2,3,5,3224,栗山繁洋,14,79,6.63,5,0.16,23,1R,晴,北西,4,4,2021_5_2,1-2-5,960,1-2-5,630,1-2,250,1-2,330,2021_5_2_23_1R
3,4,4,3926,大古場貴,64,75,6.62,4,0.21,23,1R,晴,北西,4,4,2021_5_2,1-2-5,960,1-2-5,630,1-2,250,1-2,330,2021_5_2_23_1R
4,5,6,5142,常住蓮,47,40,6.62,6,0.22,23,1R,晴,北西,4,4,2021_5_2,1-2-5,960,1-2-5,630,1-2,250,1-2,330,2021_5_2_23_1R
5,6,3,4778,堤啓輔,49,43,6.54,3,0.23,23,1R,晴,北西,4,4,2021_5_2,1-2-5,960,1-2-5,630,1-2,250,1-2,330,2021_5_2_23_1R
6,1,1,4531,武富智亮,21,82,6.60,1,0.15,23,2R,晴,北西,5,5,2021_5_2,1-3-2,650,1-2-3,300,1-3,280,1-3,200,2021_5_2_23_2R
7,2,3,3892,草場康幸,53,36,6.68,3,0.17,23,2R,晴,北西,5,5,2021_5_2,1-3-2,650,1-2-3,300,1-3,280,1-3,200,2021_5_2_23_2R
8,3,2,4822,百武翔,35,71,6.69,2,0.16,23,2R,晴,北西,5,5,2021_5_2,1-3-2,650,1-2-3,300,1-3,280,1-3,200,2021_5_2_23_2R
9,4,4,3809,吉田光,63,41,6.70,4,0.21,23,2R,晴,北西,5,5,2021_5_2,1-3-2,650,1-2-3,300,1-3,280,1-3,200,2021_5_2_23_2R
10,5,5,3953,志道吉和,19,44,6.65,5,0.25,23,2R,晴,北西,5,5,2021_5_2,1-3-2,650,1-2-3,300,1-3,280,1-3,200,2021_5_2_23_2R
11,6,6,4252,松下哲也,29,38,6.72,6,0.24,23,2R,晴,北西,5,5,2021_5_2,1-3-2,650,1-2-3,300,1-3,280,1-3,200,2021_5_2_23_2R
