,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,3,3273,石田豪,68,69,6.79,3,0.13,23,1R,曇り,南,3,3,2020_9_3,3-4-5,17310,3-4-5,7180,3-4,3640,3-4,1350,2020_9_3_23_1R
1,2,4,4564,山本景士郎,47,82,6.85,4,0.14,23,1R,曇り,南,3,3,2020_9_3,3-4-5,17310,3-4-5,7180,3-4,3640,3-4,1350,2020_9_3_23_1R
2,3,5,2930,新良一規,58,81,6.82,6,0.20,23,1R,曇り,南,3,3,2020_9_3,3-4-5,17310,3-4-5,7180,3-4,3640,3-4,1350,2020_9_3_23_1R
3,4,1,4184,渡邊雄一郎,64,55,6.77,1,0.21,23,1R,曇り,南,3,3,2020_9_3,3-4-5,17310,3-4-5,7180,3-4,3640,3-4,1350,2020_9_3_23_1R
4,5,6,4657,江崎一雄,60,59,6.84,5,0.50,23,1R,曇り,南,3,3,2020_9_3,3-4-5,17310,3-4-5,7180,3-4,3640,3-4,1350,2020_9_3_23_1R
5,6,2,5054,佐々木大河,65,79,6.78,2,0.33,23,1R,曇り,南,3,3,2020_9_3,3-4-5,17310,3-4-5,7180,3-4,3640,3-4,1350,2020_9_3_23_1R
6,1,1,3439,大平誉史明,36,52,6.77,1,0.21,23,2R,曇り,南,4,4,2020_9_3,1-2-4,520,1-2-4,330,1-2,230,1-2,210,2020_9_3_23_2R
7,2,2,4006,小野勇作,66,77,6.82,2,0.27,23,2R,曇り,南,4,4,2020_9_3,1-2-4,520,1-2-4,330,1-2,230,1-2,210,2020_9_3_23_2R
8,3,4,4058,野末智一,63,84,6.84,4,0.26,23,2R,曇り,南,4,4,2020_9_3,1-2-4,520,1-2-4,330,1-2,230,1-2,210,2020_9_3_23_2R
9,4,3,4349,犬童千秋,39,67,6.76,3,0.29,23,2R,曇り,南,4,4,2020_9_3,1-2-4,520,1-2-4,330,1-2,230,1-2,210,2020_9_3_23_2R
10,5,5,3825,宮嵜隆太郎,57,54,6.85,5,0.22,23,2R,曇り,南,4,4,2020_9_3,1-2-4,520,1-2-4,330,1-2,230,1-2,210,2020_9_3_23_2R
11,6,6,5118,野田なづき,50,71,6.86,6,0.32,23,2R,曇り,南,4,4,2020_9_3,1-2-4,520,1-2-4,330,1-2,230,1-2,210,2020_9_3_23_2R
12,1,3,4500,山田康二,70,41,6.84,3,0.22,23,3R,曇り,南,4,4,2020_9_3,3-6-1,2190,1-3-6,220,3-6,1380,3-6,990,2020_9_3_23_3R
13,2,6,4423,坂口貴彦,38,51,6.79,5,0.31,23,3R,曇り,南,4,4,2020_9_3,3-6-1,2190,1-3-6,220,3-6,1380,3-6,990,2020_9_3_23_3R
14,3,1,3548,室田泰史,59,64,6.84,1,0.13,23,3R,曇り,南,4,4,2020_9_3,3-6-1,2190,1-3-6,220,3-6,1380,3-6,990,2020_9_3_23_3R
15,4,4,3483,入船幸子,41,58,6.80,4,0.41,23,3R,曇り,南,4,4,2020_9_3,3-6-1,2190,1-3-6,220,3-6,1380,3-6,990,2020_9_3_23_3R
16,5,2,4059,入澤友治,17,50,6.82,2,0.18,23,3R,曇り,南,4,4,2020_9_3,3-6-1,2190,1-3-6,220,3-6,1380,3-6,990,2020_9_3_23_3R
17,6,5,5117,冨名腰桃奈,67,37,6.84,6,0.27,23,3R,曇り,南,4,4,2020_9_3,3-6-1,2190,1-3-6,220,3-6,1380,3-6,990,2020_9_3_23_3R
