,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,1,5121,定松勇樹,29,69,6.69,1,0.19,23,1R,晴,南西,3,3,2022_8_13,2022_8_13_23_1R
1,2,5,3211,北川敏弘,70,93,6.76,5,0.15,23,1R,晴,南西,3,3,2022_8_13,2022_8_13_23_1R
2,3,3,3974,深山祐二,65,87,6.76,3,0.14,23,1R,晴,南西,3,3,2022_8_13,2022_8_13_23_1R
3,4,4,3051,山口俊英,67,55,6.87,4,0.15,23,1R,晴,南西,3,3,2022_8_13,2022_8_13_23_1R
4,5,6,4981,牧山敦也,47,54,6.75,6,0.16,23,1R,晴,南西,3,3,2022_8_13,2022_8_13_23_1R
5,6,2,3989,熊本英一,44,81,6.74,2,0.26,23,1R,晴,南西,3,3,2022_8_13,2022_8_13_23_1R
6,1,1,4092,岡部大輔,23,48,6.85,1,0.20,23,2R,晴,南西,5,5,2022_8_13,2022_8_13_23_2R
7,2,4,4112,大久保信一郎,17,77,6.82,4,0.35,23,2R,晴,南西,5,5,2022_8_13,2022_8_13_23_2R
8,3,5,3998,冨成謙児,68,45,6.80,5,0.34,23,2R,晴,南西,5,5,2022_8_13,2022_8_13_23_2R
9,4,3,4552,杉山勝匡,31,72,6.79,3,0.27,23,2R,晴,南西,5,5,2022_8_13,2022_8_13_23_2R
10,5,6,4778,堤啓輔,15,84,6.87,6,0.39,23,2R,晴,南西,5,5,2022_8_13,2022_8_13_23_2R
11,6,2,4027,松江秀徳,56,39,6.80,2,0.27,23,2R,晴,南西,5,5,2022_8_13,2022_8_13_23_2R
12,1,1,3623,深川真二,48,34,6.76,1,0.08,23,3R,晴,南,4,4,2022_8_13,2022_8_13_23_3R
13,2,3,4531,武富智亮,73,76,6.76,3,0.09,23,3R,晴,南,4,4,2022_8_13,2022_8_13_23_3R
14,3,4,4320,峰竜太,26,68,6.78,4,0.08,23,3R,晴,南,4,4,2022_8_13,2022_8_13_23_3R
15,4,5,3471,赤峰和也,39,73,6.88,5,0.11,23,3R,晴,南,4,4,2022_8_13,2022_8_13_23_3R
16,5,2,3617,竹田広樹,11,32,6.82,2,0.09,23,3R,晴,南,4,4,2022_8_13,2022_8_13_23_3R
17,6,6,5124,上瀧絢也,38,43,6.84,6,0.10,23,3R,晴,南,4,4,2022_8_13,2022_8_13_23_3R
18,1,1,4196,田中太一郎,35,42,6.79,1,0.13,23,4R,晴,南,3,3,2022_8_13,2022_8_13_23_4R
19,2,5,4445,宮地元輝,33,51,6.77,5,0.19,23,4R,晴,南,3,3,2022_8_13,2022_8_13_23_4R
20,3,2,4500,山田康二,27,53,6.78,2,0.15,23,4R,晴,南,3,3,2022_8_13,2022_8_13_23_4R
21,4,3,3459,中野和裕,72,46,6.79,3,0.15,23,4R,晴,南,3,3,2022_8_13,2022_8_13_23_4R
22,5,4,4734,安河内将,58,70,6.71,4,0.20,23,4R,晴,南,3,3,2022_8_13,2022_8_13_23_4R
23,6,6,5084,末永和也,30,37,6.79,6,0.17,23,4R,晴,南,3,3,2022_8_13,2022_8_13_23_4R
24,1,1,4072,森永淳,55,85,6.75,1,0.06,23,5R,晴,南西,4,4,2022_8_13,2022_8_13_23_5R
25,2,5,4503,上野真之介,32,95,6.82,5,0.11,23,5R,晴,南西,4,4,2022_8_13,2022_8_13_23_5R
26,3,4,3508,久富政弘,21,89,6.85,4,0.16,23,5R,晴,南西,4,4,2022_8_13,2022_8_13_23_5R
27,4,3,4981,牧山敦也,47,54,6.81,3,0.10,23,5R,晴,南西,4,4,2022_8_13,2022_8_13_23_5R
28,5,6,4873,蒲原健太,63,88,6.85,6,0.18,23,5R,晴,南西,4,4,2022_8_13,2022_8_13_23_5R
29,6,2,4789,古賀智之,41,58,6.80,2,0.13,23,5R,晴,南西,4,4,2022_8_13,2022_8_13_23_5R
30,1,5,3224,栗山繁洋,46,59,6.75,5,0.03,23,6R,晴,南西,5,5,2022_8_13,2022_8_13_23_6R
31,2,1,3051,山口俊英,67,55,6.80,1,0.18,23,6R,晴,南西,5,5,2022_8_13,2022_8_13_23_6R
32,3,6,4949,横田貴満,28,90,6.69,6,0.13,23,6R,晴,南西,5,5,2022_8_13,2022_8_13_23_6R
33,4,2,5142,常住蓮,74,74,6.71,2,0.32,23,6R,晴,南西,5,5,2022_8_13,2022_8_13_23_6R
34,5,3,3998,冨成謙児,68,45,6.80,3,0.11,23,6R,晴,南西,5,5,2022_8_13,2022_8_13_23_6R
35,6,4,4329,小松卓司,52,75,6.77,4,0.12,23,6R,晴,南西,5,5,2022_8_13,2022_8_13_23_6R
36,1,3,4661,中島昂章,49,65,6.75,4,0.22,23,7R,晴,南,4,4,2022_8_13,2022_8_13_23_7R
37,2,4,5026,安河内健,75,86,6.69,5,0.17,23,7R,晴,南,4,4,2022_8_13,2022_8_13_23_7R
38,3,1,3211,北川敏弘,70,93,6.72,1,0.22,23,7R,晴,南,4,4,2022_8_13,2022_8_13_23_7R
39,4,6,4027,松江秀徳,56,39,6.83,2,0.31,23,7R,晴,南,4,4,2022_8_13,2022_8_13_23_7R
40,5,2,4515,藤田浩人,34,47,6.78,3,0.23,23,7R,晴,南,4,4,2022_8_13,2022_8_13_23_7R
41,6,5,4879,山崎鉄平,53,50,6.79,6,0.25,23,7R,晴,南,4,4,2022_8_13,2022_8_13_23_7R
42,1,2,3471,赤峰和也,39,73,6.81,2,0.17,23,8R,晴,南,3,3,2022_8_13,2022_8_13_23_8R
43,2,1,4724,吉田祐貴,50,56,6.81,1,0.20,23,8R,晴,南,3,3,2022_8_13,2022_8_13_23_8R
44,3,6,4112,大久保信一郎,17,77,6.81,6,0.15,23,8R,晴,南,3,3,2022_8_13,2022_8_13_23_8R
45,4,5,3459,中野和裕,72,46,6.80,5,0.13,23,8R,晴,南,3,3,2022_8_13,2022_8_13_23_8R
46,5,3,4272,大場広孝,14,63,6.73,3,0.21,23,8R,晴,南,3,3,2022_8_13,2022_8_13_23_8R
47,6,4,3989,熊本英一,44,81,6.76,4,0.20,23,8R,晴,南,3,3,2022_8_13,2022_8_13_23_8R
48,1,6,4445,宮地元輝,33,51,6.75,5,0.10,23,9R,晴,南,5,5,2022_8_13,2022_8_13_23_9R
49,2,1,4789,古賀智之,41,58,6.83,1,0.11,23,9R,晴,南,5,5,2022_8_13,2022_8_13_23_9R
50,3,4,4552,杉山勝匡,31,72,6.84,4,0.12,23,9R,晴,南,5,5,2022_8_13,2022_8_13_23_9R
51,4,2,3522,長溝一生,18,35,6.81,2,0.11,23,9R,晴,南,5,5,2022_8_13,2022_8_13_23_9R
52,5,5,3974,深山祐二,65,87,6.84,6,0.10,23,9R,晴,南,5,5,2022_8_13,2022_8_13_23_9R
53,1,1,4294,古賀繁輝,22,91,6.78,1,0.17,23,10R,晴,南,3,3,2022_8_13,2022_8_13_23_10R
54,2,2,5084,末永和也,30,37,6.73,2,0.15,23,10R,晴,南,3,3,2022_8_13,2022_8_13_23_10R
