,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,1,4241,大串重幸,32,19,7.02,1,0.09,24,1R,晴,西,4,3,2022_5_28,1-5-2,3520,1-2-5,830,1-5,1280,1-5,1010,2022_5_28_24_1R
1,2,5,3989,熊本英一,68,37,6.94,6,0.28,24,1R,晴,西,4,3,2022_5_28,1-5-2,3520,1-2-5,830,1-5,1280,1-5,1010,2022_5_28_24_1R
2,3,2,3025,山口哲治,24,66,7.02,2,0.12,24,1R,晴,西,4,3,2022_5_28,1-5-2,3520,1-2-5,830,1-5,1280,1-5,1010,2022_5_28_24_1R
3,4,3,4252,松下哲也,70,49,7.00,4,0.17,24,1R,晴,西,4,3,2022_5_28,1-5-2,3520,1-2-5,830,1-5,1280,1-5,1010,2022_5_28_24_1R
4,5,6,3243,佐野隆仁,12,57,7.00,3,0.15,24,1R,晴,西,4,3,2022_5_28,1-5-2,3520,1-2-5,830,1-5,1280,1-5,1010,2022_5_28_24_1R
5,6,4,4423,坂口貴彦,58,67,6.99,5,0.22,24,1R,晴,西,4,3,2022_5_28,1-5-2,3520,1-2-5,830,1-5,1280,1-5,1010,2022_5_28_24_1R
6,1,2,4171,榎幸司,63,35,6.99,2,0.11,24,2R,晴,西,4,3,2022_5_28,2-4-6,6230,2-4-6,3360,2-4,1420,2-4,1000,2022_5_28_24_2R
7,2,4,4709,岡村将也,35,76,6.96,4,0.16,24,2R,晴,西,4,3,2022_5_28,2-4-6,6230,2-4-6,3360,2-4,1420,2-4,1000,2022_5_28_24_2R
8,3,6,3273,石田豪,26,58,6.92,6,0.12,24,2R,晴,西,4,3,2022_5_28,2-4-6,6230,2-4-6,3360,2-4,1420,2-4,1000,2022_5_28_24_2R
9,4,5,3741,松尾基成,37,22,6.98,5,0.15,24,2R,晴,西,4,3,2022_5_28,2-4-6,6230,2-4-6,3360,2-4,1420,2-4,1000,2022_5_28_24_2R
10,5,3,4518,大須賀友,23,68,6.90,3,0.11,24,2R,晴,西,4,3,2022_5_28,2-4-6,6230,2-4-6,3360,2-4,1420,2-4,1000,2022_5_28_24_2R
11,6,1,3567,吉岡誠,76,51,7.07,1,0.17,24,2R,晴,西,4,3,2022_5_28,2-4-6,6230,2-4-6,3360,2-4,1420,2-4,1000,2022_5_28_24_2R
12,1,3,4040,廣瀬将亨,57,40,6.93,3,0.08,24,3R,晴,西,2,1,2022_5_28,3-2-1,1640,1-2-3,160,3-2,760,2-3,410,2022_5_28_24_3R
13,2,2,4330,奈須啓太,39,43,6.93,2,0.12,24,3R,晴,西,2,1,2022_5_28,3-2-1,1640,1-2-3,160,3-2,760,2-3,410,2022_5_28_24_3R
14,3,1,5055,眞鳥章太,50,20,7.03,1,0.18,24,3R,晴,西,2,1,2022_5_28,3-2-1,1640,1-2-3,160,3-2,760,2-3,410,2022_5_28_24_3R
15,4,4,4557,松尾光広,71,15,7.01,4,0.33,24,3R,晴,西,2,1,2022_5_28,3-2-1,1640,1-2-3,160,3-2,760,2-3,410,2022_5_28_24_3R
16,5,6,3976,内田圭,31,36,7.08,6,0.26,24,3R,晴,西,2,1,2022_5_28,3-2-1,1640,1-2-3,160,3-2,760,2-3,410,2022_5_28_24_3R
17,6,5,5192,中尾優香,65,25,6.97,5,0.23,24,3R,晴,西,2,1,2022_5_28,3-2-1,1640,1-2-3,160,3-2,760,2-3,410,2022_5_28_24_3R
18,1,1,4966,田川大貴,55,70,6.94,1,0.07,24,4R,晴,南西,2,1,2022_5_28,1-3-2,790,1-2-3,200,1-3,470,1-3,310,2022_5_28_24_4R
19,2,3,4734,安河内将,40,74,6.96,3,0.09,24,4R,晴,南西,2,1,2022_5_28,1-3-2,790,1-2-3,200,1-3,470,1-3,310,2022_5_28_24_4R
20,3,2,4278,藤岡俊介,69,33,6.94,2,0.06,24,4R,晴,南西,2,1,2022_5_28,1-3-2,790,1-2-3,200,1-3,470,1-3,310,2022_5_28_24_4R
21,4,4,4574,東潤樹,74,56,6.99,4,0.21,24,4R,晴,南西,2,1,2022_5_28,1-3-2,790,1-2-3,200,1-3,470,1-3,310,2022_5_28_24_4R
22,5,6,3871,池田紫乃,48,13,6.96,6,0.17,24,4R,晴,南西,2,1,2022_5_28,1-3-2,790,1-2-3,200,1-3,470,1-3,310,2022_5_28_24_4R
23,6,5,3251,平石和男,30,11,6.96,5,0.23,24,4R,晴,南西,2,1,2022_5_28,1-3-2,790,1-2-3,200,1-3,470,1-3,310,2022_5_28_24_4R
24,1,1,4523,中村辰也,19,60,6.93,1,0.07,24,5R,晴,南西,3,2,2022_5_28,1-3-4,12120,1-3-4,4980,1-3,1310,1-3,1820,2022_5_28_24_5R
25,2,3,3802,森岡まき,20,24,6.96,3,0.11,24,5R,晴,南西,3,2,2022_5_28,1-3-4,12120,1-3-4,4980,1-3,1310,1-3,1820,2022_5_28_24_5R
26,3,4,3989,熊本英一,68,37,6.90,4,0.23,24,5R,晴,南西,3,2,2022_5_28,1-3-4,12120,1-3-4,4980,1-3,1310,1-3,1820,2022_5_28_24_5R
27,4,5,4239,竹田辰也,25,55,6.89,5,0.14,24,5R,晴,南西,3,2,2022_5_28,1-3-4,12120,1-3-4,4980,1-3,1310,1-3,1820,2022_5_28_24_5R
28,5,2,4685,島村隆幸,28,71,6.96,2,0.09,24,5R,晴,南西,3,2,2022_5_28,1-3-4,12120,1-3-4,4980,1-3,1310,1-3,1820,2022_5_28_24_5R
29,1,1,4630,岩永雅人,22,48,6.95,1,0.08,24,6R,晴,南西,3,2,2022_5_28,1-5-3,750,1-3-5,240,1-5,320,1-5,200,2022_5_28_24_6R
30,2,5,3743,林美憲,11,21,6.95,3,0.09,24,6R,晴,南西,3,2,2022_5_28,1-5-3,750,1-3-5,240,1-5,320,1-5,200,2022_5_28_24_6R
