,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,1,4688,永井彪也,48,52,6.88,1,0.08,24,1R,晴,西,1,1,2021_4_15,2021_4_15_24_1R
1,2,2,4812,西野雄貴,26,62,6.81,2,0.12,24,1R,晴,西,1,1,2021_4_15,2021_4_15_24_1R
2,3,3,3641,一瀬明,23,68,6.92,3,0.17,24,1R,晴,西,1,1,2021_4_15,2021_4_15_24_1R
3,4,4,4089,妹尾忠幸,66,47,6.94,4,0.21,24,1R,晴,西,1,1,2021_4_15,2021_4_15_24_1R
4,5,6,3541,三嶌誠司,19,51,6.91,6,0.15,24,1R,晴,西,1,1,2021_4_15,2021_4_15_24_1R
5,6,5,4413,水摩敦,27,49,6.94,5,0.21,24,1R,晴,西,1,1,2021_4_15,2021_4_15_24_1R
6,1,1,4324,海野康志郎,73,72,6.88,1,0.13,24,2R,晴,西,2,1,2021_4_15,2021_4_15_24_2R
7,2,3,4102,益田啓司,49,20,6.89,3,0.19,24,2R,晴,西,2,1,2021_4_15,2021_4_15_24_2R
8,3,5,4171,榎幸司,72,69,6.95,5,0.19,24,2R,晴,西,2,1,2021_4_15,2021_4_15_24_2R
9,4,6,3556,田中信一郎,61,58,6.92,6,0.22,24,2R,晴,西,2,1,2021_4_15,2021_4_15_24_2R
10,5,2,4049,荒川健太,25,32,6.99,2,0.18,24,2R,晴,西,2,1,2021_4_15,2021_4_15_24_2R
11,6,4,3685,荒井輝年,17,11,6.96,4,0.18,24,2R,晴,西,2,1,2021_4_15,2021_4_15_24_2R
12,1,4,4042,丸岡正典,21,40,6.96,4,0.15,24,3R,晴,西,2,1,2021_4_15,2021_4_15_24_3R
13,2,3,4500,山田康二,55,38,7.02,3,0.28,24,3R,晴,西,2,1,2021_4_15,2021_4_15_24_3R
14,3,1,4174,赤坂俊輔,35,71,6.93,1,0.24,24,3R,晴,西,2,1,2021_4_15,2021_4_15_24_3R
15,4,5,4361,柳生泰二,22,76,7.00,5,0.18,24,3R,晴,西,2,1,2021_4_15,2021_4_15_24_3R
16,5,6,4428,有賀達也,12,64,6.99,6,0.16,24,3R,晴,西,2,1,2021_4_15,2021_4_15_24_3R
17,6,2,4216,星栄爾,68,17,7.01,2,0.28,24,3R,晴,西,2,1,2021_4_15,2021_4_15_24_3R
18,1,1,4352,下條雄太郎,64,21,6.96,1,0.08,24,4R,晴,西,2,1,2021_4_15,2021_4_15_24_4R
19,2,2,4080,山崎哲司,13,61,7.02,2,0.14,24,4R,晴,西,2,1,2021_4_15,2021_4_15_24_4R
20,3,5,3959,坪井康晴,45,67,6.94,5,0.11,24,4R,晴,西,2,1,2021_4_15,2021_4_15_24_4R
21,4,6,3557,太田和美,67,16,6.96,6,0.11,24,4R,晴,西,2,1,2021_4_15,2021_4_15_24_4R
