,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,1,2912,尾崎鉄也,51,25,6.96,1,0.12,24,1R,雨,南,1,1,2020_5_18,1-6-2,2180,1-2-6,560,1-6,640,1-6,280,2020_5_18_24_1R
1,2,6,3352,小川晃司,72,41,7.05,6,0.08,24,1R,雨,南,1,1,2020_5_18,1-6-2,2180,1-2-6,560,1-6,640,1-6,280,2020_5_18_24_1R
2,3,2,3471,赤峰和也,36,70,6.96,2,0.15,24,1R,雨,南,1,1,2020_5_18,1-6-2,2180,1-2-6,560,1-6,640,1-6,280,2020_5_18_24_1R
3,4,5,3065,増田弘喜,27,12,6.94,5,0.19,24,1R,雨,南,1,1,2020_5_18,1-6-2,2180,1-2-6,560,1-6,640,1-6,280,2020_5_18_24_1R
4,5,3,3653,品川賢次,38,11,6.99,3,0.16,24,1R,雨,南,1,1,2020_5_18,1-6-2,2180,1-2-6,560,1-6,640,1-6,280,2020_5_18_24_1R
5,6,4,3066,田中定雄,45,37,7.00,4,0.13,24,1R,雨,南,1,1,2020_5_18,1-6-2,2180,1-2-6,560,1-6,640,1-6,280,2020_5_18_24_1R
6,1,1,3796,長野道臣,47,43,6.93,1,0.27,24,2R,雨,南,1,1,2020_5_18,1-2-6,870,1-2-6,380,1-2,230,1-2,180,2020_5_18_24_2R
7,2,2,3752,宇土泰就,40,65,6.92,2,0.20,24,2R,雨,南,1,1,2020_5_18,1-2-6,870,1-2-6,380,1-2,230,1-2,180,2020_5_18_24_2R
8,3,6,3339,泉具巳,32,19,6.98,6,0.17,24,2R,雨,南,1,1,2020_5_18,1-2-6,870,1-2-6,380,1-2,230,1-2,180,2020_5_18_24_2R
9,4,3,3571,寺本武司,23,38,7.02,3,0.20,24,2R,雨,南,1,1,2020_5_18,1-2-6,870,1-2-6,380,1-2,230,1-2,180,2020_5_18_24_2R
10,5,4,3658,阪本聖秀,60,39,6.99,4,0.18,24,2R,雨,南,1,1,2020_5_18,1-2-6,870,1-2-6,380,1-2,230,1-2,180,2020_5_18_24_2R
11,6,5,3235,鈴木唯由,24,75,7.00,5,0.27,24,2R,雨,南,1,1,2020_5_18,1-2-6,870,1-2-6,380,1-2,230,1-2,180,2020_5_18_24_2R
12,1,1,3797,岩井繁,68,17,7.03,1,0.11,24,3R,雨,東,2,1,2020_5_18,1-2-3,1050,1-2-3,240,1-2,300,1-2,310,2020_5_18_24_3R
13,2,2,3233,小畑実成,20,26,7.02,2,0.12,24,3R,雨,東,2,1,2020_5_18,1-2-3,1050,1-2-3,240,1-2,300,1-2,310,2020_5_18_24_3R
14,3,3,3430,角浜修,43,21,6.99,3,0.13,24,3R,雨,東,2,1,2020_5_18,1-2-3,1050,1-2-3,240,1-2,300,1-2,310,2020_5_18_24_3R
