,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,4138,中井俊祐,41,大阪,53,B1,4.56,27.47,3.94,25.00,30.68,25.44,2022_4_18_24_1R,24,1R
1,2,3901,松田憲幸,44,山口,52,B1,5.44,38.36,4.95,35.71,24.56,26.55,2022_4_18_24_1R,24,1R
2,3,4406,幸野史明,36,福岡,51,B1,4.05,17.24,4.00,16.67,34.66,26.01,2022_4_18_24_1R,24,1R
3,4,3571,寺本武司,50,長崎,55,B1,3.80,18.75,4.39,26.80,30.90,28.00,2022_4_18_24_1R,24,1R
4,5,3875,廣中良一,45,山口,50,B1,3.78,20.25,4.00,22.81,36.84,24.16,2022_4_18_24_1R,24,1R
5,6,3352,小川晃司,53,福岡,50,B1,4.23,13.91,4.63,26.09,40.22,29.65,2022_4_18_24_1R,24,1R
6,1,5065,伊久間陽,23,群馬,52,B1,4.28,25.61,0.00,0.00,32.94,34.68,2022_4_18_24_2R,24,2R
7,2,2903,山崎毅,62,福岡,49,B1,4.71,23.01,4.23,15.38,35.56,36.42,2022_4_18_24_2R,24,2R
8,3,3747,國崎良春,47,福岡,52,B1,5.69,41.49,4.79,20.69,40.70,32.39,2022_4_18_24_2R,24,2R
9,4,4703,森永隆,34,山口,51,A2,5.70,35.51,5.87,34.78,36.36,40.68,2022_4_18_24_2R,24,2R
10,5,3025,山口哲治,60,長崎,51,B1,3.76,14.47,4.78,22.73,42.17,37.08,2022_4_18_24_2R,24,2R
11,6,5209,小野京平,24,福岡,59,B2,1.11,0.00,1.17,0.00,28.65,34.83,2022_4_18_24_2R,24,2R
12,1,4079,出畑孝典,43,福岡,53,B1,6.90,50.82,5.67,34.78,34.44,25.95,2022_4_18_24_3R,24,3R
13,2,4403,木下大將,37,福岡,52,A2,6.32,46.39,5.21,32.35,44.07,34.68,2022_4_18_24_3R,24,3R
14,3,4082,濱崎誠,42,大阪,52,A2,5.98,43.20,4.04,25.00,34.44,25.47,2022_4_18_24_3R,24,3R
15,4,4969,町田洸希,30,長崎,55,B1,4.19,17.86,4.34,24.03,41.21,29.17,2022_4_18_24_3R,24,3R
16,5,4297,山田哲也,39,東京,52,A1,7.11,54.69,8.18,58.82,25.58,29.94,2022_4_18_24_3R,24,3R
17,6,4592,小林孝弘,41,山口,52,A2,4.49,22.50,4.22,21.74,26.67,37.36,2022_4_18_24_3R,24,3R
18,1,4179,広次修,39,山口,52,B1,5.25,33.58,4.91,32.35,48.37,50.28,2022_4_18_24_4R,24,4R
19,2,4463,三苫晃幸,35,福岡,54,A2,6.15,44.78,6.44,55.56,31.43,32.20,2022_4_18_24_4R,24,4R
20,3,4151,下河誉史,39,福岡,56,A2,5.27,32.91,5.13,20.00,35.59,23.18,2022_4_18_24_4R,24,4R
21,4,4896,花本剛,30,山口,57,B1,4.54,25.30,5.53,33.33,36.87,40.11,2022_4_18_24_4R,24,4R
22,5,5177,松井貫太,25,福岡,52,B2,1.70,0.00,1.44,0.00,30.90,31.03,2022_4_18_24_4R,24,4R
23,6,4174,赤坂俊輔,39,長崎,52,A1,6.92,50.71,7.59,56.76,27.84,34.30,2022_4_18_24_4R,24,4R
24,1,4236,松村敏,38,福岡,54,A1,7.26,59.48,7.17,57.14,25.16,29.71,2022_4_18_24_5R,24,5R
25,2,3566,川添英正,51,福岡,50,A2,5.18,30.77,4.48,21.31,37.50,37.21,2022_4_18_24_5R,24,5R
26,3,4550,石岡将太,33,群馬,56,B1,4.69,20.72,7.25,62.50,25.60,38.86,2022_4_18_24_5R,24,5R
27,4,5106,山崎祥,23,山口,51,B1,4.05,16.04,4.00,0.00,34.30,25.16,2022_4_18_24_5R,24,5R
28,5,3571,寺本武司,50,長崎,55,B1,3.80,18.75,4.39,26.80,30.90,28.00,2022_4_18_24_5R,24,5R
29,6,4311,岡村仁,38,大阪,53,A1,7.09,53.62,7.64,64.00,31.98,39.31,2022_4_18_24_5R,24,5R
30,1,4788,小池哲也,32,大阪,54,A2,5.57,34.82,6.21,41.38,33.91,33.33,2022_4_18_24_6R,24,6R
