,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,4513,河野真也,33,福岡,52,A2,5.53,34.69,6.35,46.77,0.00,14.29,2022_5_24_21_1R,21,1R
1,2,3593,横井光弘,53,長崎,57,B1,4.41,19.59,4.50,12.50,0.00,27.78,2022_5_24_21_1R,21,1R
2,3,4346,前田健太,37,福岡,56,B1,4.12,24.22,4.65,24.72,0.00,25.00,2022_5_24_21_1R,21,1R
3,4,4198,沼田克彦,39,徳島,54,B1,3.94,14.63,4.25,16.67,0.00,23.53,2022_5_24_21_1R,21,1R
4,5,5212,西川拓利,23,福岡,57,B2,1.16,0.00,1.14,0.00,0.00,18.75,2022_5_24_21_1R,21,1R
5,6,5107,松本真広,23,福岡,51,B1,2.72,6.02,1.38,0.00,0.00,26.32,2022_5_24_21_1R,21,1R
6,1,4872,山下流心,29,広島,53,A2,6.31,43.95,5.68,29.73,0.00,40.74,2022_5_24_21_2R,21,2R
7,2,4695,尾崎雄二,36,長崎,54,B1,4.21,14.43,4.27,18.64,0.00,56.25,2022_5_24_21_2R,21,2R
8,3,3508,久富政弘,50,佐賀,55,B1,4.97,26.09,5.17,28.57,0.00,25.00,2022_5_24_21_2R,21,2R
9,4,4451,松崎祐太,34,福岡,53,A1,6.75,53.13,6.92,53.00,0.00,58.82,2022_5_24_21_2R,21,2R
10,5,5244,黒田剛,21,福岡,51,B2,0.00,0.00,0.00,0.00,0.00,40.00,2022_5_24_21_2R,21,2R
11,6,4213,重富伸也,37,長崎,55,B1,4.43,18.37,3.99,18.29,0.00,50.00,2022_5_24_21_2R,21,2R
12,1,3522,長溝一生,53,佐賀,53,A1,5.78,38.82,6.89,58.57,0.00,25.00,2022_5_24_21_3R,21,3R
13,2,2844,田中伸二,65,広島,53,B1,4.01,17.72,4.13,21.43,0.00,37.50,2022_5_24_21_3R,21,3R
14,3,4151,下河誉史,39,福岡,56,A2,4.73,24.21,5.46,35.11,0.00,48.15,2022_5_24_21_3R,21,3R
15,4,4383,竹田吉行,37,徳島,52,B1,5.49,37.00,4.93,26.09,0.00,72.22,2022_5_24_21_3R,21,3R
16,5,3873,別府昌樹,46,広島,53,A1,5.80,40.60,6.09,44.76,0.00,7.14,2022_5_24_21_3R,21,3R
17,6,5237,永松良教,22,福岡,55,B2,0.00,0.00,0.00,0.00,0.00,33.33,2022_5_24_21_3R,21,3R
18,1,4802,中田達也,28,福岡,52,A1,6.05,42.86,6.57,53.49,0.00,0.00,2022_5_24_21_4R,21,4R
19,2,3305,小野信樹,54,岡山,53,B1,4.53,21.51,4.11,21.43,0.00,46.15,2022_5_24_21_4R,21,4R
20,3,3731,高濱芳久,48,広島,53,A2,5.49,34.33,5.92,38.33,0.00,25.00,2022_5_24_21_4R,21,4R
21,4,3471,赤峰和也,52,佐賀,54,B1,4.42,21.36,4.11,19.44,0.00,52.38,2022_5_24_21_4R,21,4R
22,5,4919,吉田翔悟,31,長崎,52,B1,4.84,26.51,3.49,8.57,0.00,23.53,2022_5_24_21_4R,21,4R
