,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1R,晴,南,2,1,大村,2022_11_10,6-1-3,14860,,610,6-1,5450,1-6,880,,,,,,,,,,
1,1R,晴,南,2,1,大村,2022_11_10,6-1-3,14860,,610,6-1,5450,1-6,880,,,,,,,,,,
2,1R,晴,南,2,1,大村,2022_11_10,6-1-3,14860,,610,6-1,5450,1-6,880,,,,,,,,,,
3,1R,晴,南,2,1,大村,2022_11_10,6-1-3,14860,,610,6-1,5450,1-6,880,,,,,,,,,,
4,1R,晴,南,2,1,大村,2022_11_10,6-1-3,14860,,610,6-1,5450,1-6,880,,,,,,,,,,
5,1R,晴,南,2,1,大村,2022_11_10,6-1-3,14860,,610,6-1,5450,1-6,880,,,,,,,,,,
6,2R,晴,南,3,2,大村,2022_11_10,4-1-5,7310,,910,4-1,1180,1-4,630,,,,,,,,,,
7,2R,晴,南,3,2,大村,2022_11_10,4-1-5,7310,,910,4-1,1180,1-4,630,,,,,,,,,,
8,2R,晴,南,3,2,大村,2022_11_10,4-1-5,7310,,910,4-1,1180,1-4,630,,,,,,,,,,
9,2R,晴,南,3,2,大村,2022_11_10,4-1-5,7310,,910,4-1,1180,1-4,630,,,,,,,,,,
10,2R,晴,南,3,2,大村,2022_11_10,4-1-5,7310,,910,4-1,1180,1-4,630,,,,,,,,,,
11,2R,晴,南,3,2,大村,2022_11_10,4-1-5,7310,,910,4-1,1180,1-4,630,,,,,,,,,,
12,3R,晴,南,3,2,大村,2022_11_10,1-2-5,4640,,1620,1-2,1000,1-2,670,,,,,,,,,,
13,3R,晴,南,3,2,大村,2022_11_10,1-2-5,4640,,1620,1-2,1000,1-2,670,,,,,,,,,,
14,3R,晴,南,3,2,大村,2022_11_10,1-2-5,4640,,1620,1-2,1000,1-2,670,,,,,,,,,,
15,3R,晴,南,3,2,大村,2022_11_10,1-2-5,4640,,1620,1-2,1000,1-2,670,,,,,,,,,,
16,3R,晴,南,3,2,大村,2022_11_10,1-2-5,4640,,1620,1-2,1000,1-2,670,,,,,,,,,,
17,4R,晴,南,2,1,大村,2022_11_10,4-1-5,4420,,930,4-1,1190,1-4,440,,,,,,,,,,
18,4R,晴,南,2,1,大村,2022_11_10,4-1-5,4420,,930,4-1,1190,1-4,440,,,,,,,,,,
19,4R,晴,南,2,1,大村,2022_11_10,4-1-5,4420,,930,4-1,1190,1-4,440,,,,,,,,,,
20,4R,晴,南,2,1,大村,2022_11_10,4-1-5,4420,,930,4-1,1190,1-4,440,,,,,,,,,,
21,4R,晴,南,2,1,大村,2022_11_10,4-1-5,4420,,930,4-1,1190,1-4,440,,,,,,,,,,
22,4R,晴,南,2,1,大村,2022_11_10,4-1-5,4420,,930,4-1,1190,1-4,440,,,,,,,,,,
23,5R,晴,南東,2,1,大村,2022_11_10,1-3-6,650,,280,1-3,300,1-3,210,,,,,,,,,,
24,5R,晴,南東,2,1,大村,2022_11_10,1-3-6,650,,280,1-3,300,1-3,210,,,,,,,,,,
