,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,1,4082,濱崎誠,40,145,6.89,1,0.12,22,1R,晴,北,2,2,2020_10_15,1-2-4,310,1-2-4,150,1-2,160,1-2,140,2020_10_15_22_1R
1,2,2,3935,岩津徹郎,33,109,6.84,2,0.16,22,1R,晴,北,2,2,2020_10_15,1-2-4,310,1-2-4,150,1-2,160,1-2,140,2020_10_15_22_1R
2,3,4,4966,田川大貴,11,152,6.89,4,0.13,22,1R,晴,北,2,2,2020_10_15,1-2-4,310,1-2-4,150,1-2,160,1-2,140,2020_10_15_22_1R
3,4,6,5073,上原健次郎,20,153,6.79,6,0.23,22,1R,晴,北,2,2,2020_10_15,1-2-4,310,1-2-4,150,1-2,160,1-2,140,2020_10_15_22_1R
4,5,3,5093,浦野海,69,111,6.89,3,0.17,22,1R,晴,北,2,2,2020_10_15,1-2-4,310,1-2-4,150,1-2,160,1-2,140,2020_10_15_22_1R
5,6,5,5107,松本真広,55,125,6.85,5,0.22,22,1R,晴,北,2,2,2020_10_15,1-2-4,310,1-2-4,150,1-2,160,1-2,140,2020_10_15_22_1R
6,1,3,5032,谷口知優,12,173,6.88,3,0.12,22,2R,晴,北東,2,2,2020_10_15,3-4-1,8740,1-3-4,360,3-4,2460,3-4,1300,2020_10_15_22_2R
7,2,4,4441,末永由楽,52,167,6.83,4,0.08,22,2R,晴,北東,2,2,2020_10_15,3-4-1,8740,1-3-4,360,3-4,2460,3-4,1300,2020_10_15_22_2R
8,3,1,3964,宮地博士,66,118,6.81,1,0.17,22,2R,晴,北東,2,2,2020_10_15,3-4-1,8740,1-3-4,360,3-4,2460,3-4,1300,2020_10_15_22_2R
9,4,6,4873,蒲原健太,13,148,6.80,5,0.18,22,2R,晴,北東,2,2,2020_10_15,3-4-1,8740,1-3-4,360,3-4,2460,3-4,1300,2020_10_15_22_2R
10,5,2,5025,粟田祥,57,169,6.87,2,0.15,22,2R,晴,北東,2,2,2020_10_15,3-4-1,8740,1-3-4,360,3-4,2460,3-4,1300,2020_10_15_22_2R
11,6,5,5104,山田丈,31,104,6.76,6,0.20,22,2R,晴,北東,2,2,2020_10_15,3-4-1,8740,1-3-4,360,3-4,2460,3-4,1300,2020_10_15_22_2R
12,1,2,4603,谷川将太,44,154,6.82,2,0.17,22,3R,晴,北東,3,3,2020_10_15,2-4-1,7890,1-2-4,1010,2-4,1970,2-4,500,2020_10_15_22_3R
13,2,4,4348,宮崎奨,51,140,6.86,4,0.31,22,3R,晴,北東,3,3,2020_10_15,2-4-1,7890,1-2-4,1010,2-4,1970,2-4,500,2020_10_15_22_3R
14,3,1,3123,中西宏文,74,114,6.88,1,0.15,22,3R,晴,北東,3,3,2020_10_15,2-4-1,7890,1-2-4,1010,2-4,1970,2-4,500,2020_10_15_22_3R
15,4,3,4027,松江秀徳,42,115,6.83,3,0.19,22,3R,晴,北東,3,3,2020_10_15,2-4-1,7890,1-2-4,1010,2-4,1970,2-4,500,2020_10_15_22_3R
