,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,4,3825,宮嵜隆太郎,22,38,6.96,4,0.07,24,1R,曇り,西,1,1,2020_12_24,2020_12_24_24_1R
1,2,1,4919,吉田翔悟,35,26,6.85,1,0.10,24,1R,曇り,西,1,1,2020_12_24,2020_12_24_24_1R
2,3,5,4185,藤原真也,67,14,6.86,5,0.12,24,1R,曇り,西,1,1,2020_12_24,2020_12_24_24_1R
3,4,2,3855,大熊辰弥,45,23,6.90,2,0.17,24,1R,曇り,西,1,1,2020_12_24,2020_12_24_24_1R
4,5,6,4248,岡本大,47,75,6.92,6,0.14,24,1R,曇り,西,1,1,2020_12_24,2020_12_24_24_1R
5,6,3,5093,浦野海,15,34,6.98,3,0.12,24,1R,曇り,西,1,1,2020_12_24,2020_12_24_24_1R
6,1,2,4009,小林一樹,73,30,6.88,2,0.09,24,2R,曇り,西,1,1,2020_12_24,2020_12_24_24_2R
7,2,3,5029,中亮太,53,69,6.96,3,0.09,24,2R,曇り,西,1,1,2020_12_24,2020_12_24_24_2R
8,3,1,3755,吉村和也,24,51,6.91,1,0.17,24,2R,曇り,西,1,1,2020_12_24,2020_12_24_24_2R
9,4,6,4553,坪口竜也,69,40,6.86,6,0.19,24,2R,曇り,西,1,1,2020_12_24,2020_12_24_24_2R
10,5,4,3187,篠原俊夫,46,76,7.04,4,0.11,24,2R,曇り,西,1,1,2020_12_24,2020_12_24_24_2R
11,6,5,5104,山田丈,62,49,6.88,5,0.13,24,2R,曇り,西,1,1,2020_12_24,2020_12_24_24_2R
12,1,3,4226,村田浩司,23,50,6.87,3,0.18,24,3R,晴,北西,1,1,2020_12_24,2020_12_24_24_3R
13,2,1,3928,林恵祐,37,48,6.89,1,0.21,24,3R,晴,北西,1,1,2020_12_24,2020_12_24_24_3R
14,3,2,4551,三川昂暁,50,66,6.81,2,0.15,24,3R,晴,北西,1,1,2020_12_24,2020_12_24_24_3R
15,4,5,5073,上原健次郎,48,52,6.85,6,0.19,24,3R,晴,北西,1,1,2020_12_24,2020_12_24_24_3R
16,5,6,3081,岡本慎治,16,47,6.87,5,0.15,24,3R,晴,北西,1,1,2020_12_24,2020_12_24_24_3R
17,6,4,4979,中野夢斗,51,39,6.90,4,0.14,24,3R,晴,北西,1,1,2020_12_24,2020_12_24_24_3R
18,1,1,4588,田中京介,60,22,6.87,1,0.19,24,4R,晴,北西,1,1,2020_12_24,2020_12_24_24_4R
19,2,4,4555,富永大一,28,16,6.91,4,0.42,24,4R,晴,北西,1,1,2020_12_24,2020_12_24_24_4R
20,3,2,4669,井上茂,68,20,6.86,2,0.24,24,4R,晴,北西,1,1,2020_12_24,2020_12_24_24_4R
21,4,3,4384,鶴本崇文,64,63,6.92,3,0.31,24,4R,晴,北西,1,1,2020_12_24,2020_12_24_24_4R
22,5,5,4005,瀬川公則,14,60,6.89,5,0.35,24,4R,晴,北西,1,1,2020_12_24,2020_12_24_24_4R
23,6,6,3904,森貴洋,49,41,6.89,6,0.31,24,4R,晴,北西,1,1,2020_12_24,2020_12_24_24_4R
24,1,6,4067,永井源,56,73,6.88,5,0.12,24,5R,晴,北西,1,1,2020_12_24,2020_12_24_24_5R
25,2,3,4919,吉田翔悟,35,26,6.87,3,0.02,24,5R,晴,北西,1,1,2020_12_24,2020_12_24_24_5R
26,3,5,4213,重富伸也,70,58,6.86,6,0.17,24,5R,晴,北西,1,1,2020_12_24,2020_12_24_24_5R
27,4,4,4803,飯田庄吾,29,67,6.99,4,0.07,24,5R,晴,北西,1,1,2020_12_24,2020_12_24_24_5R
28,1,1,4776,竹田和哉,39,74,6.89,1,0.12,24,6R,晴,北,1,1,2020_12_24,2020_12_24_24_6R
29,2,3,3567,吉岡誠,55,35,6.94,3,0.15,24,6R,晴,北,1,1,2020_12_24,2020_12_24_24_6R
30,3,5,3566,川添英正,41,33,6.88,5,0.28,24,6R,晴,北,1,1,2020_12_24,2020_12_24_24_6R
31,4,4,3849,中岡正彦,19,17,6.90,4,0.19,24,6R,晴,北,1,1,2020_12_24,2020_12_24_24_6R
32,5,2,3825,宮嵜隆太郎,22,38,6.91,2,0.15,24,6R,晴,北,1,1,2020_12_24,2020_12_24_24_6R
33,6,6,3187,篠原俊夫,46,76,6.92,6,0.26,24,6R,晴,北,1,1,2020_12_24,2020_12_24_24_6R
34,1,1,3568,木村光宏,66,64,6.84,1,0.16,24,7R,晴,東,1,1,2020_12_24,2020_12_24_24_7R
