,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,3900,香川素子,42,滋賀,47,A2,6.69,48.37,6.62,44.83,20.00,32.98,2019_8_26_23_1R,23,1R
1,2,4987,島倉都,22,群馬,47,B1,2.41,1.59,0.00,0.00,11.11,26.04,2019_8_26_23_1R,23,1R
2,3,4901,出口舞有,26,愛知,47,B1,4.96,31.94,2.97,10.26,0.00,49.43,2019_8_26_23_1R,23,1R
3,4,3483,入船幸子,48,佐賀,43,B1,3.72,16.00,4.52,29.11,11.11,25.81,2019_8_26_23_1R,23,1R
4,5,4909,薮内瑞希,23,岡山,44,B1,3.66,14.29,3.25,16.67,45.45,39.56,2019_8_26_23_1R,23,1R
5,6,4143,浦田晃嗣,38,佐賀,57,B1,4.35,20.39,5.11,28.30,0.00,42.22,2019_8_26_23_1R,23,1R
6,1,4282,中西裕子,35,埼玉,50,B1,4.09,15.79,0.00,0.00,30.00,35.56,2019_8_26_23_2R,23,2R
7,2,4008,中尾誠,40,佐賀,51,A2,6.12,45.35,4.81,31.91,50.00,31.40,2019_8_26_23_2R,23,2R
8,3,4994,山本梨菜,21,佐賀,49,B1,3.04,5.15,2.21,1.89,0.00,21.98,2019_8_26_23_2R,23,2R
9,4,4947,間庭菜摘,27,福岡,50,B1,2.66,9.46,1.82,2.27,22.22,41.30,2019_8_26_23_2R,23,2R
10,5,4841,高橋悠花,27,岡山,47,B2,3.51,18.60,2.00,5.56,20.00,34.41,2019_8_26_23_2R,23,2R
11,6,5003,来田衣織,23,兵庫,48,B2,2.18,3.77,3.22,0.00,54.55,45.56,2019_8_26_23_2R,23,2R
12,1,4998,中村かな,25,東京,46,B1,2.99,10.13,2.33,6.67,72.73,41.76,2019_8_26_23_3R,23,3R
13,2,4990,田中博子,22,福岡,50,B2,1.74,0.00,0.00,0.00,80.00,40.00,2019_8_26_23_3R,23,3R
14,3,4445,宮地元輝,32,佐賀,55,A1,7.33,57.86,6.79,53.13,30.00,26.97,2019_8_26_23_3R,23,3R
