,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1R,晴,南,3,3,唐津,2022_11_12,1-4-2,1250,,500,1-4,390,1-4,360,,,,,,,,,,
1,1R,晴,南,3,3,唐津,2022_11_12,1-4-2,1250,,500,1-4,390,1-4,360,,,,,,,,,,
2,1R,晴,南,3,3,唐津,2022_11_12,1-4-2,1250,,500,1-4,390,1-4,360,,,,,,,,,,
3,1R,晴,南,3,3,唐津,2022_11_12,1-4-2,1250,,500,1-4,390,1-4,360,,,,,,,,,,
4,1R,晴,南,3,3,唐津,2022_11_12,1-4-2,1250,,500,1-4,390,1-4,360,,,,,,,,,,
5,1R,晴,南,3,3,唐津,2022_11_12,1-4-2,1250,,500,1-4,390,1-4,360,,,,,,,,,,
6,2R,晴,南,4,4,唐津,2022_11_12,2-1-3,3430,,480,2-1,780,1-2,100,,,,,,,,,,
7,2R,晴,南,4,4,唐津,2022_11_12,2-1-3,3430,,480,2-1,780,1-2,100,,,,,,,,,,
8,2R,晴,南,4,4,唐津,2022_11_12,2-1-3,3430,,480,2-1,780,1-2,100,,,,,,,,,,
9,2R,晴,南,4,4,唐津,2022_11_12,2-1-3,3430,,480,2-1,780,1-2,100,,,,,,,,,,
10,2R,晴,南,4,4,唐津,2022_11_12,2-1-3,3430,,480,2-1,780,1-2,100,,,,,,,,,,
11,2R,晴,南,4,4,唐津,2022_11_12,2-1-3,3430,,480,2-1,780,1-2,100,,,,,,,,,,
12,3R,晴,南,2,2,唐津,2022_11_12,1-2-6,11000,,3780,1-2,1320,1-2,870,,,,,,,,,,
13,3R,晴,南,2,2,唐津,2022_11_12,1-2-6,11000,,3780,1-2,1320,1-2,870,,,,,,,,,,
14,3R,晴,南,2,2,唐津,2022_11_12,1-2-6,11000,,3780,1-2,1320,1-2,870,,,,,,,,,,
15,3R,晴,南,2,2,唐津,2022_11_12,1-2-6,11000,,3780,1-2,1320,1-2,870,,,,,,,,,,
16,3R,晴,南,2,2,唐津,2022_11_12,1-2-6,11000,,3780,1-2,1320,1-2,870,,,,,,,,,,
17,3R,晴,南,2,2,唐津,2022_11_12,1-2-6,11000,,3780,1-2,1320,1-2,870,,,,,,,,,,
18,4R,晴,南西,2,2,唐津,2022_11_12,1-4-3,6720,,1070,1-4,2250,1-4,1580,,,,,,,,,,
19,4R,晴,南西,2,2,唐津,2022_11_12,1-4-3,6720,,1070,1-4,2250,1-4,1580,,,,,,,,,,
20,4R,晴,南西,2,2,唐津,2022_11_12,1-4-3,6720,,1070,1-4,2250,1-4,1580,,,,,,,,,,
21,4R,晴,南西,2,2,唐津,2022_11_12,1-4-3,6720,,1070,1-4,2250,1-4,1580,,,,,,,,,,
22,4R,晴,南西,2,2,唐津,2022_11_12,1-4-3,6720,,1070,1-4,2250,1-4,1580,,,,,,,,,,
23,4R,晴,南西,2,2,唐津,2022_11_12,1-4-3,6720,,1070,1-4,2250,1-4,1580,,,,,,,,,,
