,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,3961,谷村一哉,42,山口,56,A1,6.79,52.74,6.00,45.65,43.88,26.00,2021_5_27_23_1R,23,1R
1,2,4994,山本梨菜,23,佐賀,49,B1,4.38,17.78,4.32,14.29,27.32,29.17,2021_5_27_23_1R,23,1R
2,3,4705,吉川勇作,32,長崎,55,B1,3.79,20.73,4.06,21.28,29.63,23.91,2021_5_27_23_1R,23,1R
3,4,4204,柴田大輔,38,福岡,51,B1,4.23,19.75,6.57,52.38,29.59,38.00,2021_5_27_23_1R,23,1R
4,5,3211,北川敏弘,59,佐賀,54,B1,4.91,26.97,4.55,20.33,29.17,29.79,2021_5_27_23_1R,23,1R
5,6,4900,中田夕貴,28,埼玉,47,B1,5.66,39.55,1.67,0.00,24.71,41.18,2021_5_27_23_1R,23,1R
6,1,4514,上條嘉嗣,31,大阪,54,A2,5.97,44.07,4.88,25.00,31.18,40.91,2021_5_27_23_2R,23,2R
7,2,4757,山田祐也,31,徳島,53,A1,7.24,56.05,7.11,51.85,39.89,25.00,2021_5_27_23_2R,23,2R
8,3,3459,中野和裕,54,佐賀,54,B1,4.50,23.68,4.68,22.94,35.96,50.00,2021_5_27_23_2R,23,2R
9,4,4697,國弘翔平,34,福岡,49,B1,3.98,19.80,3.41,13.79,28.09,37.04,2021_5_27_23_2R,23,2R
10,5,4251,川崎誠志,38,山口,52,B1,3.77,18.39,4.53,26.32,30.99,28.26,2021_5_27_23_2R,23,2R
11,6,4400,加藤奈月,32,福井,56,B1,3.30,11.36,3.44,5.56,33.82,34.09,2021_5_27_23_2R,23,2R
12,1,4709,岡村将也,31,福岡,54,A2,5.06,27.78,4.59,31.82,25.81,27.08,2021_5_27_23_3R,23,3R
13,2,4396,大田直弥,34,山口,52,B1,5.06,30.11,5.56,33.33,30.15,25.58,2021_5_27_23_3R,23,3R
14,3,4653,小野達哉,35,大阪,52,A1,6.00,42.06,6.58,57.89,34.57,32.61,2021_5_27_23_3R,23,3R
15,4,3025,山口哲治,59,長崎,50,B1,3.99,15.94,4.17,17.31,33.98,18.18,2021_5_27_23_3R,23,3R
16,5,5086,本村大,21,長崎,54,B1,2.66,8.24,3.44,17.65,35.15,33.33,2021_5_27_23_3R,23,3R
17,6,4116,川田正人,40,徳島,52,B1,5.15,27.35,5.26,34.78,29.47,33.33,2021_5_27_23_3R,23,3R
18,1,3574,大神康司,48,福岡,53,A2,6.11,42.95,5.89,45.45,30.05,31.71,2021_5_27_23_4R,23,4R
19,2,4247,齊藤優,39,徳島,54,B1,5.55,34.19,5.00,35.00,40.00,33.33,2021_5_27_23_4R,23,4R
20,3,4441,末永由楽,34,岡山,54,A2,5.74,37.96,4.86,28.57,26.94,23.40,2021_5_27_23_4R,23,4R
21,4,4841,高橋悠花,29,岡山,47,B1,4.00,14.29,4.60,40.00,34.48,51.22,2021_5_27_23_4R,23,4R
22,5,4685,島村隆幸,30,徳島,51,A1,7.34,56.30,7.56,66.67,26.38,39.53,2021_5_27_23_4R,23,4R
23,6,4248,岡本大,39,長崎,55,B1,4.67,23.08,5.00,22.22,38.31,28.21,2021_5_27_23_4R,23,4R
24,1,4204,柴田大輔,38,福岡,51,B1,4.23,19.75,6.57,52.38,29.59,38.00,2021_5_27_23_5R,23,5R
