,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,1,3025,山口哲治,27,71,7.05,1,0.15,24,1R,晴,西,2,1,2020_7_17,1-3-5,2590,1-3-5,910,1-3,750,1-3,790,2020_7_17_24_1R
1,2,3,3506,宮西真昭,41,58,6.99,3,0.15,24,1R,晴,西,2,1,2020_7_17,1-3-5,2590,1-3-5,910,1-3,750,1-3,790,2020_7_17_24_1R
2,3,5,4919,吉田翔悟,17,67,6.98,5,0.15,24,1R,晴,西,2,1,2020_7_17,1-3-5,2590,1-3-5,910,1-3,750,1-3,790,2020_7_17_24_1R
3,4,6,3261,大川茂実,18,74,6.94,6,0.27,24,1R,晴,西,2,1,2020_7_17,1-3-5,2590,1-3-5,910,1-3,750,1-3,790,2020_7_17_24_1R
4,5,2,3884,豊田聡,47,44,7.09,2,0.15,24,1R,晴,西,2,1,2020_7_17,1-3-5,2590,1-3-5,910,1-3,750,1-3,790,2020_7_17_24_1R
5,6,4,5064,品川二千翔,23,43,6.99,4,0.13,24,1R,晴,西,2,1,2020_7_17,1-3-5,2590,1-3-5,910,1-3,750,1-3,790,2020_7_17_24_1R
6,1,1,3471,赤峰和也,22,38,7.07,1,0.18,24,2R,晴,北西,1,1,2020_7_17,1-2-4,1220,1-2-4,290,1-2,550,1-2,380,2020_7_17_24_2R
7,2,2,4288,永田啓二,53,17,7.12,2,0.17,24,2R,晴,北西,1,1,2020_7_17,1-2-4,1220,1-2-4,290,1-2,550,1-2,380,2020_7_17_24_2R
8,3,4,4154,森安弘雅,19,55,7.00,4,0.14,24,2R,晴,北西,1,1,2020_7_17,1-2-4,1220,1-2-4,290,1-2,550,1-2,380,2020_7_17_24_2R
9,4,5,4395,下河雅史,34,53,7.02,5,0.11,24,2R,晴,北西,1,1,2020_7_17,1-2-4,1220,1-2-4,290,1-2,550,1-2,380,2020_7_17_24_2R
10,5,3,5000,岡本翔太郎,13,16,6.93,3,0.16,24,2R,晴,北西,1,1,2020_7_17,1-2-4,1220,1-2-4,290,1-2,550,1-2,380,2020_7_17_24_2R
11,1,3,4351,里岡右貴,12,68,6.91,3,0.11,24,3R,晴,北西,1,1,2020_7_17,3-1-4,940,1-3-4,370,3-1,390,1-3,160,2020_7_17_24_3R
12,2,1,3559,水長照雄,66,76,6.89,1,0.26,24,3R,晴,北西,1,1,2020_7_17,3-1-4,940,1-3-4,370,3-1,390,1-3,160,2020_7_17_24_3R
13,3,4,4948,木場悠介,25,45,6.98,4,0.17,24,3R,晴,北西,1,1,2020_7_17,3-1-4,940,1-3-4,370,3-1,390,1-3,160,2020_7_17_24_3R
14,4,5,4894,原村拓也,74,49,7.02,5,0.15,24,3R,晴,北西,1,1,2020_7_17,3-1-4,940,1-3-4,370,3-1,390,1-3,160,2020_7_17_24_3R
15,5,6,3273,石田豪,39,50,6.95,6,0.21,24,3R,晴,北西,1,1,2020_7_17,3-1-4,940,1-3-4,370,3-1,390,1-3,160,2020_7_17_24_3R
16,6,2,4250,藤川利文,24,41,7.02,2,0.24,24,3R,晴,北西,1,1,2020_7_17,3-1-4,940,1-3-4,370,3-1,390,1-3,160,2020_7_17_24_3R
17,1,2,4732,堀本和也,14,54,6.92,2,0.14,24,4R,晴,北西,1,1,2020_7_17,2-1-5,9650,1-2-5,1920,2-1,1660,1-2,460,2020_7_17_24_4R
18,2,1,3881,浦上拓也,28,47,6.97,1,0.17,24,4R,晴,北西,1,1,2020_7_17,2-1-5,9650,1-2-5,1920,2-1,1660,1-2,460,2020_7_17_24_4R
19,3,5,5026,安河内健,51,72,6.89,5,0.13,24,4R,晴,北西,1,1,2020_7_17,2-1-5,9650,1-2-5,1920,2-1,1660,1-2,460,2020_7_17_24_4R
20,4,3,3300,川崎智幸,20,32,6.95,3,0.07,24,4R,晴,北西,1,1,2020_7_17,2-1-5,9650,1-2-5,1920,2-1,1660,1-2,460,2020_7_17_24_4R
21,5,4,3898,平田忠則,63,40,6.98,4,0.15,24,4R,晴,北西,1,1,2020_7_17,2-1-5,9650,1-2-5,1920,2-1,1660,1-2,460,2020_7_17_24_4R
22,6,6,3054,北川幸典,21,35,6.94,6,0.16,24,4R,晴,北西,1,1,2020_7_17,2-1-5,9650,1-2-5,1920,2-1,1660,1-2,460,2020_7_17_24_4R
23,1,1,3064,山崎昭生,11,59,6.98,1,0.11,24,5R,晴,北西,1,1,2020_7_17,1-6-4,2150,1-4-6,580,1-6,860,1-6,600,2020_7_17_24_5R
24,2,6,3963,原田秀弥,60,27,7.00,4,0.07,24,5R,晴,北西,1,1,2020_7_17,1-6-4,2150,1-4-6,580,1-6,860,1-6,600,2020_7_17_24_5R
25,3,4,3333,丸尾義孝,15,33,6.98,3,0.11,24,5R,晴,北西,1,1,2020_7_17,1-6-4,2150,1-4-6,580,1-6,860,1-6,600,2020_7_17_24_5R
26,4,3,4259,真庭明志,46,46,6.97,2,0.06,24,5R,晴,北西,1,1,2020_7_17,1-6-4,2150,1-4-6,580,1-6,860,1-6,600,2020_7_17_24_5R
27,5,2,4978,山田和佐,40,51,7.01,6,0.12,24,5R,晴,北西,1,1,2020_7_17,1-6-4,2150,1-4-6,580,1-6,860,1-6,600,2020_7_17_24_5R
28,6,5,5064,品川二千翔,23,43,6.97,5,0.07,24,5R,晴,北西,1,1,2020_7_17,1-6-4,2150,1-4-6,580,1-6,860,1-6,600,2020_7_17_24_5R
29,1,1,4163,山崎裕司,65,39,6.83,1,0.13,24,6R,晴,北西,2,1,2020_7_17,1-6-3,760,1-3-6,230,1-6,400,1-6,320,2020_7_17_24_6R
30,2,6,4189,川上剛,54,65,6.85,2,0.15,24,6R,晴,北西,2,1,2020_7_17,1-6-3,760,1-3-6,230,1-6,400,1-6,320,2020_7_17_24_6R
31,3,3,4237,大峯豊,31,63,6.93,4,0.17,24,6R,晴,北西,2,1,2020_7_17,1-6-3,760,1-3-6,230,1-6,400,1-6,320,2020_7_17_24_6R
32,4,2,4331,三好勇人,50,34,6.91,3,0.21,24,6R,晴,北西,2,1,2020_7_17,1-6-3,760,1-3-6,230,1-6,400,1-6,320,2020_7_17_24_6R
33,5,5,5058,前原大道,70,15,6.87,6,0.14,24,6R,晴,北西,2,1,2020_7_17,1-6-3,760,1-3-6,230,1-6,400,1-6,320,2020_7_17_24_6R
34,6,4,3884,豊田聡,47,44,6.98,5,0.16,24,6R,晴,北西,2,1,2020_7_17,1-6-3,760,1-3-6,230,1-6,400,1-6,320,2020_7_17_24_6R
35,1,1,4064,原田篤志,68,70,6.94,1,0.20,24,7R,晴,北,2,1,2020_7_17,1-2-4,440,1-2-4,290,1-2,180,1-2,160,2020_7_17_24_7R
36,2,2,4336,松田竜馬,30,37,6.93,2,0.20,24,7R,晴,北,2,1,2020_7_17,1-2-4,440,1-2-4,290,1-2,180,1-2,160,2020_7_17_24_7R
37,3,4,4097,貫地谷直人,64,36,6.95,4,0.28,24,7R,晴,北,2,1,2020_7_17,1-2-4,440,1-2-4,290,1-2,180,1-2,160,2020_7_17_24_7R
38,4,3,3025,山口哲治,27,71,6.95,3,0.37,24,7R,晴,北,2,1,2020_7_17,1-2-4,440,1-2-4,290,1-2,180,1-2,160,2020_7_17_24_7R
39,5,5,4948,木場悠介,25,45,6.96,5,0.24,24,7R,晴,北,2,1,2020_7_17,1-2-4,440,1-2-4,290,1-2,180,1-2,160,2020_7_17_24_7R
40,6,6,5138,村本大成,16,52,6.98,6,0.24,24,7R,晴,北,2,1,2020_7_17,1-2-4,440,1-2-4,290,1-2,180,1-2,160,2020_7_17_24_7R
41,1,1,3566,川添英正,48,73,6.93,1,0.26,24,8R,晴,北,2,1,2020_7_17,1-5-2,3690,1-2-5,350,1-5,1840,1-5,1440,2020_7_17_24_8R
42,2,5,4732,堀本和也,14,54,6.89,5,0.16,24,8R,晴,北,2,1,2020_7_17,1-5-2,3690,1-2-5,350,1-5,1840,1-5,1440,2020_7_17_24_8R
43,3,2,4174,赤坂俊輔,76,48,6.90,2,0.24,24,8R,晴,北,2,1,2020_7_17,1-5-2,3690,1-2-5,350,1-5,1840,1-5,1440,2020_7_17_24_8R
44,4,4,4395,下河雅史,34,53,6.90,4,0.17,24,8R,晴,北,2,1,2020_7_17,1-5-2,3690,1-2-5,350,1-5,1840,1-5,1440,2020_7_17_24_8R
45,5,3,4919,吉田翔悟,17,67,6.92,3,0.21,24,8R,晴,北,2,1,2020_7_17,1-5-2,3690,1-2-5,350,1-5,1840,1-5,1440,2020_7_17_24_8R
46,6,6,3543,福田雅一,56,18,6.95,6,0.24,24,8R,晴,北,2,1,2020_7_17,1-5-2,3690,1-2-5,350,1-5,1840,1-5,1440,2020_7_17_24_8R
47,1,1,3333,丸尾義孝,15,33,6.90,1,0.10,24,9R,晴,北西,1,1,2020_7_17,1-3-2,5390,1-2-3,1590,1-3,1350,1-3,1160,2020_7_17_24_9R
48,2,3,3559,水長照雄,66,76,6.91,3,0.09,24,9R,晴,北西,1,1,2020_7_17,1-3-2,5390,1-2-3,1590,1-3,1350,1-3,1160,2020_7_17_24_9R
49,3,2,4272,大場広孝,67,69,6.94,2,0.11,24,9R,晴,北西,1,1,2020_7_17,1-3-2,5390,1-2-3,1590,1-3,1350,1-3,1160,2020_7_17_24_9R
50,4,5,4762,藤原啓史朗,26,62,6.91,5,0.04,24,9R,晴,北西,1,1,2020_7_17,1-3-2,5390,1-2-3,1590,1-3,1350,1-3,1160,2020_7_17_24_9R
51,5,4,5026,安河内健,51,72,6.90,4,0.11,24,9R,晴,北西,1,1,2020_7_17,1-3-2,5390,1-2-3,1590,1-3,1350,1-3,1160,2020_7_17_24_9R
52,6,6,4154,森安弘雅,19,55,6.95,6,0.04,24,9R,晴,北西,1,1,2020_7_17,1-3-2,5390,1-2-3,1590,1-3,1350,1-3,1160,2020_7_17_24_9R
53,1,2,4259,真庭明志,46,46,6.92,2,0.12,24,10R,晴,北西,1,1,2020_7_17,2-1-5,6310,1-2-5,370,2-1,1440,1-2,200,2020_7_17_24_10R
54,2,1,4351,里岡右貴,12,68,6.90,1,0.11,24,10R,晴,北西,1,1,2020_7_17,2-1-5,6310,1-2-5,370,2-1,1440,1-2,200,2020_7_17_24_10R
55,3,5,4348,宮崎奨,45,75,6.96,5,0.14,24,10R,晴,北西,1,1,2020_7_17,2-1-5,6310,1-2-5,370,2-1,1440,1-2,200,2020_7_17_24_10R
56,4,3,4163,山崎裕司,65,39,6.94,3,0.14,24,10R,晴,北西,1,1,2020_7_17,2-1-5,6310,1-2-5,370,2-1,1440,1-2,200,2020_7_17_24_10R
57,5,6,4367,山口修路,29,61,6.93,6,0.21,24,10R,晴,北西,1,1,2020_7_17,2-1-5,6310,1-2-5,370,2-1,1440,1-2,200,2020_7_17_24_10R
58,6,4,3881,浦上拓也,28,47,6.96,4,0.13,24,10R,晴,北西,1,1,2020_7_17,2-1-5,6310,1-2-5,370,2-1,1440,1-2,200,2020_7_17_24_10R
59,1,1,4237,大峯豊,31,63,6.94,1,0.10,24,11R,晴,北西,1,1,2020_7_17,1-5-2,1940,1-2-5,390,1-5,780,1-5,740,2020_7_17_24_11R
60,2,5,4336,松田竜馬,30,37,6.96,5,0.09,24,11R,晴,北西,1,1,2020_7_17,1-5-2,1940,1-2-5,390,1-5,780,1-5,740,2020_7_17_24_11R
61,3,2,3300,川崎智幸,20,32,6.95,2,0.10,24,11R,晴,北西,1,1,2020_7_17,1-5-2,1940,1-2-5,390,1-5,780,1-5,740,2020_7_17_24_11R
62,4,4,3273,石田豪,39,50,6.97,4,0.12,24,11R,晴,北西,1,1,2020_7_17,1-5-2,1940,1-2-5,390,1-5,780,1-5,740,2020_7_17_24_11R
63,5,3,3064,山崎昭生,11,59,7.00,3,0.19,24,11R,晴,北西,1,1,2020_7_17,1-5-2,1940,1-2-5,390,1-5,780,1-5,740,2020_7_17_24_11R
64,6,6,4288,永田啓二,53,17,7.04,6,0.19,24,11R,晴,北西,1,1,2020_7_17,1-5-2,1940,1-2-5,390,1-5,780,1-5,740,2020_7_17_24_11R
65,1,1,4174,赤坂俊輔,76,48,6.97,1,0.10,24,12R,晴,北西,1,1,2020_7_17,1-4-5,1990,1-4-5,1220,1-4,520,1-4,520,2020_7_17_24_12R
66,2,4,4189,川上剛,54,65,6.98,4,0.17,24,12R,晴,北西,1,1,2020_7_17,1-4-5,1990,1-4-5,1220,1-4,520,1-4,520,2020_7_17_24_12R
67,3,5,4064,原田篤志,68,70,6.94,5,0.18,24,12R,晴,北西,1,1,2020_7_17,1-4-5,1990,1-4-5,1220,1-4,520,1-4,520,2020_7_17_24_12R
68,4,2,3963,原田秀弥,60,27,6.99,2,0.11,24,12R,晴,北西,1,1,2020_7_17,1-4-5,1990,1-4-5,1220,1-4,520,1-4,520,2020_7_17_24_12R
69,5,3,3898,平田忠則,63,11,7.02,3,0.14,24,12R,晴,北西,1,1,2020_7_17,1-4-5,1990,1-4-5,1220,1-4,520,1-4,520,2020_7_17_24_12R
70,6,6,4762,藤原啓史朗,26,62,6.90,6,0.15,24,12R,晴,北西,1,1,2020_7_17,1-4-5,1990,1-4-5,1220,1-4,520,1-4,520,2020_7_17_24_12R
71,1,1,3968,茶谷信次,16,57,6.91,1,0.17,23,1R,晴,北東,5,5,2020_7_17,1-2-6,2520,1-2-6,1370,1-2,450,1-2,300,2020_7_17_23_1R
72,2,2,4234,野相弘司,26,60,6.90,2,0.12,23,1R,晴,北東,5,5,2020_7_17,1-2-6,2520,1-2-6,1370,1-2,450,1-2,300,2020_7_17_23_1R
73,3,6,4684,楠原翔太,24,75,6.99,6,0.18,23,1R,晴,北東,5,5,2020_7_17,1-2-6,2520,1-2-6,1370,1-2,450,1-2,300,2020_7_17_23_1R
74,4,4,4955,福田慶尚,17,37,6.85,4,0.17,23,1R,晴,北東,5,5,2020_7_17,1-2-6,2520,1-2-6,1370,1-2,450,1-2,300,2020_7_17_23_1R
75,5,5,5050,木下雄介,15,42,6.91,5,0.16,23,1R,晴,北東,5,5,2020_7_17,1-2-6,2520,1-2-6,1370,1-2,450,1-2,300,2020_7_17_23_1R
76,1,2,4556,竹井奈美,32,74,6.95,3,0.18,23,2R,晴,北東,5,5,2020_7_17,2-1-4,1810,1-2-4,380,2-1,630,1-2,150,2020_7_17_23_2R
77,2,1,3572,安田政彦,14,90,6.93,1,0.17,23,2R,晴,北東,5,5,2020_7_17,2-1-4,1810,1-2-4,380,2-1,630,1-2,150,2020_7_17_23_2R
78,3,4,3305,小野信樹,67,72,6.89,5,0.11,23,2R,晴,北東,5,5,2020_7_17,2-1-4,1810,1-2-4,380,2-1,630,1-2,150,2020_7_17_23_2R
79,4,3,4636,赤池修平,58,51,6.94,4,0.13,23,2R,晴,北東,5,5,2020_7_17,2-1-4,1810,1-2-4,380,2-1,630,1-2,150,2020_7_17_23_2R
80,5,5,3486,渋田治代,13,69,6.83,6,0.28,23,2R,晴,北東,5,5,2020_7_17,2-1-4,1810,1-2-4,380,2-1,630,1-2,150,2020_7_17_23_2R
81,6,6,3507,藤井徹,31,77,6.97,2,0.23,23,2R,晴,北東,5,5,2020_7_17,2-1-4,1810,1-2-4,380,2-1,630,1-2,150,2020_7_17_23_2R
82,1,3,3849,中岡正彦,54,39,6.94,3,0.08,23,3R,晴,北東,5,5,2020_7_17,3-1-2,1860,1-2-3,410,3-1,530,1-3,160,2020_7_17_23_3R
83,2,1,3161,古場輝義,43,56,6.93,1,0.09,23,3R,晴,北東,5,5,2020_7_17,3-1-2,1860,1-2-3,410,3-1,530,1-3,160,2020_7_17_23_3R
84,3,2,4874,池田奈津美,49,38,6.92,2,0.12,23,3R,晴,北東,5,5,2020_7_17,3-1-2,1860,1-2-3,410,3-1,530,1-3,160,2020_7_17_23_3R
85,4,5,5060,数原魁,62,34,6.86,5,0.17,23,3R,晴,北東,5,5,2020_7_17,3-1-2,1860,1-2-3,410,3-1,530,1-3,160,2020_7_17_23_3R
86,5,6,4947,間庭菜摘,51,89,6.88,6,0.06,23,3R,晴,北東,5,5,2020_7_17,3-1-2,1860,1-2-3,410,3-1,530,1-3,160,2020_7_17_23_3R
87,6,4,4007,榮田将彦,42,33,6.93,4,0.06,23,3R,晴,北東,5,5,2020_7_17,3-1-2,1860,1-2-3,410,3-1,530,1-3,160,2020_7_17_23_3R
88,1,4,3919,村上純,68,62,6.88,1,0.10,23,4R,晴,北東,5,5,2020_7_17,4-5-2,2710,2-4-5,880,4-5,760,4-5,650,2020_7_17_23_4R
89,2,5,3462,竹上真司,46,48,6.99,4,0.17,23,4R,晴,北東,5,5,2020_7_17,4-5-2,2710,2-4-5,880,4-5,760,4-5,650,2020_7_17_23_4R
90,3,2,4034,西原明生,56,47,6.90,3,0.16,23,4R,晴,北東,5,5,2020_7_17,4-5-2,2710,2-4-5,880,4-5,760,4-5,650,2020_7_17_23_4R
91,4,1,4011,堀之内紀代子,21,86,6.78,2,0.14,23,4R,晴,北東,5,5,2020_7_17,4-5-2,2710,2-4-5,880,4-5,760,4-5,650,2020_7_17_23_4R
92,5,3,4004,山本浩輔,63,54,6.91,5,0.18,23,4R,晴,北東,5,5,2020_7_17,4-5-2,2710,2-4-5,880,4-5,760,4-5,650,2020_7_17_23_4R
93,6,6,5146,野田彩加,34,83,6.91,6,0.16,23,4R,晴,北東,5,5,2020_7_17,4-5-2,2710,2-4-5,880,4-5,760,4-5,650,2020_7_17_23_4R
94,1,2,4504,前田将太,11,61,6.89,1,0.07,23,5R,晴,北東,5,5,2020_7_17,2-1-4,2140,1-2-4,590,2-1,1120,1-2,720,2020_7_17_23_5R
95,2,1,4955,福田慶尚,17,37,6.89,3,0.02,23,5R,晴,北東,5,5,2020_7_17,2-1-4,2140,1-2-4,590,2-1,1120,1-2,720,2020_7_17_23_5R
96,3,4,3918,深井利寿,12,46,6.94,4,0.05,23,5R,晴,北東,5,5,2020_7_17,2-1-4,2140,1-2-4,590,2-1,1120,1-2,720,2020_7_17_23_5R
97,4,5,4413,水摩敦,47,87,6.92,5,0.04,23,5R,晴,北東,5,5,2020_7_17,2-1-4,2140,1-2-4,590,2-1,1120,1-2,720,2020_7_17_23_5R
98,5,3,4094,中島真二,45,79,6.86,2,0.03,23,5R,晴,北東,5,5,2020_7_17,2-1-4,2140,1-2-4,590,2-1,1120,1-2,720,2020_7_17_23_5R
99,6,6,5050,木下雄介,15,42,6.87,6,0.10,23,5R,晴,北東,5,5,2020_7_17,2-1-4,2140,1-2-4,590,2-1,1120,1-2,720,2020_7_17_23_5R
100,1,4,3265,今村暢孝,37,68,6.86,2,0.09,23,6R,晴,北東,5,5,2020_7_17,4-3-6,3310,3-4-6,1650,4-3,370,3-4,240,2020_7_17_23_6R
101,2,3,3968,茶谷信次,16,57,6.85,4,0.16,23,6R,晴,北東,5,5,2020_7_17,4-3-6,3310,3-4-6,1650,4-3,370,3-4,240,2020_7_17_23_6R
102,3,6,4861,田中宏樹,65,65,6.90,6,0.18,23,6R,晴,北東,5,5,2020_7_17,4-3-6,3310,3-4-6,1650,4-3,370,3-4,240,2020_7_17_23_6R
103,4,2,3507,藤井徹,31,77,6.94,3,0.11,23,6R,晴,北東,5,5,2020_7_17,4-3-6,3310,3-4-6,1650,4-3,370,3-4,240,2020_7_17_23_6R
104,5,5,4171,榎幸司,35,41,6.98,5,0.14,23,6R,晴,北東,5,5,2020_7_17,4-3-6,3310,3-4-6,1650,4-3,370,3-4,240,2020_7_17_23_6R
105,6,1,4636,赤池修平,58,51,6.95,1,0.14,23,6R,晴,北東,5,5,2020_7_17,4-3-6,3310,3-4-6,1650,4-3,370,3-4,240,2020_7_17_23_6R
106,1,4,4234,野相弘司,26,60,6.92,4,0.06,23,7R,晴,北東,5,5,2020_7_17,4-2-1,7900,1-2-4,340,4-2,3070,2-4,1450,2020_7_17_23_7R
107,2,2,4684,楠原翔太,24,75,6.93,3,0.07,23,7R,晴,北東,5,5,2020_7_17,4-2-1,7900,1-2-4,340,4-2,3070,2-4,1450,2020_7_17_23_7R
108,3,1,3305,小野信樹,67,72,6.94,1,0.11,23,7R,晴,北東,5,5,2020_7_17,4-2-1,7900,1-2-4,340,4-2,3070,2-4,1450,2020_7_17_23_7R
109,4,3,3486,渋田治代,13,69,6.90,2,0.36,23,7R,晴,北東,5,5,2020_7_17,4-2-1,7900,1-2-4,340,4-2,3070,2-4,1450,2020_7_17_23_7R
