,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,1,4794,和田拓也,44,125,6.82,1,0.15,22,1R,晴,北,3,3,2021_11_4,2021_11_4_22_1R
1,2,3,4866,橋本英一,71,107,6.85,3,0.26,22,1R,晴,北,3,3,2021_11_4,2021_11_4_22_1R
2,3,6,3892,草場康幸,12,124,6.90,6,0.23,22,1R,晴,北,3,3,2021_11_4,2021_11_4_22_1R
3,4,5,4374,永田義紘,38,130,6.94,5,0.22,22,1R,晴,北,3,3,2021_11_4,2021_11_4_22_1R
4,5,4,3825,宮嵜隆太郎,42,156,6.95,4,0.24,22,1R,晴,北,3,3,2021_11_4,2021_11_4_22_1R
5,6,2,4038,田中健太郎,53,174,6.96,2,0.29,22,1R,晴,北,3,3,2021_11_4,2021_11_4_22_1R
6,1,2,4624,高田明,75,104,6.83,2,0.21,22,2R,晴,北,3,3,2021_11_4,2021_11_4_22_2R
7,2,1,4495,森晋太郎,58,106,6.84,1,0.22,22,2R,晴,北,3,3,2021_11_4,2021_11_4_22_2R
8,3,4,3349,吉田一郎,39,139,6.82,4,0.24,22,2R,晴,北,3,3,2021_11_4,2021_11_4_22_2R
9,4,6,3581,加木郁,56,164,6.86,6,0.33,22,2R,晴,北,3,3,2021_11_4,2021_11_4_22_2R
10,5,3,3186,沖悟,40,143,6.91,3,0.17,22,2R,晴,北,3,3,2021_11_4,2021_11_4_22_2R
11,6,5,3571,寺本武司,41,165,6.90,5,0.28,22,2R,晴,北,3,3,2021_11_4,2021_11_4_22_2R
12,1,3,3757,畑和宏,74,151,6.90,3,0.17,22,3R,晴,北,3,3,2021_11_4,2021_11_4_22_3R
13,2,5,3878,胡本悟志,69,137,6.91,5,0.11,22,3R,晴,北,3,3,2021_11_4,2021_11_4_22_3R
14,3,1,4226,村田浩司,62,153,6.90,1,0.18,22,3R,晴,北,3,3,2021_11_4,2021_11_4_22_3R
15,4,6,4287,今井貴士,66,163,6.94,6,0.20,22,3R,晴,北,3,3,2021_11_4,2021_11_4_22_3R
16,5,2,4040,廣瀬将亨,16,126,6.95,2,0.12,22,3R,晴,北,3,3,2021_11_4,2021_11_4_22_3R
17,6,4,4747,山戸信二,67,148,6.90,4,0.19,22,3R,晴,北,3,3,2021_11_4,2021_11_4_22_3R
18,1,4,4007,榮田将彦,51,132,6.87,4,0.09,22,4R,晴,北,3,3,2021_11_4,2021_11_4_22_4R
19,2,3,4022,待鳥雄紀,55,123,6.84,3,0.24,22,4R,晴,北,3,3,2021_11_4,2021_11_4_22_4R
20,3,2,4051,清水敦揮,32,121,6.90,2,0.26,22,4R,晴,北,3,3,2021_11_4,2021_11_4_22_4R
21,4,6,4523,中村辰也,29,118,6.91,6,0.16,22,4R,晴,北,3,3,2021_11_4,2021_11_4_22_4R
22,5,5,3928,林恵祐,25,160,6.94,5,0.15,22,4R,晴,北,3,3,2021_11_4,2021_11_4_22_4R
23,6,1,3593,横井光弘,19,110,6.87,1,0.24,22,4R,晴,北,3,3,2021_11_4,2021_11_4_22_4R
24,1,1,4374,永田義紘,38,130,6.86,1,0.16,22,5R,晴,北,2,2,2021_11_4,2021_11_4_22_5R
25,2,5,4749,山口貢輝,36,131,6.82,5,0.25,22,5R,晴,北,2,2,2021_11_4,2021_11_4_22_5R
26,3,4,4057,松井賢治,24,122,6.86,4,0.19,22,5R,晴,北,2,2,2021_11_4,2021_11_4_22_5R
27,4,6,4295,小坂尚哉,18,144,6.80,6,0.29,22,5R,晴,北,2,2,2021_11_4,2021_11_4_22_5R
28,5,3,4693,松下誉士,45,170,6.75,3,0.21,22,5R,晴,北,2,2,2021_11_4,2021_11_4_22_5R
29,6,2,3715,倉尾大介,43,167,6.81,2,0.21,22,5R,晴,北,2,2,2021_11_4,2021_11_4_22_5R
30,1,1,3350,藤本佳史,15,173,6.82,1,0.19,22,6R,晴,北,3,3,2021_11_4,2021_11_4_22_6R
31,2,4,3473,石川真二,27,129,6.78,3,0.21,22,6R,晴,北,3,3,2021_11_4,2021_11_4_22_6R
32,3,2,3186,沖悟,40,143,6.82,2,0.23,22,6R,晴,北,3,3,2021_11_4,2021_11_4_22_6R
33,4,6,3352,小川晃司,60,115,6.85,6,0.16,22,6R,晴,北,3,3,2021_11_4,2021_11_4_22_6R
34,5,3,4375,照屋厚仁,17,116,6.85,4,0.39,22,6R,晴,北,3,3,2021_11_4,2021_11_4_22_6R
35,6,5,4038,田中健太郎,53,174,6.91,5,0.34,22,6R,晴,北,3,3,2021_11_4,2021_11_4_22_6R
36,1,4,4561,藤山翔大,47,120,6.64,4,0.02,22,7R,晴,北,2,2,2021_11_4,2021_11_4_22_7R
37,2,1,3853,岩崎正哉,21,168,6.85,1,0.10,22,7R,晴,北,2,2,2021_11_4,2021_11_4_22_7R
38,3,5,4040,廣瀬将亨,16,126,6.86,5,0.11,22,7R,晴,北,2,2,2021_11_4,2021_11_4_22_7R
39,4,3,4495,森晋太郎,58,106,6.85,3,0.11,22,7R,晴,北,2,2,2021_11_4,2021_11_4_22_7R
40,5,6,2912,尾崎鉄也,13,117,6.87,6,0.12,22,7R,晴,北,2,2,2021_11_4,2021_11_4_22_7R
41,6,2,3825,宮嵜隆太郎,42,156,6.92,2,0.12,22,7R,晴,北,2,2,2021_11_4,2021_11_4_22_7R
42,1,1,3349,吉田一郎,39,139,6.82,1,0.19,22,8R,晴,北,2,2,2021_11_4,2021_11_4_22_8R
43,2,3,3928,林恵祐,25,160,6.87,3,0.20,22,8R,晴,北,2,2,2021_11_4,2021_11_4_22_8R
44,3,4,4618,乃村康友,46,140,6.86,4,0.26,22,8R,晴,北,2,2,2021_11_4,2021_11_4_22_8R
45,4,2,4754,松尾充,14,166,6.84,2,0.19,22,8R,晴,北,2,2,2021_11_4,2021_11_4_22_8R
46,5,6,4555,富永大一,59,135,6.81,6,0.25,22,8R,晴,北,2,2,2021_11_4,2021_11_4_22_8R
47,6,5,4164,岩永節也,28,162,6.84,5,0.31,22,8R,晴,北,2,2,2021_11_4,2021_11_4_22_8R
48,1,3,4295,小坂尚哉,18,144,6.83,3,0.12,22,9R,晴,北,3,3,2021_11_4,2021_11_4_22_9R
49,2,1,3571,寺本武司,41,165,6.87,1,0.17,22,9R,晴,北,3,3,2021_11_4,2021_11_4_22_9R
50,3,5,3514,山一鉄也,63,159,6.83,5,0.18,22,9R,晴,北,3,3,2021_11_4,2021_11_4_22_9R
51,4,2,3122,高山哲也,64,172,6.85,2,0.22,22,9R,晴,北,3,3,2021_11_4,2021_11_4_22_9R
52,5,4,3878,胡本悟志,69,137,6.84,4,0.15,22,9R,晴,北,3,3,2021_11_4,2021_11_4_22_9R
53,6,6,4007,榮田将彦,51,132,6.85,6,0.16,22,9R,晴,北,3,3,2021_11_4,2021_11_4_22_9R
