,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,1,3478,嶋田貴支,52,32,6.69,1,0.11,23,1R,晴,無風,0,0,2022_1_25,2022_1_25_23_1R
1,2,4,4874,池田奈津美,44,41,6.74,4,0.17,23,1R,晴,無風,0,0,2022_1_25,2022_1_25_23_1R
2,3,5,3892,草場康幸,54,77,6.72,5,0.19,23,1R,晴,無風,0,0,2022_1_25,2022_1_25_23_1R
3,4,2,4004,山本浩輔,48,76,6.66,2,0.14,23,1R,晴,無風,0,0,2022_1_25,2022_1_25_23_1R
4,5,3,3175,渡辺千草,51,44,6.77,3,0.15,23,1R,晴,無風,0,0,2022_1_25,2022_1_25_23_1R
5,6,6,5227,川原愛未,58,49,6.69,6,0.43,23,1R,晴,無風,0,0,2022_1_25,2022_1_25_23_1R
6,1,2,3662,大庭元明,45,58,6.78,3,0.08,23,2R,晴,北,2,2,2022_1_25,2022_1_25_23_2R
7,2,4,3775,泉啓文,13,90,6.81,4,0.11,23,2R,晴,北,2,2,2022_1_25,2022_1_25_23_2R
8,3,3,3809,吉田光,62,78,6.90,1,0.12,23,2R,晴,北,2,2,2022_1_25,2022_1_25_23_2R
9,4,6,3352,小川晃司,25,67,6.77,6,0.07,23,2R,晴,北,2,2,2022_1_25,2022_1_25_23_2R
10,5,1,4410,井上大輔,18,82,6.65,2,0.19,23,2R,晴,北,2,2,2022_1_25,2022_1_25_23_2R
11,6,5,5148,松本怜,71,86,6.64,5,0.06,23,2R,晴,北,2,2,2022_1_25,2022_1_25_23_2R
12,1,1,4090,中村尊,43,83,6.77,1,0.07,23,3R,晴,北,4,4,2022_1_25,2022_1_25_23_3R
13,2,3,3573,前本泰和,11,48,6.79,2,0.14,23,3R,晴,北,4,4,2022_1_25,2022_1_25_23_3R
14,3,4,3993,永井聖美,14,71,6.81,3,0.12,23,3R,晴,北,4,4,2022_1_25,2022_1_25_23_3R
15,4,2,5102,原田雄次,68,47,6.75,6,0.07,23,3R,晴,北,4,4,2022_1_25,2022_1_25_23_3R
16,5,5,4062,後藤陽介,38,51,6.82,4,0.19,23,3R,晴,北,4,4,2022_1_25,2022_1_25_23_3R
17,6,6,5193,米丸乃絵,72,88,6.83,5,0.15,23,3R,晴,北,4,4,2022_1_25,2022_1_25_23_3R
18,1,5,4734,安河内将,16,45,6.72,6,0.37,23,4R,晴,北,4,4,2022_1_25,2022_1_25_23_4R
19,2,3,3784,中島友和,70,74,6.73,3,0.26,23,4R,晴,北,4,4,2022_1_25,2022_1_25_23_4R
20,3,6,4652,酒見峻介,19,31,6.86,5,0.26,23,4R,晴,北,4,4,2022_1_25,2022_1_25_23_4R
21,4,2,3773,津留浩一郎,65,64,6.72,2,0.17,23,4R,晴,北,4,4,2022_1_25,2022_1_25_23_4R
22,5,4,3964,宮地博士,75,81,6.76,4,0.32,23,4R,晴,北,4,4,2022_1_25,2022_1_25_23_4R
23,6,1,4065,金田幸子,64,50,6.78,1,0.21,23,4R,晴,北,4,4,2022_1_25,2022_1_25_23_4R
24,1,3,4051,清水敦揮,53,79,6.77,3,0.16,23,5R,晴,北,3,3,2022_1_25,2022_1_25_23_5R
25,2,1,4143,浦田晃嗣,74,52,6.64,1,0.09,23,5R,晴,北,3,3,2022_1_25,2022_1_25_23_5R
