,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,4,4046,谷村啓司,23,72,6.95,4,0.07,24,1R,晴,北西,1,1,2021_8_9,2021_8_9_24_1R
1,2,1,4315,山崎昂介,28,52,6.93,1,0.07,24,1R,晴,北西,1,1,2021_8_9,2021_8_9_24_1R
2,3,5,2903,山崎毅,37,66,7.08,5,0.11,24,1R,晴,北西,1,1,2021_8_9,2021_8_9_24_1R
3,4,2,4803,飯田庄吾,68,40,7.01,2,0.14,24,1R,晴,北西,1,1,2021_8_9,2021_8_9_24_1R
4,5,6,2958,井川正人,72,37,6.99,6,0.17,24,1R,晴,北西,1,1,2021_8_9,2021_8_9_24_1R
5,6,3,3501,川上昇平,14,35,7.02,3,0.09,24,1R,晴,北西,1,1,2021_8_9,2021_8_9_24_1R
6,1,4,4498,宮本夏樹,67,41,6.96,4,0.14,24,2R,晴,北西,1,1,2021_8_9,2021_8_9_24_2R
7,2,5,3773,津留浩一郎,17,57,7.05,5,0.14,24,2R,晴,北西,1,1,2021_8_9,2021_8_9_24_2R
8,3,3,3571,寺本武司,16,61,7.09,3,0.19,24,2R,晴,北西,1,1,2021_8_9,2021_8_9_24_2R
9,4,2,4355,小川広大,11,65,6.97,2,0.24,24,2R,晴,北西,1,1,2021_8_9,2021_8_9_24_2R
10,5,6,4204,柴田大輔,74,46,6.95,6,0.15,24,2R,晴,北西,1,1,2021_8_9,2021_8_9_24_2R
11,6,1,3151,落合敬一,31,51,7.04,1,0.31,24,2R,晴,北西,1,1,2021_8_9,2021_8_9_24_2R
12,1,4,3349,吉田一郎,61,43,7.02,4,0.13,24,3R,晴,北西,1,1,2021_8_9,2021_8_9_24_3R
13,2,6,2912,尾崎鉄也,26,58,7.00,6,0.13,24,3R,晴,北西,1,1,2021_8_9,2021_8_9_24_3R
14,3,1,4250,藤川利文,25,71,6.98,1,0.17,24,3R,晴,北西,1,1,2021_8_9,2021_8_9_24_3R
15,4,5,4164,岩永節也,18,34,6.98,5,0.17,24,3R,晴,北西,1,1,2021_8_9,2021_8_9_24_3R
16,5,2,4789,古賀智之,20,63,6.98,2,0.26,24,3R,晴,北西,1,1,2021_8_9,2021_8_9_24_3R
17,6,3,4693,松下誉士,73,48,6.94,3,0.19,24,3R,晴,北西,1,1,2021_8_9,2021_8_9_24_3R
18,1,1,3843,上之晃弘,35,26,6.91,1,0.15,24,4R,晴,北西,1,1,2021_8_9,2021_8_9_24_4R
19,2,6,4096,石橋道友,40,24,6.94,6,0.11,24,4R,晴,北西,1,1,2021_8_9,2021_8_9_24_4R
20,3,5,3906,飯山晃三,64,56,6.96,5,0.12,24,4R,晴,北西,1,1,2021_8_9,2021_8_9_24_4R
21,4,2,3777,樋口亮,66,11,6.95,2,0.14,24,4R,晴,北西,1,1,2021_8_9,2021_8_9_24_4R
22,5,3,4753,森照夫,29,62,6.85,3,0.15,24,4R,晴,北西,1,1,2021_8_9,2021_8_9_24_4R
23,6,4,4523,中村辰也,34,64,6.89,4,0.18,24,4R,晴,北西,1,1,2021_8_9,2021_8_9_24_4R
24,1,1,4551,三川昂暁,70,68,6.94,1,0.12,24,5R,晴,北西,1,1,2021_8_9,2021_8_9_24_5R
25,2,2,4553,坪口竜也,75,50,6.93,2,0.14,24,5R,晴,北西,1,1,2021_8_9,2021_8_9_24_5R
26,3,4,4004,山本浩輔,27,32,6.94,4,0.13,24,5R,晴,北西,1,1,2021_8_9,2021_8_9_24_5R
27,4,3,4919,吉田翔悟,21,74,6.95,3,0.07,24,5R,晴,北西,1,1,2021_8_9,2021_8_9_24_5R
28,5,6,4485,楠原正剛,24,31,6.91,6,0.16,24,5R,晴,北西,1,1,2021_8_9,2021_8_9_24_5R
29,6,5,4803,飯田庄吾,68,40,6.95,5,0.16,24,5R,晴,北西,1,1,2021_8_9,2021_8_9_24_5R
30,1,4,4504,前田将太,63,44,6.91,4,0.08,24,6R,晴,北西,1,1,2021_8_9,2021_8_9_24_6R
31,2,1,4632,長尾京志郎,33,75,6.95,1,0.14,24,6R,晴,北西,1,1,2021_8_9,2021_8_9_24_6R
32,3,5,4367,山口修路,13,36,7.00,5,0.23,24,6R,晴,北西,1,1,2021_8_9,2021_8_9_24_6R
33,4,2,4046,谷村啓司,23,72,6.89,2,0.18,24,6R,晴,北西,1,1,2021_8_9,2021_8_9_24_6R
