,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,1,4513,河野真也,13,88,6.69,1,0.11,23,1R,曇り,南西,2,2,2019_2_15,1-2-3,2040,1-2-3,710,1-2,650,1-2,570,2019_2_15_23_1R
1,2,2,3660,長谷川親王,38,79,6.72,2,0.17,23,1R,曇り,南西,2,2,2019_2_15,1-2-3,2040,1-2-3,710,1-2,650,1-2,570,2019_2_15_23_1R
2,3,3,4325,新出浩司,27,33,6.69,3,0.14,23,1R,曇り,南西,2,2,2019_2_15,1-2-3,2040,1-2-3,710,1-2,650,1-2,570,2019_2_15_23_1R
3,4,4,4630,岩永雅人,31,47,6.71,4,0.11,23,1R,曇り,南西,2,2,2019_2_15,1-2-3,2040,1-2-3,710,1-2,650,1-2,570,2019_2_15_23_1R
4,5,6,4860,伏見卓,19,35,6.64,6,0.07,23,1R,曇り,南西,2,2,2019_2_15,1-2-3,2040,1-2-3,710,1-2,650,1-2,570,2019_2_15_23_1R
5,1,5,4395,下河雅史,34,49,6.75,5,0.07,23,2R,曇り,南,3,3,2019_2_15,5-3-4,133240,3-4-5,8320,5-3,25170,3-5,4750,2019_2_15_23_2R
6,2,3,4100,松田隆司,68,42,6.67,4,0.09,23,2R,曇り,南,3,3,2019_2_15,5-3-4,133240,3-4-5,8320,5-3,25170,3-5,4750,2019_2_15_23_2R
7,3,4,4666,日笠勝弘,49,32,6.70,6,0.06,23,2R,曇り,南,3,3,2019_2_15,5-3-4,133240,3-4-5,8320,5-3,25170,3-5,4750,2019_2_15_23_2R
8,4,1,3730,塩崎優司,37,43,6.64,1,0.12,23,2R,曇り,南,3,3,2019_2_15,5-3-4,133240,3-4-5,8320,5-3,25170,3-5,4750,2019_2_15_23_2R
9,5,2,4002,古結宏,16,57,6.67,3,0.22,23,2R,曇り,南,3,3,2019_2_15,5-3-4,133240,3-4-5,8320,5-3,25170,3-5,4750,2019_2_15_23_2R
10,6,6,2958,井川正人,67,34,6.67,2,0.19,23,2R,曇り,南,3,3,2019_2_15,5-3-4,133240,3-4-5,8320,5-3,25170,3-5,4750,2019_2_15_23_2R
11,1,1,3746,岡瀬正人,22,87,6.69,1,0.22,23,3R,曇り,南,4,4,2019_2_15,1-3-2,810,1-2-3,380,1-3,200,1-3,170,2019_2_15_23_3R
12,2,3,3903,白石健,65,51,6.65,3,0.21,23,3R,曇り,南,4,4,2019_2_15,1-3-2,810,1-2-3,380,1-3,200,1-3,170,2019_2_15_23_3R
13,3,2,2538,高橋二朗,55,52,6.65,2,0.24,23,3R,曇り,南,4,4,2019_2_15,1-3-2,810,1-2-3,380,1-3,200,1-3,170,2019_2_15_23_3R
