,艇番,選手登番,選手名,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,RaceID,場所,R
0,1,3906,飯山晃三,43,長崎,60,B1,4.58,26.87,5.59,38.92,0.00,40.00,2021_7_15_24_1R,24,1R
1,2,4299,中島浩哉,38,長崎,56,B1,5.03,25.68,4.70,28.00,0.00,0.00,2021_7_15_24_1R,24,1R
2,3,3748,小黒竜吾,46,埼玉,57,B1,3.79,14.71,4.22,22.22,0.00,50.00,2021_7_15_24_1R,24,1R
3,4,3523,寳田亮治,52,福岡,53,B1,4.96,34.12,5.02,41.46,22.22,12.50,2021_7_15_24_1R,24,1R
4,5,4971,秦直也,29,岡山,54,B1,3.54,18.00,2.22,0.00,0.00,25.00,2021_7_15_24_1R,24,1R
5,6,4034,西原明生,42,香川,55,B1,4.54,24.69,3.72,20.93,55.56,0.00,2021_7_15_24_1R,24,1R
6,1,3746,岡瀬正人,46,岡山,52,A2,5.87,38.81,5.64,35.94,50.00,0.00,2021_7_15_24_2R,24,2R
7,2,3212,亀本勇樹,59,広島,58,B1,4.93,31.58,3.00,12.50,80.00,0.00,2021_7_15_24_2R,24,2R
8,3,3411,池上隆行,51,広島,54,B1,4.23,18.57,3.47,8.82,0.00,0.00,2021_7_15_24_2R,24,2R
9,4,4738,清埜翔子,29,埼玉,48,B1,5.13,31.48,4.38,23.81,45.45,25.00,2021_7_15_24_2R,24,2R
10,5,4076,杉田篤光,42,静岡,52,A2,5.94,38.38,6.77,46.15,50.00,40.00,2021_7_15_24_2R,24,2R
11,6,4731,間野兼礼,32,愛知,52,B1,4.80,21.62,6.00,30.00,0.00,0.00,2021_7_15_24_2R,24,2R
12,1,4233,亀山雅幸,37,群馬,51,A2,6.00,43.59,3.63,25.00,0.00,0.00,2021_7_15_24_3R,24,3R
13,2,3752,宇土泰就,50,福岡,51,B1,4.68,16.04,4.84,29.69,63.64,14.29,2021_7_15_24_3R,24,3R
14,3,4695,尾崎雄二,35,長崎,53,B1,4.75,29.69,4.91,30.00,0.00,12.50,2021_7_15_24_3R,24,3R
15,4,4308,河村了,37,愛知,52,A1,6.73,47.75,6.32,24.00,20.00,12.50,2021_7_15_24_3R,24,3R
16,5,5146,野田彩加,18,山口,50,B2,1.78,0.00,0.00,0.00,40.00,40.00,2021_7_15_24_3R,24,3R
17,6,3722,西村秀樹,50,福岡,52,B1,4.08,18.46,4.46,19.23,0.00,22.22,2021_7_15_24_3R,24,3R
18,1,3327,野長瀬正,53,静岡,54,A2,6.10,42.00,7.30,50.00,0.00,0.00,2021_7_15_24_4R,24,4R
19,2,3730,塩崎優司,49,愛知,52,B1,5.18,30.77,4.86,14.29,0.00,0.00,2021_7_15_24_4R,24,4R
20,3,3874,山本寛久,45,岡山,52,A1,6.50,46.73,6.67,45.83,40.00,55.56,2021_7_15_24_4R,24,4R
21,4,4302,西野翔太,38,広島,52,A1,6.12,44.36,5.88,39.53,0.00,33.33,2021_7_15_24_4R,24,4R
22,5,4938,小芦るり,23,佐賀,49,A2,5.64,37.93,4.89,31.58,12.50,22.22,2021_7_15_24_4R,24,4R
23,6,4783,木村詳子,33,山口,51,B2,2.22,0.00,0.00,0.00,33.33,12.50,2021_7_15_24_4R,24,4R
24,1,3996,秋山直之,42,群馬,52,A1,6.98,50.00,6.25,25.00,40.00,54.55,2021_7_15_24_5R,24,5R
