,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,4,5142,常住蓮,44,152,6.83,5,0.13,22,1R,曇り,南,1,2,2022_2_8,2022_2_8_22_1R
1,2,2,4193,郷原章平,55,150,6.77,4,0.11,22,1R,曇り,南,1,2,2022_2_8,2022_2_8_22_1R
2,3,1,3944,山口裕二,75,146,6.76,1,0.08,22,1R,曇り,南,1,2,2022_2_8,2022_2_8_22_1R
3,4,5,5029,中亮太,61,128,6.81,6,0.18,22,1R,曇り,南,1,2,2022_2_8,2022_2_8_22_1R
4,5,6,3265,今村暢孝,52,172,6.80,2,0.14,22,1R,曇り,南,1,2,2022_2_8,2022_2_8_22_1R
5,6,3,3473,石川真二,29,136,6.82,3,0.11,22,1R,曇り,南,1,2,2022_2_8,2022_2_8_22_1R
6,1,3,4364,池永太,14,173,6.81,3,0.09,22,2R,晴,東,1,2,2022_2_8,2022_2_8_22_2R
7,2,2,4504,前田将太,45,147,6.80,2,0.15,22,2R,晴,東,1,2,2022_2_8,2022_2_8_22_2R
8,3,5,4288,永田啓二,39,134,6.86,5,0.13,22,2R,晴,東,1,2,2022_2_8,2022_2_8_22_2R
9,4,1,4590,渡邉優美,49,138,6.85,1,0.11,22,2R,晴,東,1,2,2022_2_8,2022_2_8_22_2R
10,5,6,4802,中田達也,28,135,6.86,6,0.14,22,2R,晴,東,1,2,2022_2_8,2022_2_8_22_2R
11,6,4,5008,羽野諒,59,137,6.82,4,0.09,22,2R,晴,東,1,2,2022_2_8,2022_2_8_22_2R
12,1,3,4102,益田啓司,30,132,6.80,3,0.08,22,3R,曇り,北東,1,2,2022_2_8,2022_2_8_22_3R
13,2,5,4072,森永淳,74,139,6.73,5,0.15,22,3R,曇り,北東,1,2,2022_2_8,2022_2_8_22_3R
14,3,1,4848,仲谷颯仁,56,140,6.84,1,0.11,22,3R,曇り,北東,1,2,2022_2_8,2022_2_8_22_3R
15,4,2,4174,赤坂俊輔,36,103,6.80,2,0.11,22,3R,曇り,北東,1,2,2022_2_8,2022_2_8_22_3R
16,5,6,4831,羽野直也,15,157,6.81,6,0.16,22,3R,曇り,北東,1,2,2022_2_8,2022_2_8_22_3R
17,6,4,4336,松田竜馬,23,158,6.83,4,0.16,22,3R,曇り,北東,1,2,2022_2_8,2022_2_8_22_3R
18,1,5,4371,西山貴浩,50,159,6.85,5,0.07,22,4R,曇り,北,1,2,2022_2_8,2022_2_8_22_4R
19,2,2,4566,塩田北斗,42,121,6.81,2,0.02,22,4R,曇り,北,1,2,2022_2_8,2022_2_8_22_4R
20,3,4,4296,岡崎恭裕,34,149,6.76,4,0.05,22,4R,曇り,北,1,2,2022_2_8,2022_2_8_22_4R
21,4,3,4545,岡村慶太,40,109,6.79,3,0.02,22,4R,曇り,北,1,2,2022_2_8,2022_2_8_22_4R
22,5,1,4402,乙藤智史,62,164,6.74,1,0.01,22,4R,曇り,北,1,2,2022_2_8,2022_2_8_22_4R
23,6,6,4549,小林文彦,35,169,6.82,6,0.18,22,4R,曇り,北,1,2,2022_2_8,2022_2_8_22_4R
24,1,1,4155,長野壮志郎,27,171,6.76,1,0.09,22,5R,曇り,北,1,2,2022_2_8,2022_2_8_22_5R
25,2,2,4932,新開航,16,113,6.82,2,0.11,22,5R,曇り,北,1,2,2022_2_8,2022_2_8_22_5R
26,3,5,4148,枝尾賢,51,101,6.79,5,0.07,22,5R,曇り,北,1,2,2022_2_8,2022_2_8_22_5R
