,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,1,4445,宮地元輝,29,77,6.60,1,0.06,23,1R,晴,無風,0,0,2021_9_24,2021_9_24_23_1R
1,2,3,3478,嶋田貴支,58,78,6.63,3,0.08,23,1R,晴,無風,0,0,2021_9_24,2021_9_24_23_1R
2,3,2,3928,林恵祐,65,31,6.65,2,0.15,23,1R,晴,無風,0,0,2021_9_24,2021_9_24_23_1R
3,4,4,4457,神田達也,51,50,6.75,5,0.25,23,1R,晴,無風,0,0,2021_9_24,2021_9_24_23_1R
4,5,5,3773,津留浩一郎,63,72,6.60,4,0.07,23,1R,晴,無風,0,0,2021_9_24,2021_9_24_23_1R
5,6,6,4952,吉武真也,37,54,6.60,6,0.22,23,1R,晴,無風,0,0,2021_9_24,2021_9_24_23_1R
6,1,2,4096,石橋道友,56,80,6.64,2,0.15,23,2R,晴,北東,4,4,2021_9_24,2021_9_24_23_2R
7,2,1,3443,森秋光,64,49,6.66,1,0.19,23,2R,晴,北東,4,4,2021_9_24,2021_9_24_23_2R
8,3,3,4977,馬野耀,61,65,6.71,3,0.19,23,2R,晴,北東,4,4,2021_9_24,2021_9_24_23_2R
9,4,5,4904,松本一毅,32,76,6.69,5,0.18,23,2R,晴,北東,4,4,2021_9_24,2021_9_24_23_2R
10,5,4,4112,大久保信一郎,59,55,6.63,4,0.21,23,2R,晴,北東,4,4,2021_9_24,2021_9_24_23_2R
11,6,6,4747,山戸信二,45,38,6.62,6,0.24,23,2R,晴,北東,4,4,2021_9_24,2021_9_24_23_2R
12,1,1,4006,小野勇作,44,37,6.68,1,0.14,23,3R,晴,北東,5,5,2021_9_24,2021_9_24_23_3R
13,2,4,3436,柏野幸二,28,88,6.75,4,0.11,23,3R,晴,北東,5,5,2021_9_24,2021_9_24_23_3R
14,3,3,4686,丸野一樹,35,36,6.75,3,0.10,23,3R,晴,北東,5,5,2021_9_24,2021_9_24_23_3R
15,4,5,3224,栗山繁洋,42,32,6.65,5,0.15,23,3R,晴,北東,5,5,2021_9_24,2021_9_24_23_3R
16,5,2,4837,酒井陽祐,30,44,6.77,2,0.13,23,3R,晴,北東,5,5,2021_9_24,2021_9_24_23_3R
17,1,1,4072,森永淳,47,48,6.66,1,0.18,23,4R,晴,北東,5,5,2021_9_24,2021_9_24_23_4R
18,2,5,4231,鈴木裕隆,55,62,6.76,5,0.09,23,4R,晴,北東,5,5,2021_9_24,2021_9_24_23_4R
