,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1R,晴,南,3,3,唐津,2020_12_27,1-4-6,4020,,2430,1-4,670,1-4,690,,,,,,,,,,
1,1R,晴,南,3,3,唐津,2020_12_27,1-4-6,4020,,2430,1-4,670,1-4,690,,,,,,,,,,
2,1R,晴,南,3,3,唐津,2020_12_27,1-4-6,4020,,2430,1-4,670,1-4,690,,,,,,,,,,
3,1R,晴,南,3,3,唐津,2020_12_27,1-4-6,4020,,2430,1-4,670,1-4,690,,,,,,,,,,
4,1R,晴,南,3,3,唐津,2020_12_27,1-4-6,4020,,2430,1-4,670,1-4,690,,,,,,,,,,
5,2R,曇り,南,3,3,唐津,2020_12_27,1-3-2,1190,,300,1-3,440,1-3,410,,,,,,,,,,
6,2R,曇り,南,3,3,唐津,2020_12_27,1-3-2,1190,,300,1-3,440,1-3,410,,,,,,,,,,
7,2R,曇り,南,3,3,唐津,2020_12_27,1-3-2,1190,,300,1-3,440,1-3,410,,,,,,,,,,
8,2R,曇り,南,3,3,唐津,2020_12_27,1-3-2,1190,,300,1-3,440,1-3,410,,,,,,,,,,
9,2R,曇り,南,3,3,唐津,2020_12_27,1-3-2,1190,,300,1-3,440,1-3,410,,,,,,,,,,
10,2R,曇り,南,3,3,唐津,2020_12_27,1-3-2,1190,,300,1-3,440,1-3,410,,,,,,,,,,
11,3R,曇り,南,3,3,唐津,2020_12_27,3-1-4,930,,310,3-1,390,1-3,160,,,,,,,,,,
12,3R,曇り,南,3,3,唐津,2020_12_27,3-1-4,930,,310,3-1,390,1-3,160,,,,,,,,,,
13,3R,曇り,南,3,3,唐津,2020_12_27,3-1-4,930,,310,3-1,390,1-3,160,,,,,,,,,,
14,3R,曇り,南,3,3,唐津,2020_12_27,3-1-4,930,,310,3-1,390,1-3,160,,,,,,,,,,
15,3R,曇り,南,3,3,唐津,2020_12_27,3-1-4,930,,310,3-1,390,1-3,160,,,,,,,,,,
16,3R,曇り,南,3,3,唐津,2020_12_27,3-1-4,930,,310,3-1,390,1-3,160,,,,,,,,,,
17,4R,晴,南,3,3,唐津,2020_12_27,1-6-2,20980,,3650,1-6,6320,1-6,3670,,,,,,,,,,
18,4R,晴,南,3,3,唐津,2020_12_27,1-6-2,20980,,3650,1-6,6320,1-6,3670,,,,,,,,,,
19,4R,晴,南,3,3,唐津,2020_12_27,1-6-2,20980,,3650,1-6,6320,1-6,3670,,,,,,,,,,
20,4R,晴,南,3,3,唐津,2020_12_27,1-6-2,20980,,3650,1-6,6320,1-6,3670,,,,,,,,,,
21,5R,曇り,南西,4,4,唐津,2020_12_27,4-5-2,2180,,570,4-5,500,4-5,210,,,,,,,,,,
22,5R,曇り,南西,4,4,唐津,2020_12_27,4-5-2,2180,,570,4-5,500,4-5,210,,,,,,,,,,
23,5R,曇り,南西,4,4,唐津,2020_12_27,4-5-2,2180,,570,4-5,500,4-5,210,,,,,,,,,,
24,5R,曇り,南西,4,4,唐津,2020_12_27,4-5-2,2180,,570,4-5,500,4-5,210,,,,,,,,,,
25,5R,曇り,南西,4,4,唐津,2020_12_27,4-5-2,2180,,570,4-5,500,4-5,210,,,,,,,,,,
26,5R,曇り,南西,4,4,唐津,2020_12_27,4-5-2,2180,,570,4-5,500,4-5,210,,,,,,,,,,
27,6R,曇り,南西,3,3,唐津,2020_12_27,2-3-6,1090,,870,2-3,350,2-3,230,,,,,,,,,,
28,6R,曇り,南西,3,3,唐津,2020_12_27,2-3-6,1090,,870,2-3,350,2-3,230,,,,,,,,,,
29,6R,曇り,南西,3,3,唐津,2020_12_27,2-3-6,1090,,870,2-3,350,2-3,230,,,,,,,,,,
30,6R,曇り,南西,3,3,唐津,2020_12_27,2-3-6,1090,,870,2-3,350,2-3,230,,,,,,,,,,
31,6R,曇り,南西,3,3,唐津,2020_12_27,2-3-6,1090,,870,2-3,350,2-3,230,,,,,,,,,,
32,6R,曇り,南西,3,3,唐津,2020_12_27,2-3-6,1090,,870,2-3,350,2-3,230,,,,,,,,,,
33,7R,曇り,南,2,2,唐津,2020_12_27,2-1-3,550,,150,2-1,380,1-2,280,,,,,,,,,,
34,7R,曇り,南,2,2,唐津,2020_12_27,2-1-3,550,,150,2-1,380,1-2,280,,,,,,,,,,
35,7R,曇り,南,2,2,唐津,2020_12_27,2-1-3,550,,150,2-1,380,1-2,280,,,,,,,,,,
36,7R,曇り,南,2,2,唐津,2020_12_27,2-1-3,550,,150,2-1,380,1-2,280,,,,,,,,,,
37,7R,曇り,南,2,2,唐津,2020_12_27,2-1-3,550,,150,2-1,380,1-2,280,,,,,,,,,,
38,7R,曇り,南,2,2,唐津,2020_12_27,2-1-3,550,,150,2-1,380,1-2,280,,,,,,,,,,
39,8R,曇り,南,4,4,唐津,2020_12_27,1-3-4,6440,,1560,1-3,2400,1-3,1360,,,,,,,,,,
40,8R,曇り,南,4,4,唐津,2020_12_27,1-3-4,6440,,1560,1-3,2400,1-3,1360,,,,,,,,,,
41,8R,曇り,南,4,4,唐津,2020_12_27,1-3-4,6440,,1560,1-3,2400,1-3,1360,,,,,,,,,,
42,8R,曇り,南,4,4,唐津,2020_12_27,1-3-4,6440,,1560,1-3,2400,1-3,1360,,,,,,,,,,
43,8R,曇り,南,4,4,唐津,2020_12_27,1-3-4,6440,,1560,1-3,2400,1-3,1360,,,,,,,,,,
44,8R,曇り,南,4,4,唐津,2020_12_27,1-3-4,6440,,1560,1-3,2400,1-3,1360,,,,,,,,,,
45,9R,曇り,南西,3,3,唐津,2020_12_27,2-3-4,1480,,260,2-3,580,2-3,160,,,,,,,,,,
46,9R,曇り,南西,3,3,唐津,2020_12_27,2-3-4,1480,,260,2-3,580,2-3,160,,,,,,,,,,
47,9R,曇り,南西,3,3,唐津,2020_12_27,2-3-4,1480,,260,2-3,580,2-3,160,,,,,,,,,,
48,9R,曇り,南西,3,3,唐津,2020_12_27,2-3-4,1480,,260,2-3,580,2-3,160,,,,,,,,,,
49,9R,曇り,南西,3,3,唐津,2020_12_27,2-3-4,1480,,260,2-3,580,2-3,160,,,,,,,,,,
50,9R,曇り,南西,3,3,唐津,2020_12_27,2-3-4,1480,,260,2-3,580,2-3,160,,,,,,,,,,
51,10R,曇り,南西,1,1,唐津,2020_12_27,4-1-5,3060,,340,4-1,1110,1-4,220,,,,,,,,,,
52,10R,曇り,南西,1,1,唐津,2020_12_27,4-1-5,3060,,340,4-1,1110,1-4,220,,,,,,,,,,
53,10R,曇り,南西,1,1,唐津,2020_12_27,4-1-5,3060,,340,4-1,1110,1-4,220,,,,,,,,,,
54,10R,曇り,南西,1,1,唐津,2020_12_27,4-1-5,3060,,340,4-1,1110,1-4,220,,,,,,,,,,
55,10R,曇り,南西,1,1,唐津,2020_12_27,4-1-5,3060,,340,4-1,1110,1-4,220,,,,,,,,,,
56,10R,曇り,南西,1,1,唐津,2020_12_27,4-1-5,3060,,340,4-1,1110,1-4,220,,,,,,,,,,
57,11R,曇り,西,1,1,唐津,2020_12_27,2-1-5,390,,180,2-1,210,1-2,150,,,,,,,,,,
58,11R,曇り,西,1,1,唐津,2020_12_27,2-1-5,390,,180,2-1,210,1-2,150,,,,,,,,,,
59,11R,曇り,西,1,1,唐津,2020_12_27,2-1-5,390,,180,2-1,210,1-2,150,,,,,,,,,,
60,11R,曇り,西,1,1,唐津,2020_12_27,2-1-5,390,,180,2-1,210,1-2,150,,,,,,,,,,
61,11R,曇り,西,1,1,唐津,2020_12_27,2-1-5,390,,180,2-1,210,1-2,150,,,,,,,,,,
62,12R,曇り,南西,2,2,唐津,2020_12_27,1-3-4,850,,550,1-3,180,1-3,180,,,,,,,,,,
63,12R,曇り,南西,2,2,唐津,2020_12_27,1-3-4,850,,550,1-3,180,1-3,180,,,,,,,,,,
64,12R,曇り,南西,2,2,唐津,2020_12_27,1-3-4,850,,550,1-3,180,1-3,180,,,,,,,,,,
65,12R,曇り,南西,2,2,唐津,2020_12_27,1-3-4,850,,550,1-3,180,1-3,180,,,,,,,,,,
66,12R,曇り,南西,2,2,唐津,2020_12_27,1-3-4,850,,550,1-3,180,1-3,180,,,,,,,,,,
67,12R,曇り,南西,2,2,唐津,2020_12_27,1-3-4,850,,550,1-3,180,1-3,180,,,,,,,,,,
68,1R,曇り,南,1,2,福岡,2020_12_27,1-4-2,540,,240,1-4,280,1-4,260,,,,,,,,,,
69,1R,曇り,南,1,2,福岡,2020_12_27,1-4-2,540,,240,1-4,280,1-4,260,,,,,,,,,,
70,1R,曇り,南,1,2,福岡,2020_12_27,1-4-2,540,,240,1-4,280,1-4,260,,,,,,,,,,
71,1R,曇り,南,1,2,福岡,2020_12_27,1-4-2,540,,240,1-4,280,1-4,260,,,,,,,,,,
72,1R,曇り,南,1,2,福岡,2020_12_27,1-4-2,540,,240,1-4,280,1-4,260,,,,,,,,,,
73,1R,曇り,南,1,2,福岡,2020_12_27,1-4-2,540,,240,1-4,280,1-4,260,,,,,,,,,,
74,2R,曇り,南,1,2,福岡,2020_12_27,4-6-5,15000,,4580,4-6,1770,4-6,1390,,,,,,,,,,
75,2R,曇り,南,1,2,福岡,2020_12_27,4-6-5,15000,,4580,4-6,1770,4-6,1390,,,,,,,,,,
76,2R,曇り,南,1,2,福岡,2020_12_27,4-6-5,15000,,4580,4-6,1770,4-6,1390,,,,,,,,,,
77,2R,曇り,南,1,2,福岡,2020_12_27,4-6-5,15000,,4580,4-6,1770,4-6,1390,,,,,,,,,,
