,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,3,3353,前田光昭,48,75,6.62,3,0.16,23,1R,曇り,南西,2,2,2019_10_17,3-1-2,2500,1-2-3,150,3-1,1860,1-3,350,2019_10_17_23_1R
1,2,1,3505,山田竜一,41,70,6.71,1,0.22,23,1R,曇り,南西,2,2,2019_10_17,3-1-2,2500,1-2-3,150,3-1,1860,1-3,350,2019_10_17_23_1R
2,3,2,3211,北川敏弘,67,44,6.60,2,0.17,23,1R,曇り,南西,2,2,2019_10_17,3-1-2,2500,1-2-3,150,3-1,1860,1-3,350,2019_10_17_23_1R
3,4,5,3626,中林秀人,19,64,6.74,4,0.16,23,1R,曇り,南西,2,2,2019_10_17,3-1-2,2500,1-2-3,150,3-1,1860,1-3,350,2019_10_17_23_1R
4,5,4,4755,山田貴愛,46,63,6.70,5,0.18,23,1R,曇り,南西,2,2,2019_10_17,3-1-2,2500,1-2-3,150,3-1,1860,1-3,350,2019_10_17_23_1R
5,6,6,3498,白石浩二,63,86,6.80,6,0.17,23,1R,曇り,南西,2,2,2019_10_17,3-1-2,2500,1-2-3,150,3-1,1860,1-3,350,2019_10_17_23_1R
6,1,1,4521,小池公生,61,54,6.66,1,0.18,23,2R,曇り,南西,2,2,2019_10_17,1-2-4,680,1-2-4,370,1-2,210,1-2,160,2019_10_17_23_2R
7,2,2,4828,松山将吾,62,33,6.64,2,0.21,23,2R,曇り,南西,2,2,2019_10_17,1-2-4,680,1-2-4,370,1-2,210,1-2,160,2019_10_17_23_2R
8,3,4,4651,佐藤大騎,51,41,6.69,4,0.21,23,2R,曇り,南西,2,2,2019_10_17,1-2-4,680,1-2-4,370,1-2,210,1-2,160,2019_10_17_23_2R
9,4,5,4467,渡邉俊介,60,58,6.74,5,0.31,23,2R,曇り,南西,2,2,2019_10_17,1-2-4,680,1-2-4,370,1-2,210,1-2,160,2019_10_17_23_2R
10,5,3,3153,前川竜次,12,84,6.66,3,0.22,23,2R,曇り,南西,2,2,2019_10_17,1-2-4,680,1-2-4,370,1-2,210,1-2,160,2019_10_17_23_2R
11,6,6,4996,中尾智博,20,82,6.63,6,0.30,23,2R,曇り,南西,2,2,2019_10_17,1-2-4,680,1-2-4,370,1-2,210,1-2,160,2019_10_17_23_2R
12,1,6,4887,富澤祐作,65,69,6.65,6,0.09,23,3R,曇り,南西,2,2,2019_10_17,6-1-4,72430,1-4-6,2140,6-1,20910,1-6,4770,2019_10_17_23_3R
13,2,1,4709,岡村将也,44,65,6.67,1,0.11,23,3R,曇り,南西,2,2,2019_10_17,6-1-4,72430,1-4-6,2140,6-1,20910,1-6,4770,2019_10_17_23_3R
14,3,4,4425,大井清貴,47,67,6.70,3,0.26,23,3R,曇り,南西,2,2,2019_10_17,6-1-4,72430,1-4-6,2140,6-1,20910,1-6,4770,2019_10_17_23_3R
15,4,3,3522,長溝一生,68,57,6.72,4,0.14,23,3R,曇り,南西,2,2,2019_10_17,6-1-4,72430,1-4-6,2140,6-1,20910,1-6,4770,2019_10_17_23_3R
16,5,5,3636,坂野泰章,49,48,6.67,5,0.10,23,3R,曇り,南西,2,2,2019_10_17,6-1-4,72430,1-4-6,2140,6-1,20910,1-6,4770,2019_10_17_23_3R
17,6,2,3850,小川知行,13,31,6.59,2,0.18,23,3R,曇り,南西,2,2,2019_10_17,6-1-4,72430,1-4-6,2140,6-1,20910,1-6,4770,2019_10_17_23_3R
18,1,3,4879,山崎鉄平,15,89,6.65,3,0.04,23,4R,曇り,西,2,2,2019_10_17,3-4-2,29490,2-3-4,4390,3-4,2590,3-4,950,2019_10_17_23_4R
19,2,4,4352,下條雄太郎,70,68,6.65,4,0.06,23,4R,曇り,西,2,2,2019_10_17,3-4-2,29490,2-3-4,4390,3-4,2590,3-4,950,2019_10_17_23_4R
20,3,2,3443,森秋光,53,88,6.65,2,0.18,23,4R,曇り,西,2,2,2019_10_17,3-4-2,29490,2-3-4,4390,3-4,2590,3-4,950,2019_10_17_23_4R
21,4,1,3873,別府昌樹,59,60,6.68,1,0.16,23,4R,曇り,西,2,2,2019_10_17,3-4-2,29490,2-3-4,4390,3-4,2590,3-4,950,2019_10_17_23_4R
22,5,6,4732,堀本和也,43,36,6.71,6,0.08,23,4R,曇り,西,2,2,2019_10_17,3-4-2,29490,2-3-4,4390,3-4,2590,3-4,950,2019_10_17_23_4R
