,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,1,3784,中島友和,17,107,6.79,1,0.07,22,1R,晴,北東,2,2,2021_10_2,1-2-3,1720,1-2-3,400,1-2,690,1-2,800,2021_10_2_22_1R
1,2,2,4529,嶋義信,19,128,6.84,2,0.11,22,1R,晴,北東,2,2,2021_10_2,1-2-3,1720,1-2-3,400,1-2,690,1-2,800,2021_10_2_22_1R
2,3,3,4601,森野正弘,40,161,6.80,4,0.12,22,1R,晴,北東,2,2,2021_10_2,1-2-3,1720,1-2-3,400,1-2,690,1-2,800,2021_10_2_22_1R
3,4,5,4105,松下直也,56,166,6.84,6,0.18,22,1R,晴,北東,2,2,2021_10_2,1-2-3,1720,1-2-3,400,1-2,690,1-2,800,2021_10_2_22_1R
4,5,6,3153,前川竜次,59,124,6.82,3,0.12,22,1R,晴,北東,2,2,2021_10_2,1-2-3,1720,1-2-3,400,1-2,690,1-2,800,2021_10_2_22_1R
5,6,4,4985,井本昌也,36,117,6.87,5,0.08,22,1R,晴,北東,2,2,2021_10_2,1-2-3,1720,1-2-3,400,1-2,690,1-2,800,2021_10_2_22_1R
6,1,1,4531,武富智亮,25,160,6.86,1,0.14,22,2R,晴,北,3,3,2021_10_2,1-4-6,1320,1-4-6,460,1-4,530,1-4,370,2021_10_2_22_2R
7,2,4,4028,田村隆信,48,155,6.80,5,0.30,22,2R,晴,北,3,3,2021_10_2,1-4-6,1320,1-4-6,460,1-4,530,1-4,370,2021_10_2_22_2R
8,3,6,3574,大神康司,73,163,6.85,3,0.17,22,2R,晴,北,3,3,2021_10_2,1-4-6,1320,1-4-6,460,1-4,530,1-4,370,2021_10_2_22_2R
9,4,5,4648,木村亮太,41,173,6.86,6,0.18,22,2R,晴,北,3,3,2021_10_2,1-4-6,1320,1-4-6,460,1-4,530,1-4,370,2021_10_2_22_2R
10,5,3,4069,山本修一,12,116,6.83,4,0.34,22,2R,晴,北,3,3,2021_10_2,1-4-6,1320,1-4-6,460,1-4,530,1-4,370,2021_10_2_22_2R
11,6,2,4226,村田浩司,67,132,6.81,2,0.18,22,2R,晴,北,3,3,2021_10_2,1-4-6,1320,1-4-6,460,1-4,530,1-4,370,2021_10_2_22_2R
12,1,2,4762,藤原啓史朗,55,154,6.82,2,0.14,22,3R,晴,北,3,3,2021_10_2,2-5-4,6140,2-4-5,1010,2-5,2390,2-5,1430,2021_10_2_22_3R
13,2,5,3427,大賀広幸,24,106,6.83,5,0.12,22,3R,晴,北,3,3,2021_10_2,2-5-4,6140,2-4-5,1010,2-5,2390,2-5,1430,2021_10_2_22_3R
