,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1R,曇り,北西,2,1,大村,2020_12_21,1-3-2,1150,,350,1-3,420,1-3,330,,,,,,,,,,
1,1R,曇り,北西,2,1,大村,2020_12_21,1-3-2,1150,,350,1-3,420,1-3,330,,,,,,,,,,
2,1R,曇り,北西,2,1,大村,2020_12_21,1-3-2,1150,,350,1-3,420,1-3,330,,,,,,,,,,
3,1R,曇り,北西,2,1,大村,2020_12_21,1-3-2,1150,,350,1-3,420,1-3,330,,,,,,,,,,
4,1R,曇り,北西,2,1,大村,2020_12_21,1-3-2,1150,,350,1-3,420,1-3,330,,,,,,,,,,
5,1R,曇り,北西,2,1,大村,2020_12_21,1-3-2,1150,,350,1-3,420,1-3,330,,,,,,,,,,
6,2R,曇り,西,2,1,大村,2020_12_21,4-2-5,550,,100,4-2,410,2-4,110,,,,,,,,,,
7,2R,曇り,西,2,1,大村,2020_12_21,4-2-5,550,,100,4-2,410,2-4,110,,,,,,,,,,
8,2R,曇り,西,2,1,大村,2020_12_21,4-2-5,550,,100,4-2,410,2-4,110,,,,,,,,,,
9,2R,曇り,西,2,1,大村,2020_12_21,4-2-5,550,,100,4-2,410,2-4,110,,,,,,,,,,
10,3R,曇り,北,2,1,大村,2020_12_21,2-1-3,2020,,320,2-1,970,1-2,280,,,,,,,,,,
11,3R,曇り,北,2,1,大村,2020_12_21,2-1-3,2020,,320,2-1,970,1-2,280,,,,,,,,,,
12,3R,曇り,北,2,1,大村,2020_12_21,2-1-3,2020,,320,2-1,970,1-2,280,,,,,,,,,,
13,3R,曇り,北,2,1,大村,2020_12_21,2-1-3,2020,,320,2-1,970,1-2,280,,,,,,,,,,
14,3R,曇り,北,2,1,大村,2020_12_21,2-1-3,2020,,320,2-1,970,1-2,280,,,,,,,,,,
15,3R,曇り,北,2,1,大村,2020_12_21,2-1-3,2020,,320,2-1,970,1-2,280,,,,,,,,,,
16,4R,曇り,北,1,1,大村,2020_12_21,1-2-5,700,,250,1-2,280,1-2,120,,,,,,,,,,
17,4R,曇り,北,1,1,大村,2020_12_21,1-2-5,700,,250,1-2,280,1-2,120,,,,,,,,,,
