,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,3連単_結果,3連単_払戻,3連複_結果,3連複_払戻,2連単_結果,2連単_払戻,2連複_結果,2連複_払戻,RaceID
0,1,1,4292,麻生慎介,57,69,6.70,1,0.14,23,1R,曇り,南西,2,2,2022_1_21,1-3-4,890,1-3-4,400,1-3,340,1-3,260,2022_1_21_23_1R
1,2,3,5102,原田雄次,68,47,6.65,3,0.15,23,1R,曇り,南西,2,2,2022_1_21,1-3-4,890,1-3-4,400,1-3,340,1-3,260,2022_1_21_23_1R
2,3,4,4004,山本浩輔,48,76,6.62,4,0.15,23,1R,曇り,南西,2,2,2022_1_21,1-3-4,890,1-3-4,400,1-3,340,1-3,260,2022_1_21_23_1R
3,4,2,3175,渡辺千草,51,44,6.63,2,0.11,23,1R,曇り,南西,2,2,2022_1_21,1-3-4,890,1-3-4,400,1-3,340,1-3,260,2022_1_21_23_1R
4,5,5,3775,泉啓文,13,90,6.61,5,0.11,23,1R,曇り,南西,2,2,2022_1_21,1-3-4,890,1-3-4,400,1-3,340,1-3,260,2022_1_21_23_1R
5,1,1,3439,大平誉史明,40,62,6.67,1,0.13,23,2R,曇り,南西,3,3,2022_1_21,1-5-2,1740,1-2-5,350,1-5,1160,1-5,790,2022_1_21_23_2R
6,2,5,3352,小川晃司,25,67,6.75,5,0.18,23,2R,曇り,南西,3,3,2022_1_21,1-5-2,1740,1-2-5,350,1-5,1160,1-5,790,2022_1_21_23_2R
7,3,2,3435,寺田千恵,39,55,6.61,2,0.09,23,2R,曇り,南西,3,3,2022_1_21,1-5-2,1740,1-2-5,350,1-5,1160,1-5,790,2022_1_21_23_2R
8,4,4,4062,後藤陽介,38,51,6.71,4,0.21,23,2R,曇り,南西,3,3,2022_1_21,1-5-2,1740,1-2-5,350,1-5,1160,1-5,790,2022_1_21_23_2R
9,5,3,3964,宮地博士,75,81,6.73,3,0.13,23,2R,曇り,南西,3,3,2022_1_21,1-5-2,1740,1-2-5,350,1-5,1160,1-5,790,2022_1_21_23_2R
10,6,6,5227,川原愛未,58,49,6.69,6,0.17,23,2R,曇り,南西,3,3,2022_1_21,1-5-2,1740,1-2-5,350,1-5,1160,1-5,790,2022_1_21_23_2R
11,1,1,3443,森秋光,42,60,6.57,1,0.12,23,3R,晴,南西,1,1,2022_1_21,1-2-3,700,1-2-3,200,1-2,460,1-2,330,2022_1_21_23_3R
12,2,2,3892,草場康幸,54,77,6.63,2,0.14,23,3R,晴,南西,1,1,2022_1_21,1-2-3,700,1-2-3,200,1-2,460,1-2,330,2022_1_21_23_3R
13,3,3,4051,清水敦揮,53,38,6.64,3,0.14,23,3R,晴,南西,1,1,2022_1_21,1-2-3,700,1-2-3,200,1-2,460,1-2,330,2022_1_21_23_3R
14,4,4,4874,池田奈津美,44,41,6.67,4,0.21,23,3R,晴,南西,1,1,2022_1_21,1-2-3,700,1-2-3,200,1-2,460,1-2,330,2022_1_21_23_3R
15,5,5,4981,牧山敦也,17,54,6.71,5,0.16,23,3R,晴,南西,1,1,2022_1_21,1-2-3,700,1-2-3,200,1-2,460,1-2,330,2022_1_21_23_3R
16,6,6,4695,尾崎雄二,63,89,6.63,6,0.17,23,3R,晴,南西,1,1,2022_1_21,1-2-3,700,1-2-3,200,1-2,460,1-2,330,2022_1_21_23_3R
17,1,1,3662,大庭元明,45,58,6.61,1,0.11,23,4R,晴,東,2,2,2022_1_21,1-4-2,1300,1-2-4,540,1-4,320,1-4,200,2022_1_21_23_4R
18,2,4,4276,鈴木勝博,29,63,6.70,4,0.18,23,4R,晴,東,2,2,2022_1_21,1-4-2,1300,1-2-4,540,1-4,320,1-4,200,2022_1_21_23_4R
19,3,2,3741,松尾基成,61,56,6.68,2,0.14,23,4R,晴,東,2,2,2022_1_21,1-4-2,1300,1-2-4,540,1-4,320,1-4,200,2022_1_21_23_4R
20,4,3,3858,織田猛,21,84,6.68,3,0.24,23,4R,晴,東,2,2,2022_1_21,1-4-2,1300,1-2-4,540,1-4,320,1-4,200,2022_1_21_23_4R
21,5,5,4090,中村尊,43,83,6.66,5,0.15,23,4R,晴,東,2,2,2022_1_21,1-4-2,1300,1-2-4,540,1-4,320,1-4,200,2022_1_21_23_4R
22,6,6,3773,津留浩一郎,65,64,6.68,6,0.11,23,4R,晴,東,2,2,2022_1_21,1-4-2,1300,1-2-4,540,1-4,320,1-4,200,2022_1_21_23_4R
23,1,1,4143,浦田晃嗣,74,52,6.66,1,0.08,23,5R,晴,東,3,3,2022_1_21,1-4-3,1140,1-3-4,380,1-4,410,1-4,460,2022_1_21_23_5R
24,2,4,3915,繁野谷圭介,55,75,6.72,4,0.18,23,5R,晴,東,3,3,2022_1_21,1-4-3,1140,1-3-4,380,1-4,410,1-4,460,2022_1_21_23_5R
25,3,3,4640,山ノ内雅人,69,59,6.72,3,0.13,23,5R,晴,東,3,3,2022_1_21,1-4-3,1140,1-3-4,380,1-4,410,1-4,460,2022_1_21_23_5R
26,4,6,4506,稗田聖也,22,33,6.69,5,0.17,23,5R,晴,東,3,3,2022_1_21,1-4-3,1140,1-3-4,380,1-4,410,1-4,460,2022_1_21_23_5R
27,5,5,5148,松本怜,71,86,6.61,6,0.46,23,5R,晴,東,3,3,2022_1_21,1-4-3,1140,1-3-4,380,1-4,410,1-4,460,2022_1_21_23_5R
28,6,2,3775,泉啓文,13,90,6.73,2,0.16,23,5R,晴,東,3,3,2022_1_21,1-4-3,1140,1-3-4,380,1-4,410,1-4,460,2022_1_21_23_5R
29,1,2,4410,井上大輔,18,82,6.71,3,0.12,23,6R,晴,北東,5,5,2022_1_21,2-3-1,4620,1-2-3,300,2-3,2310,2-3,1230,2022_1_21_23_6R
30,2,3,4230,濱崎直矢,12,65,6.70,2,0.09,23,6R,晴,北東,5,5,2022_1_21,2-3-1,4620,1-2-3,300,2-3,2310,2-3,1230,2022_1_21_23_6R
31,3,1,3784,中島友和,70,74,6.68,1,0.11,23,6R,晴,北東,5,5,2022_1_21,2-3-1,4620,1-2-3,300,2-3,2310,2-3,1230,2022_1_21_23_6R
32,4,6,3352,小川晃司,25,67,6.84,6,0.16,23,6R,晴,北東,5,5,2022_1_21,2-3-1,4620,1-2-3,300,2-3,2310,2-3,1230,2022_1_21_23_6R
33,5,5,4852,川原祐明,59,39,6.75,5,0.08,23,6R,晴,北東,5,5,2022_1_21,2-3-1,4620,1-2-3,300,2-3,2310,2-3,1230,2022_1_21_23_6R
34,6,4,5193,米丸乃絵,72,88,6.65,4,0.25,23,6R,晴,北東,5,5,2022_1_21,2-3-1,4620,1-2-3,300,2-3,2310,2-3,1230,2022_1_21_23_6R
35,1,1,4842,山下昂大,37,35,6.84,1,0.20,23,7R,晴,北東,5,5,2022_1_21,1-4-3,1950,1-3-4,870,1-4,390,1-4,250,2022_1_21_23_7R
36,2,4,4650,中山雄太,30,68,6.79,4,0.25,23,7R,晴,北東,5,5,2022_1_21,1-4-3,1950,1-3-4,870,1-4,390,1-4,250,2022_1_21_23_7R
37,3,3,4981,牧山敦也,17,54,6.86,3,0.32,23,7R,晴,北東,5,5,2022_1_21,1-4-3,1950,1-3-4,870,1-4,390,1-4,250,2022_1_21_23_7R
38,4,2,3478,嶋田貴支,52,32,6.85,2,0.21,23,7R,晴,北東,5,5,2022_1_21,1-4-3,1950,1-3-4,870,1-4,390,1-4,250,2022_1_21_23_7R
39,5,5,3175,渡辺千草,51,44,6.81,5,0.25,23,7R,晴,北東,5,5,2022_1_21,1-4-3,1950,1-3-4,870,1-4,390,1-4,250,2022_1_21_23_7R
40,1,5,4734,安河内将,16,45,6.67,4,0.29,23,8R,晴,北東,5,5,2022_1_21,5-1-2,5460,1-2-5,1010,5-1,660,1-5,340,2022_1_21_23_8R
41,2,1,3809,吉田光,62,78,6.74,1,0.09,23,8R,晴,北東,5,5,2022_1_21,5-1-2,5460,1-2-5,1010,5-1,660,1-5,340,2022_1_21_23_8R
42,3,2,4557,松尾光広,24,42,6.75,2,0.22,23,8R,晴,北東,5,5,2022_1_21,5-1-2,5460,1-2-5,1010,5-1,660,1-5,340,2022_1_21_23_8R
43,4,4,3439,大平誉史明,40,62,6.81,6,0.34,23,8R,晴,北東,5,5,2022_1_21,5-1-2,5460,1-2-5,1010,5-1,660,1-5,340,2022_1_21_23_8R
44,5,6,3993,永井聖美,14,71,6.71,5,0.31,23,8R,晴,北東,5,5,2022_1_21,5-1-2,5460,1-2-5,1010,5-1,660,1-5,340,2022_1_21_23_8R
45,6,3,4695,尾崎雄二,63,89,6.75,3,0.19,23,8R,晴,北東,5,5,2022_1_21,5-1-2,5460,1-2-5,1010,5-1,660,1-5,340,2022_1_21_23_8R
46,1,1,3070,山室展弘,66,53,6.79,1,0.08,23,9R,晴,東,4,4,2022_1_21,1-3-2,710,1-2-3,180,1-3,430,1-3,260,2022_1_21_23_9R
47,2,3,3915,繁野谷圭介,55,75,6.71,3,0.16,23,9R,晴,東,4,4,2022_1_21,1-3-2,710,1-2-3,180,1-3,430,1-3,260,2022_1_21_23_9R
48,3,2,4652,酒見峻介,19,31,6.64,2,0.15,23,9R,晴,東,4,4,2022_1_21,1-3-2,710,1-2-3,180,1-3,430,1-3,260,2022_1_21_23_9R
49,4,5,5102,原田雄次,68,47,6.73,4,0.18,23,9R,晴,東,4,4,2022_1_21,1-3-2,710,1-2-3,180,1-3,430,1-3,260,2022_1_21_23_9R
50,5,6,3858,織田猛,21,84,6.80,5,0.15,23,9R,晴,東,4,4,2022_1_21,1-3-2,710,1-2-3,180,1-3,430,1-3,260,2022_1_21_23_9R
51,6,4,5227,川原愛未,58,49,6.72,6,0.21,23,9R,晴,東,4,4,2022_1_21,1-3-2,710,1-2-3,180,1-3,430,1-3,260,2022_1_21_23_9R
52,1,2,4506,稗田聖也,22,33,6.80,2,0.16,23,10R,晴,北東,5,5,2022_1_21,2-3-6,49760,2-3-6,11810,2-3,5910,2-3,4910,2022_1_21_23_10R
53,2,3,3662,大庭元明,45,58,6.79,3,0.25,23,10R,晴,北東,5,5,2022_1_21,2-3-6,49760,2-3-6,11810,2-3,5910,2-3,4910,2022_1_21_23_10R
54,3,6,4004,山本浩輔,48,76,6.87,6,0.21,23,10R,晴,北東,5,5,2022_1_21,2-3-6,49760,2-3-6,11810,2-3,5910,2-3,4910,2022_1_21_23_10R
55,4,5,3892,草場康幸,54,77,6.81,4,0.21,23,10R,晴,北東,5,5,2022_1_21,2-3-6,49760,2-3-6,11810,2-3,5910,2-3,4910,2022_1_21_23_10R
56,5,1,4230,濱崎直矢,12,65,6.79,1,0.35,23,10R,晴,北東,5,5,2022_1_21,2-3-6,49760,2-3-6,11810,2-3,5910,2-3,4910,2022_1_21_23_10R
57,6,4,4065,金田幸子,64,50,6.91,5,0.23,23,10R,晴,北東,5,5,2022_1_21,2-3-6,49760,2-3-6,11810,2-3,5910,2-3,4910,2022_1_21_23_10R
58,1,5,3573,前本泰和,11,48,6.67,2,0.13,23,11R,晴,北東,6,6,2022_1_21,5-1-6,2960,1-5-6,1210,5-1,440,1-5,230,2022_1_21_23_11R
59,2,1,3568,木村光宏,23,34,6.74,1,0.14,23,11R,晴,北東,6,6,2022_1_21,5-1-6,2960,1-5-6,1210,5-1,440,1-5,230,2022_1_21_23_11R
60,3,6,3478,嶋田貴支,52,32,6.80,3,0.11,23,11R,晴,北東,6,6,2022_1_21,5-1-6,2960,1-5-6,1210,5-1,440,1-5,230,2022_1_21_23_11R
61,4,2,4051,清水敦揮,53,38,6.69,4,0.11,23,11R,晴,北東,6,6,2022_1_21,5-1-6,2960,1-5-6,1210,5-1,440,1-5,230,2022_1_21_23_11R
62,5,4,4143,浦田晃嗣,74,52,6.71,6,0.09,23,11R,晴,北東,6,6,2022_1_21,5-1-6,2960,1-5-6,1210,5-1,440,1-5,230,2022_1_21_23_11R
63,6,3,4410,井上大輔,18,82,6.79,5,0.11,23,11R,晴,北東,6,6,2022_1_21,5-1-6,2960,1-5-6,1210,5-1,440,1-5,230,2022_1_21_23_11R
64,1,2,4650,中山雄太,30,68,6.77,2,0.04,23,12R,晴,北東,4,4,2022_1_21,2-3-4,2280,2-3-4,570,2-3,1600,2-3,710,2022_1_21_23_12R
65,2,3,4852,川原祐明,59,39,6.77,3,0.08,23,12R,晴,北東,4,4,2022_1_21,2-3-4,2280,2-3-4,570,2-3,1600,2-3,710,2022_1_21_23_12R
66,3,4,4090,中村尊,43,83,6.79,4,0.05,23,12R,晴,北東,4,4,2022_1_21,2-3-4,2280,2-3-4,570,2-3,1600,2-3,710,2022_1_21_23_12R
67,4,5,4292,麻生慎介,57,69,6.88,5,0.05,23,12R,晴,北東,4,4,2022_1_21,2-3-4,2280,2-3-4,570,2-3,1600,2-3,710,2022_1_21_23_12R
68,5,6,4640,山ノ内雅人,69,59,6.84,6,0.05,23,12R,晴,北東,4,4,2022_1_21,2-3-4,2280,2-3-4,570,2-3,1600,2-3,710,2022_1_21_23_12R
69,1,2,4919,吉田翔悟,69,138,6.75,2,0.19,22,1R,晴,東,3,3,2022_1_21,2-1-3,5150,1-2-3,200,2-1,1570,1-2,270,2022_1_21_22_1R
70,2,1,4370,山口達也,23,142,6.71,1,0.18,22,1R,晴,東,3,3,2022_1_21,2-1-3,5150,1-2-3,200,2-1,1570,1-2,270,2022_1_21_22_1R
71,3,3,4611,今井美亜,49,108,6.79,3,0.16,22,1R,晴,東,3,3,2022_1_21,2-1-3,5150,1-2-3,200,2-1,1570,1-2,270,2022_1_21_22_1R
72,4,5,5107,松本真広,46,118,6.68,6,0.15,22,1R,晴,東,3,3,2022_1_21,2-1-3,5150,1-2-3,200,2-1,1570,1-2,270,2022_1_21_22_1R
73,5,4,5018,竹下大樹,19,129,6.77,4,0.21,22,1R,晴,東,3,3,2022_1_21,2-1-3,5150,1-2-3,200,2-1,1570,1-2,270,2022_1_21_22_1R
74,6,6,4164,岩永節也,57,126,6.75,5,0.26,22,1R,晴,東,3,3,2022_1_21,2-1-3,5150,1-2-3,200,2-1,1570,1-2,270,2022_1_21_22_1R
75,1,3,4760,山崎郡,34,137,6.77,3,0.15,22,2R,晴,東,3,3,2022_1_21,3-1-2,1820,1-2-3,290,3-1,570,1-3,520,2022_1_21_22_2R
76,2,1,3186,沖悟,59,154,6.79,1,0.06,22,2R,晴,東,3,3,2022_1_21,3-1-2,1820,1-2-3,290,3-1,570,1-3,520,2022_1_21_22_2R
77,3,2,4363,大野芳顕,58,173,6.70,2,0.18,22,2R,晴,東,3,3,2022_1_21,3-1-2,1820,1-2-3,290,3-1,570,1-3,520,2022_1_21_22_2R
