,着,艇番,選手登番,選手名,モーター,ボート,展示,進入,スタートタイミング,場所,R,天気,風向,風量,波,日時,RaceID
0,1,3,3562,山下和彦,69,157,6.81,3,0.06,22,1R,晴,北,1,2,2020_11_13,2020_11_13_22_1R
1,2,4,3554,仲口博崇,48,170,6.85,4,0.09,22,1R,晴,北,1,2,2020_11_13,2020_11_13_22_1R
2,3,1,4205,山口剛,43,156,6.84,1,0.12,22,1R,晴,北,1,2,2020_11_13,2020_11_13_22_1R
3,4,5,4413,水摩敦,27,105,6.91,5,0.07,22,1R,晴,北,1,2,2020_11_13,2020_11_13_22_1R
4,5,6,3903,白石健,12,150,6.84,6,0.08,22,1R,晴,北,1,2,2020_11_13,2020_11_13_22_1R
5,6,2,4297,山田哲也,70,136,6.78,2,0.13,22,1R,晴,北,1,2,2020_11_13,2020_11_13_22_1R
6,1,1,4296,岡崎恭裕,44,162,6.75,1,0.26,22,2R,晴,北,1,2,2020_11_13,2020_11_13_22_2R
7,2,2,4394,永嶋裕一,17,166,6.81,2,0.16,22,2R,晴,北,1,2,2020_11_13,2020_11_13_22_2R
8,3,4,4362,土屋智則,22,155,6.86,4,0.15,22,2R,晴,北,1,2,2020_11_13,2020_11_13_22_2R
9,4,3,4261,岡祐臣,33,124,6.86,3,0.13,22,2R,晴,北,1,2,2020_11_13,2020_11_13_22_2R
10,5,5,4444,桐生順平,50,163,6.86,5,0.14,22,2R,晴,北,1,2,2020_11_13,2020_11_13_22_2R
11,6,6,4848,仲谷颯仁,37,101,6.85,6,0.09,22,2R,晴,北,1,2,2020_11_13,2020_11_13_22_2R
12,1,1,4342,谷野錬志,59,152,6.87,1,0.07,22,3R,晴,北,1,2,2020_11_13,2020_11_13_22_3R
13,2,3,4428,有賀達也,14,174,6.84,3,0.08,22,3R,晴,北,1,2,2020_11_13,2020_11_13_22_3R
14,3,6,4148,枝尾賢,66,145,6.91,6,0.14,22,3R,晴,北,1,2,2020_11_13,2020_11_13_22_3R
15,4,4,4477,篠崎仁志,55,111,6.90,4,0.13,22,3R,晴,北,1,2,2020_11_13,2020_11_13_22_3R
16,5,2,4802,中田達也,39,110,6.85,2,0.04,22,3R,晴,北,1,2,2020_11_13,2020_11_13_22_3R
17,6,5,3874,山本寛久,26,121,6.86,5,0.13,22,3R,晴,北,1,2,2020_11_13,2020_11_13_22_3R
18,1,1,4133,高橋正男,23,123,6.85,1,0.07,22,4R,晴,北,1,2,2020_11_13,2020_11_13_22_4R
19,2,3,4166,吉田拡郎,42,167,6.81,3,0.11,22,4R,晴,北,1,2,2020_11_13,2020_11_13_22_4R
20,3,4,4030,森高一真,68,169,6.89,4,0.14,22,4R,晴,北,1,2,2020_11_13,2020_11_13_22_4R
21,4,6,4080,山崎哲司,21,142,6.87,6,0.13,22,4R,晴,北,1,2,2020_11_13,2020_11_13_22_4R
22,5,2,4083,福島勇樹,16,172,6.85,2,0.06,22,4R,晴,北,1,2,2020_11_13,2020_11_13_22_4R
23,6,5,4608,荒井翔伍,51,149,6.81,5,0.12,22,4R,晴,北,1,2,2020_11_13,2020_11_13_22_4R
24,1,1,4357,田中和也,46,148,6.79,1,0.21,22,5R,晴,北,1,2,2020_11_13,2020_11_13_22_5R
25,2,2,4547,中田竜太,60,119,6.92,2,0.13,22,5R,晴,北,1,2,2020_11_13,2020_11_13_22_5R
26,3,4,4205,山口剛,43,156,6.80,4,0.24,22,5R,晴,北,1,2,2020_11_13,2020_11_13_22_5R
27,4,5,4466,南佑典,58,134,6.91,5,0.23,22,5R,晴,北,1,2,2020_11_13,2020_11_13_22_5R
28,5,3,4413,水摩敦,27,105,6.91,3,0.19,22,5R,晴,北,1,2,2020_11_13,2020_11_13_22_5R
29,6,6,4168,石野貴之,54,143,6.79,6,0.21,22,5R,晴,北,1,2,2020_11_13,2020_11_13_22_5R
30,1,1,3554,仲口博崇,48,170,6.80,1,0.11,22,6R,晴,北,2,2,2020_11_13,2020_11_13_22_6R
31,2,2,4848,仲谷颯仁,37,101,6.86,2,0.15,22,6R,晴,北,2,2,2020_11_13,2020_11_13_22_6R
32,3,4,3562,山下和彦,69,157,6.81,4,0.21,22,6R,晴,北,2,2,2020_11_13,2020_11_13_22_6R
33,4,3,4362,土屋智則,22,155,6.81,3,0.19,22,6R,晴,北,2,2,2020_11_13,2020_11_13_22_6R
34,5,5,4184,渡邊雄一郎,34,161,6.81,5,0.21,22,6R,晴,北,2,2,2020_11_13,2020_11_13_22_6R
35,6,6,4713,白神優,35,120,6.88,6,0.24,22,6R,晴,北,2,2,2020_11_13,2020_11_13_22_6R
36,1,1,4444,桐生順平,50,163,6.85,1,0.09,22,7R,晴,北,1,2,2020_11_13,2020_11_13_22_7R
37,2,2,3903,白石健,12,150,6.84,2,0.11,22,7R,晴,北,1,2,2020_11_13,2020_11_13_22_7R
38,3,4,4428,有賀達也,14,174,6.86,4,0.18,22,7R,晴,北,1,2,2020_11_13,2020_11_13_22_7R
39,4,6,4297,山田哲也,70,136,6.81,6,0.17,22,7R,晴,北,1,2,2020_11_13,2020_11_13_22_7R
40,5,3,4148,枝尾賢,66,145,6.85,3,0.14,22,7R,晴,北,1,2,2020_11_13,2020_11_13_22_7R
41,6,5,4394,永嶋裕一,17,166,6.87,5,0.22,22,7R,晴,北,1,2,2020_11_13,2020_11_13_22_7R
42,1,1,4030,森高一真,68,169,6.87,1,0.14,22,8R,晴,北,3,3,2020_11_13,2020_11_13_22_8R
